temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Birth and childhood of Lord Ram,25 Jan. 1987,8.8,The saga of Ramayan Gods' Prayers to Lord Vishnu King Dashrath's yagna invoking blessings for a son Birth and childhood of Shri Ram.
1,2,Rama going to Gurukul,1 Feb. 1987,8.7,Childhood of Shri Ram Thread Ceremony of Shri Ram Fundamental education imparted Shri Ram in Gurukul.
1,3,Continuing Gurukul,8 Feb. 1987,8.9,Continuation of education in Gurukul Vedanta Invocating praises to Lord Shiv Culmination of education in Gurukul.
1,4,Vishwamitra comes to Ayodhya and Ram kills Taraka Rakshasi,15 Feb. 1987,8.8,Return To Ayodhya Vishwamitra requests King Dashrath for his son Ram to accompany him Ram slays Tadka Vishwamitra bestows divine weapons upon Ram Warfare of Ram and Lakshman with Subahu and Mareech.
1,5,Ganga Redemption of Ahilya,1 Mar. 1987,8.7,Shri Ram and Lakshman proceed to Mithila Story to the origin of the Ganga Redempion of Ahilya Shri Ram and Lakshman walk through the streets of Mithila.
1,6,Ram meets Sita,8 Mar. 1987,8.8,"Janak welcomes Vishwamitra, Ram and Lakshman in Mithila, where Vishwamitra has decided to take a rest. While in there, Ram first sets eyes upon Janak's daughter, Princess Sita; in the royal garden."
1,7,Sita's Swayamvara,15 Mar. 1987,9.0,"Seeking a suitable husband for his daughter, Janak holds a Swayamvar. Kings and Princes from all over come to Mithila seeking Sita's hand in marriage, yet fail to pass King Janak's test of stringing the Shiv Dhanush bow."
1,8,Sita's swayamvar and Parasuram,22 Mar. 1987,9.0,"Shiv Dhanus was broken by prince Rama when he attempted to string the bow, during the swayamvara of Sita, thereby winning the princess's hand in marriage. After the marriage when his father Dasharatha was returning to Ayodhya with Rama, Parashurama obstructed their path and challenged Rama for breaking his guru Shiva's bow."
1,9,Marriage Preparations,29 Mar. 1987,8.5,"King Janak sends word to Ayodhya to inform King Dasharath of the engagement of their two children. Overjoyed, the entire Ayodhya royal family come to Mithila to prepare for the wedding. After further discussion between the two royal families, it is decided that the four princes of Ayodhya will wed the four princesses of Videha."
1,10,Ram and Sita's Marriage,5 Apr. 1987,8.6,Ram and Sita are married in a grand ceremony as the whole of Mithila celebrates.
1,11,Sita's arrival at Ayodhya,12 Apr. 1987,8.8,"King Janak tearfully bids farewell tho his beloved daughter Sita, as she departs for Ayodhya with her new husband and family. The four daughters-in-law are welcomed in Ayodhya."
1,12,Discussion on Dasharatha's heir,19 Apr. 1987,8.9,"Vishwamitra releases Ram and Lakshman from his service and departs Ayodhya. King Dashrath decides to appoint Ram as his heir and and abdicate from the throne. While the whole of Ayodhya celebrates, Kaikeyi's maid Manthra disapproves."
1,13,Rajyabhishek,26 Apr. 1987,9.0,Celebrations mark the proclamation of Ram as heir to the throne but Manthra provokes Kaikayee into sabotaging the coronation.
1,14,Kaikeyi Demands Her Boons,3 May 1987,8.9,"Kaikayee demands that King Dasharath fulfill a promise he made a long time ago in the form of two boons. Unable to change her mind, Dasharath is forced to appoint Bharath as the future king while Ram exiled to the forest."
1,15,Preparing for the Journey to the Forest,10 May 1987,9.0,Sita and Lakshman also resolve to go to forest with Ram.
1,16,Departing Ayodhya,17 May 1987,8.8,"King Dasharath denounces Kaikayi as his wife and falls into a deep depression at the loss of Ram. The Grief stricken people of Ayodhya try to stop Ram from going to the forest, but ultimately fail."
1,17,Meeting Nishadraj Guha,24 May 1987,8.9,"Ram, Lakshman and Sita are welcomed by Guha, king of the Nishadas, who arranges for the trio to cross the river Ganga by boat."
1,18,Bharadwaja's Ashram,31 May 1987,8.8,"After fulfilling the condition of Khibet, Ram, Lakshman and Sita cross the Ganga and take shelter at Rishi Bhardwaja's ashram. They take leave of Guha and proceed to Chitrakoot."
1,19,Valmiki's Ashram and Chitrakoot,7 Jun. 1987,8.9,"Ram, Lakshman and Sita pay a visit to Maharishi Valmiki who advises them to settle in Chitrakoot."
1,20,King Dasharath's Death,14 Jun. 1987,8.9,"Sumant returns to Ayodhya alone. King Dasharath mourns the separation from his son. In depression, he dies remembering a a curse laid on him for a mistake he made in his youth."
1,21,Bharath Returns to Ayodhya,21 Jun. 1987,9.0,"In Nanihal, Bharath has a strange premonition and returns to Ayodhya only to find that his father is dead and his older brother exiled."
1,22,Bharath rejects to become King,28 Jun. 1987,9.0,Bharath performs King Dasharath's last rites Bharath rejects his coronation Bharath decides to crown Shri Ram in the forest and return with him.
1,23,Ram meets Bharat,28 Jun. 1987,9.1,
1,24,Bharat Milap,12 Jul. 1987,9.2,Lakshman gets angry on receiving the news of Bharaths arrival in the forest. Reunion of Shri Ram and Bharath.
1,25,Bharath returns to Ayodhya with Ramas Shoes,19 Jul. 1987,9.0,"In Chitrakoot, King Janak conducts a meeting to plead with Shri ram to return to Ayodhya. Bharath returns to Ayodhya with Shri Rams 'Paduka'."
1,26,Ramas Shoes installed on the throne of Ayodhya,26 Jul. 1987,8.9,"Bharath also dons the sages robe and rules Ayodhya as Shri Rams representative In Nandigram, Shri Rams Paduka is installed on the throne of Ayodhya."
1,27,Sita meets Atri & mother Anusuiya,2 Aug. 1987,8.8,"Sita meets Atri and mother Anusuiya. Ram, Lakshman and Sita arrive at Sage Sharbhanga's ashram."
1,28,Dandakaranya,9 Aug. 1987,9.0,"In Dandakaranya, seeing the bones of the sages, Shri Ram vows to take revenge on the demons Shri ram meets Sage Sutikshna Shri Ram meets Maharshi Agastya and receives divine weapons from him."
1,29,"First meeting with Jatayu, Sita in Panchavadi",16 Aug. 1987,9.0,"First meeting with Jatayu. Shri Ram, Lakshman and Sita decide to stay in Panchavati. Shurpanaka's attempt to charm Shri Ram. Lakshman cuts off Shurpanakas nose."
1,30,Shurpanaka Encounter,23 Aug. 1987,9.0,"Shurpanaka provokes her brothers, Demons Khar and Dooshan. Single handed Shri Ram kills Khar and Dooshan and destroys their army. Shurpanaka laments in Ravans court."
1,31,Kidnap Plan by Raavan,30 Aug. 1987,8.7,"Ravan decides to kidnap Sita. Mareech reluctantly becomes golden deer. Shri Ram, at Sitas behest, goes after the deer."
1,32,Sita Haran,30 Aug. 1987,9.0,"Mareech calls out to Lakshman and Sita, mimicking Ram's voice. Sita forces Lakshman to go to Ram's aid, leaving her unguarded .Ravan seizes this chance and kidnaps Sita."
1,33,Shri Ram & Lakshman meet wounded Jatayu,13 Sep. 1987,8.8,"Shri Ram and Lakshman meet wounded Jatayu. In Lanka, Ravan send Sita to Ashoka Vatika."
1,34,Shri Ram & lakshman reach Shabaris ashram,20 Sep. 1987,8.9,In forest Shri Ram kills Khabanda. Shri Ram and lakshman reach Shabaris ashram. Shabari is overwhelmed as she meets her lord.
