temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode #1.1,17 Mar. 2018,8.8,Agâh Beyoglu is upset by his initial diagnosis of Alzheimer. Agâh recognizes that forgotten is an opportunity to commit a murder that he has planned for years but is constantly delaying.
1,2,Episode #1.2,17 Mar. 2018,8.6,The murder that Agâh had committed is the first ring of a chain of murders. Nevra finds a message on a victim that makes her reconsider resigning from her job.
1,3,Episode #1.3,17 Mar. 2018,8.6,"An important common point between Nevra's with Agâh, who has been lost in an inquiry filled with dead ends, will emerge."
1,4,Episode #1.4,13 Apr. 2018,9.0,"It affects not all Agah but all the people around him. A very big surprise awaits Nevra, who spent her birthday with Ates."
1,5,Episode #1.5,13 Apr. 2018,8.8,The clues of the murders made by Agah lead Nevra and Murder office to Kambura. But what they will learn there will increase the question marks in their heads.
1,6,Episode #1.6,13 Apr. 2018,8.9,Agah adds new murders to the murders he has committed. The dark face of the Agah's old friend Cemil begins to emerge. Nevra wants to solve the killings on her own way.
1,7,Episode #1.7,11 May 2018,8.5,"Agâh is setting up new games for his secrets to not appear, but there is something he does not even know about; changing personality will cause surprise murders."
1,8,Episode #1.8,11 May 2018,8.7,"As the mysterious ""Dog Killer"" becomes a phenomenon, he goes to a change in his Agah plans and decides to take the big step first."
1,9,Episode #1.9,11 May 2018,8.4,Nevra believes that she now finds the cause of the murders. So she continues to investigate Kambura with all her might to stop the killings.
1,10,Episode #1.10,8 Jun. 2018,8.7,"Assuming that she found a victim of crime committed in Kambura many years ago, Nevra realizes that she was actually wrong, but she does not leave the trail of this crime and continues to climb over the clues in Kambura."
1,11,Episode #1.11,8 Jun. 2018,9.2,"The war which they gave with the memories of Nevra and Agâh are forcing them. While Agâh can not recall the details of the murders he has committed, Nevra has to rely on her past memories."
1,12,Episode #1.12,8 Jun. 2018,9.6,It is impossible to escape from confronting facts when everyone is approaching the end in his story. Surprise collaborations will cause great changes in the life of Agâh and Nevra.
