temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode I - The Beginning,10 Aug. 2001,8.9,"When the ancient evil Aku returns to terrorize Japan, the emperor's young son is send to distant lands to train in the ways of the warrior. Only then can he wield his fathers magical sword to stop Aku from taking over the world."
1,2,Episode II - The Samurai Called Jack,10 Aug. 2001,8.4,Aku has transported his mortal samurai enemy into the far future in which Aku rules all. Now the warrior has to find a way back while adjusting to his new surroundings. He also takes a new name: Jack.
1,3,Episode III - The First Fight,10 Aug. 2001,8.6,"Aku's destroyer beetle drones are closing in on Samurai Jack and the pack of archaeologist dogs, therefore Jack decides to use anything and everything at hand to defend themselves."
1,4,"Episode IV - Jack, the Woolies and the Chritchellites",13 Aug. 2001,8.2,"While hunting for food, Jack helps the tiny Chritchellites recapture an escaped Woolie. But once they invite him back to their village for dinner, Jack begins to suspect an unbalance in the pecking order."
1,5,Episode V - Jack in Space,27 Aug. 2001,7.9,"Samurai Jack hooks up with a group of scientists who are secretly building a rocket to escape from Aku's service. When they hear about Jack's predicament, the scientist come up with a way to send him back in time."
1,6,Episode VI - Jack and the Warrior Woman,19 Nov. 2001,8.3,Jack is aided by an equally skilled warrior woman with a dark secret to search for a crystal with magical properties.
1,7,Episode VII - Jack and the Three Blind Archers,20 Aug. 2001,9.3,Jack learns about a wishing well of King Osric on top of a tower protected by three unbeatable archers and vows to make his way past them.
1,8,Episode VIII - Jack vs. Mad Jack,15 Oct. 2001,8.6,"Despite a reward of Two Googooplex on his head, no bounty hunter has been able to defeat Samurai Jack, therefore Aku creates an evenly matched mirror image of Jack to battle him."
1,9,Episode IX - Jack Under the Sea,3 Sep. 2001,8.1,"Samurai Jack ventures into the deep end of the ocean after hearing of a time portal can be found in Oceanis, the sunken underwater city of the Triceraquin."
1,10,Episode X - Jack and the Lava Monster,5 Nov. 2001,8.8,"Having made his way through a cave filled with booby-traps, Samurai Jack faces a giant lava monster that used to be a viking warrior in days long past."
1,11,Episode XI - Jack and the Scotsman,29 Oct. 2001,9.0,"Samurai Jack is crossing a seemingly endless rope bridge when he meets another wanted man coming from the other side: the Scotsman. After fighting each other to a stalemate, they are forced to team-up when bounty hunters arrive on the scene and shackle Jack and the Scotsman to each other."
1,12,Episode XII - Jack and the Gangsters,26 Nov. 2001,8.1,"Samurai Jack gets an offer to join a Thirties style gang of mobsters at the Blue Monkey club and decides to take them up on it so he can get close to Aku. The gang plans to steal something Aku has been unable to obtain: the legendary Neptune Jewel, guarded by Earth, Wind and Fire."
1,13,Episode XIII - Aku's Fairy Tales,3 Dec. 2001,8.1,"Samurai Jack has become a popular folk hero amongst little children, so Aku decides to spread his own kind of fairy tales that put Jack in a bad light."
2,1,Episode XIV - Jack Learns to Jump Good,1 Mar. 2002,8.5,"After reaching a time portal only to have Aku move it beyond reach at the last moment, Samurai Jack meets a wild man with extraordinary jumping skills. He offers to learn tribe of monkeys that raised the wild man how to defend themselves if they will in turn teach him how to 'jump good'."
2,2,Episode XV - Jack Tales,8 Mar. 2002,8.2,"Three scary stories. Jack enters the land of the magic worm to ask it to grant him a magic wish. At night, Jack meets a 'family' of cannibal robots who hunger for his magic sword. Jack tries to rescue a wish giving fairy from captivity by a greedy gargoyle."
2,3,Episode XVI - Jack and the Smackback,15 Mar. 2002,8.5,Samurai Jack is ambushed while he's sleeping and taken to the Dome of Doom. There he is given the name 'Two Sandles' and has to fight to the death for the spectators amusement.
2,4,Episode XVII - Jack and the Scotsman II,22 Mar. 2002,8.6,The Scotsman asks Samurai Jack for help him rescue his wife from the Keltic Master o' the Hunt who plans to devour her in the Castle of Bone.
2,5,Episode XVIII - Jack and the Ultra-Robots,29 Mar. 2002,8.8,Jack follows a path of destruction that leads to a group of Adamantium Ultra-Robots built especially to defeat him.
2,6,Episode XIX - Jack Remembers the Past,5 Apr. 2002,8.8,"On his journey, Jack happens upon his the place he once called home and begins to recall his childhood there."
2,7,Episode XX - Jack and the Monks,12 Apr. 2002,8.6,"Having been deprived of yet another gateway to the past and after almost losing his hat, Samurai Jack is unsure if he can still go on. Then he meets three mountain monks and joins them on their quest to climb the mountain of Fathoom."
2,8,Episode XXI - Jack and the Dragon,6 Sep. 2002,7.7,Jack follows a trail of stench in an effort to rid the land of this sickening smell. It leads him to a spire where a dragon suffers from a stomach ache.
2,9,Episode XXII - Jack vs. the Five Hunters,13 Sep. 2002,8.7,"Aku hires the best hunters in the universe, the Imakandi, to track down Samurai Jack."
2,10,"Episode XXIII - Jack vs. Demongo, the Soul Collector",20 Sep. 2002,8.5,"Aku unleashes upon Samurai Jack Demongo, who commands the essence of many great warriors who once threatened Aku."
2,11,Episode XXIV - Jack Is Naked,27 Sep. 2002,7.6,"While bathing, Jack's sword, shoes and clothing are stolen by what looks like a white rabbit. When Jack follows the culprit down a hole, he enters a strange underground realm like none he has ever seen."
2,12,Episode XXV - Jack and the Spartans,4 Oct. 2002,9.1,Samurai Jack joins 300 Spartans in their age old war against a mad mechanical beast.
2,13,Episode XXVI - Jack's Shoes,11 Oct. 2002,8.2,"Samurai Jack's sandals are run over and destroyed by three robot bikers. Unable to defeat them without protection on his feet, Jack tries out all the latest footwear from the world famous Foot Chalet. But none are adequate replacements."
3,1,Episode XXVII - Chicken Jack,18 Oct. 2002,8.1,"Samurai Jack accidentally bumps into an easily irritated wizard, who turns him into a chicken. Before he can catch up with the wicked sorcerer, Chicken Jack is captured and forced to fight for his life in Creature Combat Club."
3,2,Episode XXVIII - Jack and the Rave,1 Nov. 2002,8.2,Samurai Jack enters a town where all the children have fallen under the spell of Aku's rave music and vows to release every one of them from Aku's evil grasp.
3,3,Episode XXIX - Couple on a Train,8 Nov. 2002,8.5,Samurai Jack boards a train in the new old West and finds himself cornered by bounty hunter Ezekiel Clench as well as a beautiful filly named Josephine.
3,4,Episode XXX - Jack and the Zombies,25 Oct. 2002,9.0,Aku leads Samurai Jack towards a graveyard where the undead do the evil shape-shifter's bidding.
3,5,Episode XXXI - Jack and the Scarab,15 Nov. 2002,8.8,Aku releases the minions of Set who were trapped in ancient Egypt and orders them to destroy Samurai Jack. Luckily Jack knows his way around the pyramids from when he was a boy.
3,6,Episode XXXII - Jack and the Traveling Creatures,26 Apr. 2003,8.9,Several creatures help Samurai Jack to travel to an island where a time passage is located. However it is protected by an unbeatable warrior. Only the one to defeat this guardian may enter the passage.
3,7,Episode XXXIII - Jack and the Annoying Creature,3 May 2003,7.9,Samurai Jack is unable to get rid of a large furry animal that insists on following him.
3,8,Episode XXXIV - Jack and the Swamp Wizard,10 May 2003,8.3,An old hermit who lives in a swamp leads Samurai Jack on a quest to unite the three gems of the Titans: the Eye of Chronos and the fists of Might and Ability.
3,9,Episode XXXV - Jack and the Haunted House,17 May 2003,9.2,Samurai Jack follows a little girl to return the doll she lost in the woods. She leads him into a haunted house filled with memories of the previous inhabitants.
3,10,"Episode XXXVI - Jack, the Monks and the Ancient Master's Son",31 May 2003,8.7,As Samurai Jack fights two Shaolin monks they are surprised to recognize each others fighting styles. They take him to their secret hidden temple where Grandmaster Tan Zang points Jack towards a time portal. Unfortunately the way to the portal is heavily defended.
3,11,Episode XXXVII - The Birth of Evil: Part I,16 Aug. 2003,9.0,The origin of Aku and how he came to terrorize the Earth from the days of the dinosaurs onwards.
