temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Daughters Are Precious: Female Foeticide,6 May 2012,9.6,"Large-scale killing of girls before birth has led to a serious gender imbalance in the Indian population, and severe social problems as a result."
1,2,Break the Silence: Child Sexual Abuse,13 May 2012,8.4,"As many as 53 per cent, or one in every two children, are victims of child sexual abuse, which often happens at the hands of a trusted person, within the home. A robust and specific law against child sexual abuse is needed."
1,3,Marriage or Marketplace?,27 May 2012,8.1,Most people dream of a lavish wedding but the reality in India is that expensive wedding celebrations and heavy dowry demands end up making brides' lives miserable and ruining their families.
1,4,Every Life Is Precious,27 May 2012,8.3,The fourth episode of the show threw light on the frail health care system prevalent in the country.
1,5,Intolerance to Love,3 Jun. 2012,9.6,"The fifth episode focused on unacceptability of love marriage in Indian culture, and also threw the limelight of honor killing in the country."
1,6,Persons with Disabilities,10 Jun. 2012,8.4,The problems faced by people with disabilities in their day to day life.
1,7,Domestic Violence,17 Jun. 2012,8.0,"For countless women, entering married life often means the beginning of a stressful, violent existence. The concept of domestic violence is based on the notion of patriarchy, which needs to be converted into equality."
1,8,Toxic Food,24 Jun. 2012,8.1,"For decades our food and water have been contaminated by powerful, harmful pesticides which have been promoted as necessary for better agricultural output. But the reality is that we don't need pesticides for better yield, and their use is not only deadly for health but results in expensive farming methods. The solution is to adopt organic farming, which is possible and profitable, as the state of Sikkim has shown."
1,9,Think Before You Drink,1 Jul. 2012,7.7,"Alcohol consumption is associated with having fun and enjoying life. But excessive, irresponsible drinking takes away that very life itself. Many alcohol addicts have climbed back to normal life, proving that it is possible to live happily without alcohol."
1,10,Dignity for All,8 Jul. 2012,7.7,"For a country which has been independent for 65 years, it is a matter of shame that we have not yet shaken off the tyranny of caste-based discrimination. Countless people have to live in degrading conditions, children are unable to go to school, employment avenues are closed, and even education does not open bigoted minds."
1,11,"Sunset Years, Sunshine Life",15 Jul. 2012,7.9,"Our parents are the ones who have brought us up and made us what we are. At least out of consideration for that much, we should be good and kind towards them. But countless people all over India don't think so."
1,12,Every Drop Counts,22 Jul. 2012,7.8,"After air, the next most vital thing for our survival is water. While at the moment we have enough water for our needs, a time is likely to come when our water supply runs out and we have to buy water at a price similar to fuel. The solution, which some people have implemented, is to save and store rainwater."
1,13,Idea of India,29 Jul. 2012,7.7,"When India's leaders envisaged building a new nation after Independence, the Constitution was the foundation stone of this endeavour. We had resolved to establish a sovereign, secular, democratic republic with justice, liberty, equality and fraternity for all. Enough Indians have been putting these principles into action, that the country can find hope to awaken into a 'heaven of freedom'."
