temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode #1.1,22 Oct. 2017,8.9,"Someone is brutally murdered during a costume party attended by the crème de la crème of Belgrade society. Inspector Tanasijevic soon realises that a recent string of horrifying murders by decapitation is related to an ancient relic reputed to have mystic powers. As he investigates the crimes, Tanasijevic joins in an all-out search for the relic in the hope he will be able to prevent the further suffering of innocent people by removing it from his town. He is helped in his efforts by his young colleague Stanko Pletikosic, one of the first graduates of Belgrade's ..."
1,2,Episode #1.2,29 Oct. 2017,9.1,"Tane notes that the victim and Maya were similarly dressed at the costume party. While interrogating Maya and Vojin, Tane soon concludes that Maya is Vojin's mistress."
1,3,Episode #1.3,5 Nov. 2017,9.0,"At the photo shop, Tane and Stanko discover that Neven was killed for the pictures of the costume party. Meanwhile, Taneta is still suspicious of Maya, so he takes her to Glavnica and examines her purse."
1,4,Episode #1.4,12 Nov. 2017,9.2,"After Aljosha is abducted and killed, Tane is furious with Dimitrijevic and suspects that the prison doctor was paid to get him out of prison."
1,5,Episode #1.5,19 Nov. 2017,9.0,"Tane, barely alive, finds Niski with her people and leads him to Prsa. Tane learns from Niski that Krojac is a war veteran and that in the past he has been in contact with the famous Tankosic and his ""black arm boys""."
1,6,Episode #1.6,26 Nov. 2017,9.1,"Maya was initially shocked that Avram was a butcher, but when he recalls some details, everything begins to get a new meaning."
1,7,Episode #1.7,3 Dec. 2017,9.3,"Tane and Stanko examine the evidence against Zivojin, who could have been involved in Avram's death."
1,8,Episode #1.8,10 Dec. 2017,9.1,A raid in Macedonia comes as retribution for Damjan's abduction. Stanko admits to Tane that he killed Stavre.
1,9,Episode #1.9,17 Dec. 2017,9.2,"Tane finds Stanko in a bar. Tane tells him to go to Toponica and talk to Prince Djordje , the author of the painting ""The Black Sun"", which hangs on a wall in Avakumovic's house."
1,10,Episode #1.10,24 Dec. 2017,8.9,The final clash is close. Tane and Stanko ask Dimitrijevic to guarantee that Kaludera will be brought to court if they arrest him.
2,1,Episode #2.1,11 Nov. 2019,8.9,
2,2,Episode #2.2,18 Nov. 2019,8.8,
2,3,Episode #2.3,25 Nov. 2019,8.6,
2,4,Episode #2.4,2 Dec. 2019,8.6,
2,5,Episode #2.5,9 Dec. 2019,7.9,
2,6,Episode #2.6,16 Dec. 2019,8.0,
2,7,Episode #2.7,23 Dec. 2019,8.1,
2,8,Episode #2.8,30 Dec. 2019,8.2,
2,9,Episode #2.9,6 Jan. 2020,8.3,
2,10,Episode #2.10,13 Jan. 2020,8.0,
