temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,14 May 2011,8.5,Drunken father Frank is of no use to his dysfunctional family; Fiona meets a handsome stranger when her purse is stolen; Lip is shocked to discover his brother Ian is gay.
1,2,Frank the Plank,21 May 2011,8.2,"A manhunt ensues after Frank goes on a bender and turns up missing on Friday, the day he never fails to cash his disability check, and turns up in Toronto with no idea how he got there."
1,3,Aunt Ginger,28 May 2011,8.5,"Fiona turns her attentions to a cop, Tony, but Steve isn't willing to give up without a fight; Ian is targeted by the brothers of a girl he spurned; the family searches for the elderly aunt who owns their house."
1,4,Casey Casden,4 Jun. 2011,8.5,"A sad and lonely Debbie steals a little boy from a birthday party, forcing the family to scheme a way to return him; a web of lies ends in a marriage proposal from Kevin, who is already married."
1,5,Three Boys,11 Jun. 2011,8.1,"The family fakes a wedding when they learn Kevin's new fiancee comes with a substantial dowry; Frank deals with bad medical news by spiraling out of control; Steve looks for a new car, with Fiona along for the ride."
1,6,Killer Carl,25 Jun. 2011,8.1,Fiona tries to prove the Gallagher home is suitable for rehabilitating a delinquent; Lip gets busted taking the SAT for fellow students; Frank's poor business acumen continues to have negative consequences.
1,7,"Frank Gallagher: Loving Husband, Devoted Father",2 Jul. 2011,8.4,"Frank takes a risk when goons demand the six grand he owes them; Fiona agrees to a night away with Steve, leaving Liam in agoraphobic Sheila's care; Ian is fed up with Mickey's bullying of Kash."
1,8,It's Time to Kill the Turtle,9 Jul. 2011,8.6,"When Frank gives up drinking, Sheila worries he'll no longer be attracted to her, while Carl and Debbie enjoy having their dad back - despite Lip's warning that it won't last; Fiona barely notices that Steve's behaving suspiciously."
1,9,But at Last Came a Knock,16 Jul. 2011,8.7,Frank needs his ex-wife's signature to claim some settlement money; Debbie learns that Steve may not be who he says he is; Monica shows up and announces she's taking baby Liam.
1,10,Nana Gallagher Had an Affair,23 Jul. 2011,8.6,"Monica's return wreaks havoc on the Gallagher clan, while Frank hits a new low to stop a disability worker from tampering with his benefits."
1,11,Daddyz Girl,30 Jul. 2011,8.6,Fiona meets a new friend at Debbie's mothers group; Tony unravels the truth about Steve's car-stealing business; Frank loses his worker's compensation and tasks his kids with finding him a new and promisingly dangerous job.
1,12,"Father Frank, Full of Grace",6 Aug. 2011,8.9,"Steve tries to convince Fiona to skip town with him while she's trying to get Lip and Ian out of jail; Frank and Karen's secret is revealed, forcing Frank to go into hiding."
2,1,Summertime,15 Jan. 2012,8.2,Frank surrenders baby Liam collateral in a lost bet; Fiona thoroughly enjoys her youth as a bartender at a local hot spot; Sheila takes steps to finally leave the house; Debbie runs a daycare with Carl; Ian's business expands.
2,2,Summer Loving,22 Jan. 2012,8.0,"Frank seeks new financial footing in fellow bar patron Dottie, whose declining health and city pension makes her attractive; Fiona juggles her job, kids and a burgeoning love life; Jasmine tries to help by setting her up with a sugar daddy."
2,3,I'll Light a Candle for You Every Day,29 Jan. 2012,8.2,"Fiona reconnects with her married high school crush, but wonders if her moral compass is leading her astray; Frank is willing to do just about anything to stay in Dottie's good graces, even marry her; Debbie becomes obsessed with death."
2,4,A Beautiful Mess,5 Feb. 2012,8.6,Fiona deals with the consequences of sleeping with Craig when his angry wife shows up at the door; agoraphobic Sheila makes it all the way to the hair salon and Frank realizes his days in the Jackson household are numbered.
2,5,Father's Day,12 Feb. 2012,8.4,"Frank tries to claim Eddie's insurance benefits and pension, despite being a prime suspect in his death; Fiona attends a ritzy wedding with Richard and lies about her background."
