temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,0,Unaired Pilot,30 Nov. 2011,8.9,"Invalided home from the war in Afghanistan, Dr. John Watson becomes roommates with the world's only ""consulting detective,"" Sherlock Holmes. Within a day their friendship is forged and several murders are solved."
1,1,A Study in Pink,2010,9.1,"War vet Dr. John Watson returns to London in need of a place to stay. He meets Sherlock Holmes, a consulting detective, and the two soon find themselves digging into a string of serial ""suicides."""
1,2,The Blind Banker,1 Aug. 2010,8.1,"Mysterious symbols and murders are showing up all over London, leading Sherlock and John to a secret Chinese crime syndicate called Black Lotus."
1,3,The Great Game,8 Aug. 2010,9.1,"Mycroft needs Sherlock's help, but a remorseless criminal mastermind puts Sherlock on a distracting crime-solving spree via a series of hostage human bombs through which he speaks."
2,1,A Scandal in Belgravia,1 Jan. 2012,9.5,Sherlock must confiscate something of importance from a mysterious woman named Irene Adler.
2,2,The Hounds of Baskerville,8 Jan. 2012,8.4,Sherlock and John investigate the ghosts of a young man who has been seeing monstrous hounds out in the woods where his father died.
2,3,The Reichenbach Fall,15 Jan. 2012,9.7,Jim Moriarty hatches a mad scheme to turn the whole city against Sherlock.
3,0,Many Happy Returns,24 Dec. 2013,8.6,"John and Lestrade try to move on with their lives after Sherlock's apparent death. However, Anderson believes he is still alive."
3,1,The Empty Hearse,1 Jan. 2014,9.0,Mycroft calls Sherlock back to London to investigate an underground terrorist organization.
3,2,The Sign of Three,5 Jan. 2014,9.0,Sherlock tries to give the perfect best man speech at John's wedding when he suddenly realizes a murder is about to take place.
3,3,His Last Vow,12 Jan. 2014,9.3,"Sherlock goes up against Charles Augustus Magnussen, media tycoon and a notorious blackmailer."
4,0,The Abominable Bride,7 Jan. 2016,8.2,Sherlock Holmes and Dr. Watson find themselves in 1890s London in this Christmas special.
4,1,The Six Thatchers,1 Jan. 2017,7.6,Sherlock takes on the case of finding out who is going around and smashing six unique head statues of late Prime Minister Margaret Thatcher.
4,2,The Lying Detective,8 Jan. 2017,9.2,Sherlock goes up against the powerful and seemingly unassailable Culverton Smith - a man with a very dark secret indeed.
4,3,The Final Problem,15 Jan. 2017,8.3,"A dark secret in the Holmes family rears its head with a vengeance, putting Sherlock and friends through a series of sick, manipulative psychological and potentially fatal games."
