temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Monotone/Colorful,10 Oct. 2014,7.7,A former piano prodigy is about to discover that a seemingly small event can drastically alter the direction of a person's life.
1,2,Friend A,17 Oct. 2014,8.0,Kousei gets tricked into going to a performance by his close childhood friend and in that performance he starts to regain a shred of his passion.
1,3,Inside Spring,24 Oct. 2014,8.0,Kousei's friends work together to try to convince him to accompany Kaori at her next recital.
1,4,Departure,31 Oct. 2014,8.7,Kousai being Kaori's accompanist appears to be a bad idea.
1,5,Gray Skies,7 Nov. 2014,7.8,Kaori is hospitalized after the competition. Kousei thinks deeply that playing the piano is the only way he can live. Tsubaki gets asked out by her senior she had admired before.
1,6,On the Way Home,14 Nov. 2014,8.1,"Kaori wants Kousei to continue playing the piano, then she enters him for a competition. Kousei starts to practice hard with Kaori. Tsubaki realizes that she is jealous of her."
1,7,The Shadows Whisper,21 Nov. 2014,7.8,"Kousei isn't sure that he could master a set piece of music, it makes him feel sick. Kaori gives him courage. On the competition day, he meets his childhood rivals again."
1,8,Let It Ring,28 Nov. 2014,8.3,Takeshi Aiza and Emi Igawa. These two have a strong rivalry with Kousei. But what drives them to play piano?
1,9,Resonance,5 Dec. 2014,8.5,"It's Kousei's turn to take the stage, and everyone is waiting to see whether or not he will be able to play. How will he be able to perform with the memories of his mother still floating in his mind?"
1,10,The Scenery I Shared with You,12 Dec. 2014,8.7,"Kousei's performance begins. He starts off on a roll, but then midway through, his playing begins to fall apart. Hearing this uneven performance, the audience starts to buzz. Are the rumors that Kousei can no longer hear the sound of his own playing true? In their hearts, Kaori, Tsubaki, and Watari cheer Kousei on from the audience, while Emi and Takeshi, who've just finished performing, look on with concern. Onstage and alone, Kousei confronts his own trauma regarding his mother."
1,11,Light of Life,19 Dec. 2014,8.1,"The qualifiers are up, but Kousei is sure he already knows where he placed. Takeshi and Emi however are desperate to see how their greatest rival was marked."
1,12,Twinkle Little Star,9 Jan. 2015,8.0,"School broke up for the summer vacation, Kousei and Kaori practice for gala concert. Sometimes, they enjoy to play with fireworks including Tsubaki, Ryota, and Nao."
1,13,Love's Sadness,16 Jan. 2015,8.7,"It's the day of the gala concert, and it's time for them to go on, but as Kaori is a no-show, Kousei takes the stage alone. The venue is abuzz over the strange situation of the accompanist, Kousei, showing up onstage by himself. And so Kousei starts playing the song his late mother loved, Kreisler's Love's Sorrow."
1,14,Footprints,23 Jan. 2015,8.2,"Kaori has been hospitalized since the day before gala concert. Kousei went to see Kaori in the hospital with Tsubaki and Ryota. He gets a bad feeling because she reminds him of his mother. Meanwhile, Tsubaki has to face her mind honestly."
1,15,Liar,30 Jan. 2015,8.0,"Kousei decided that he'll leave home to study music in school when spring arrives. Tsubaki broke up with her boyfriend because he has already realized she loves Kousei. Meanwhile, Kousei hesitates to see Kaori again. Then, he gets to know a girl, Nagi, she has enmity against him."
1,16,Two of a Kind,6 Feb. 2015,8.0,"Hiroko decided to let Kousei teach the piano to Nagi. Nagi can't fully dislike him, because he's very nice to her except for the lesson time. And Kaori and Kousei goes shopping with doctor's permission."
1,17,Twilight,13 Feb. 2015,7.8,"Kaori told Kousei what kind of situation she is now by quoting the lines of the novel that they have read, so he hesitates to see Kaori again. Ryota and Nagi give him a good advice. Then, Kousei thinks of a good idea to encourage her."
1,18,Hearts Come Together,20 Feb. 2015,8.4,"Kousei asks Nagi to let him perform at the Kurumigaoka Junior High culture festival. He wants to reach Kaori through his music. With that in mind, he and Nagi take the stage, and their performance begins. But unlike during practice, Kousei, the supporting player, in a complete switch of gears, begins playing at an incredible pace, filling the music with an aching atmosphere, pressuring Nagi. And Nagi, unwilling to give in to Kousei, tries to hold her own."
1,19,Goodbye Hero,27 Feb. 2015,8.1,"Kaori decided strongly that she undergoes surgery to play music with Kousei again. Kousei practices intensively for a competition, because his future success depends on being achieved a high ranking in it. Tsubaki studies very hard to go to high school near music school where Kousei aims for."
1,20,Hand in Hand,6 Mar. 2015,8.5,"Tsubaki told Kousei that he loves Kaori, and along with that, she confessed her love. Kousei became conscious who he loves. When Kousei visits the hospital with Ryota, they watch an unexpected scene."
1,21,Snow,13 Mar. 2015,8.6,"The shock of seeing Kaori's condition suddenly take a turn for the worse causes Kousei to once again turn away from the piano. ""Music takes away everyone I care about..."" His past trauma flashing through his mind, Kousei finds himself all alone again."
1,22,Spring Breeze,20 Mar. 2015,9.5,"Kousei realizes that he's onstage now because of the people in his life - the same people who support him. Playing the notes that they all gave him, Kousei pours his entire soul into his performance, so that it will reach Kaori."
1,23,Moments (OVA 1),15 May 2015,5.6,"The OVA will focus on Kousei, Emi, and Takeshi when they were younger, showing their troubles during their competitions and the beginning of their rivalry."
