temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Nisen-nengo no Kimi e: Shiganshina Kanraku (1),7 Apr. 2013,9.0,"Shiganshina, one of mankind forefront defenses against its biggest threat: the titans. Here the lives of Eren Yeager, Mikasa Ackerman and Armin Arlet are seemingly peaceful, but a sudden attack shows them the brutality of this world."
1,2,"That Day: The Fall of Shiganshina, Part 2",14 Apr. 2013,8.6,"After the Titans break through the wall, the citizens of Shiganshina must run for their lives. Those that do make it to safety find a harsh life waiting for them, however."
1,3,"A Dim Light Amid Despair: Humanity's Comeback, Part 1",21 Apr. 2013,8.4,"Eren begins his training with the Cadet Corps, but questions about his painful past overwhelm him. When he struggles with a maneuvering exercise, Berholt and Reiner offer kindly advice."
1,4,"The Night of the Closing Ceremony: Humanity's Comeback, Part 2",28 Apr. 2013,8.7,"Annie proves her skill in a sparring session, Jan dreams of serving alongside the King, and graduation day brings shocking revelations - along with a sudden outbreak of violence."
1,5,"First Battle: Defense of Trost, Part 1",5 May 2013,9.2,"The Colossal Titan appears, and a horde of titans after him. Reluctant to repeat the story of Shiganshina, Eren and the scouts are determined to fight for Trost, unaware that this isn't as easy as they might have thought."
1,6,"The World the Girl Saw: The Struggle for Trost, Part 2",12 May 2013,8.9,"Armin tries to cope with the loss of his friends and allies after Titans massacre his squad. Elsewhere in the city, Mikasa manages to take out several of the monsters, which brings back tragic memories of her past and the first time she met Eren."
1,7,"Small Blade: The Struggle for Trost, Part 3",19 May 2013,8.9,"Cornered by the titans and out of gas, the desperation takes over the scouts. After hearing the news about Armin's squad, Mikasa encourages her mates in order to continue fighting at any cost."
1,8,"I Can Hear His Heartbeat: The Struggle for Trost, Part 4",26 May 2013,9.1,"Armin comes up with a risky plan that pits Titan against Titan as the abandoned Cadets attempt to take back their headquarters. Getting into the building might be possible, but getting out alive and refueled will mean facing more of the giants."
1,9,"Whereabouts of His Left Arm: The Struggle for Trost, Part 5",2 Jun. 2013,8.8,A miraculous return is met with anger and fear. Cannons are fixed on Eren as he struggles to remember what happened to him inside the belly of a monster and how he ended up humankind's enemy. One question is all that matters: is Eren human or Titan?
1,10,"Response: The Struggle for Trost, Part 6",9 Jun. 2013,8.5,"Cadets respond to Eren's terrifying transformation with doubt and fear as he struggles to understand it himself. If Armin can't talk the commander into using Eren's newfound powers for the good of humankind, all hope of stopping the Titans might be lost."
1,11,"Icon: Battle of Trost District, Part 7",16 Jun. 2013,8.5,"Plans are created to use Eren's Titan powers to seal the hole in the wall in an attempt reclaim Trost. But with the government's bloodstained history and vocal dissenters in the military ranks, the biggest threat to humankind may not be the Titans."
1,12,"Wound: Battle of Trost District, Part 8",23 Jun. 2013,8.5,"The plan to reclaim Trost falls apart when Eren's newfound powers turn him into a mindless giant. As Titans continue to swarm the city, it's up to Armin and Mikasa to make sure the cadets massacred during the mission haven't died in vain."
1,13,"Primal Desires: Battle of Trost District, Part 9",30 Jun. 2013,8.9,"Jean manages to get another Maneuver Gear from a dead soldier and escape thanks to Annie, Connie, and Marco distracting the Titans. With Titan Eren now carrying the boulder towards the gate, Ian orders everyone to distract the Titans away from Eren, with some of them sacrificing their lives. Eren finally blocks the open gate with the boulder, and Rico fires a yellow flare to signal that the operation is a success. As Armin tries to pull out Eren from his Titan body, they are surrounded by two Titans but then saved by the timely arrival of Levi. With the gate finally ..."
