temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,3 Jun. 2001,8.8,"When the funeral director is killed in an accident, the family comes together to mourn and decide the fate of the funeral home."
1,2,The Will,10 Jun. 2001,8.2,The family attends the reading of Nathaniel's will. A widow is unable to pay the funeral bill after her late husband leaves her with a mountain of debt.
1,3,The Foot,17 Jun. 2001,8.5,The family considers selling the business. Their latest client had an unfortunate accident with an industrial dough-mixer.
1,4,Familia,24 Jun. 2001,8.4,"When a gang member is shot, his family requests that he is buried, but the gang's leader wants it done a different way."
1,5,An Open Book,1 Jul. 2001,8.4,"An adult film star electrocutes to death in her bathtub, which leads to a memorial service that is anything but ordinary."
1,6,The Room,8 Jul. 2001,8.7,"After a woman passes away in her sleep, her husband proves to be a very demanding client."
1,7,Brotherhood,15 Jul. 2001,8.1,The family must persuade the angry brother of a war veteran who died of lung disease that his brother should receive a military-honoring burial.
1,8,Crossroads,22 Jul. 2001,8.3,"A divorced woman meets an unfortunate end while partying with her friends, and the family discusses renting out the home to a seniors' dancing group."
1,9,Life's Too Short,29 Jul. 2001,8.7,"A boy accidentally shoots and kills himself while playing with a gun, and his mother is nearly comatose with grief."
1,10,The New Person,5 Aug. 2001,8.5,An egocentric husband is killed with a frying pan after his wife finally has enough of his mouth.
1,11,The Trip,12 Aug. 2001,8.5,Nate and Dave travel to Vegas in order to attend a convention for funeral directors. A newborn child dies from a case of SIDS.
1,12,A Private Life,19 Aug. 2001,8.9,"A gay couple is attacked and one of them is killed, causing controversy among the family and a confession to be made."
1,13,"Knock, Knock",19 Aug. 2001,8.8,A simple game of golf results in the death of a woman.
2,1,In the Game,3 Mar. 2002,8.5,A drug-addicted actress dies from a cocaine overdose and leaves her fellow cast and crew members to set up the funeral.
2,2,"Out, Out, Brief Candle",10 Mar. 2002,8.3,"A famous football player dies of dehydration during a strong training session, and the family is hired for the funeral services."
2,3,The Plan,17 Mar. 2002,8.3,"A man dies after a long battle with cancer, and his psychic widow discusses the funeral arrangements with the family."
2,4,Driving Mr. Mossback,24 Mar. 2002,8.5,Nate and Claire go to Seattle to pick up the body of a man who died on a public bus.
2,5,The Invisible Woman,31 Mar. 2002,8.5,"A middle-aged woman chokes to death in her apartment, and is found dead a week later."
2,6,In Place of Anger,7 Apr. 2002,8.3,"While at a boat party, a drunken man falls overboard. The family tries to convince his widow to use their funeral services."
2,7,Back to the Garden,14 Apr. 2002,8.2,Jewish executive Jeffery Shapiro accidentally hangs himself while masturbating with asphyxiation.
2,8,It's the Most Wonderful Time of the Year,21 Apr. 2002,9.0,"Christmas Eve - and the one year anniversary of Nate and Brenda's meeting and Nathaniel Fisher's death - is approaching, and this year, the Fishers are requested by bikers to allow the funeral home to be open on Christmas Day so they can have a party/memorial service for Jesse Ray Johnson, who was involved in a motorcycle accident on his way to his part-time job as a mall Santa while greeting some kids. The family (and Rico) each remember their last moments with Nathaniel and, in most cases, regret what they didn't do for him before he died. On Christmas Eve Brenda's ..."
2,9,Someone Else's Eyes,28 Apr. 2002,8.1,"A construction worker's metal lunch-pail falls from his perch on the building and strikes Dwight Edgar Garrison on the head - resulting in a major family conflict between his current wife and her 2 stepdaughters from his first marriage, on whether he should be buried with his late wife or the widow. Besides having to deal with that, Nate remains unaware that Brenda is still seeing other men but wonders whether she still wants to marry him, or just does out of pity...and whether he should wed at all when Lisa meets him and announces she's pregnant with his child. ..."
2,10,The Secret,5 May 2002,8.3,"Benjamin Srisal suffers a heart attack at home, requiring a Bhuddist service at Fisher & Sons that Nate gets a crash-course in how to conduct, but he's still got no answers as far as what should be done concerning Brenda and Lisa. Lisa apologizes for her outburst in the store but requests she have full custody of the child, causing him to be haunted by visions of the first child they conceived, as well as all the others he lost to abortion. David and Keith begin to argue again, especially after Karla accidentally hits and kills a homeless man on the street, and Taylor..."
2,11,The Liar and the Whore,12 May 2002,8.5,"Edith Kirky is the 4th patient of the year to be brought to Fisher and Sons from Bay Breeze Hospital where Vanessa works, so David predicts Rico's usual pride over the fact...but no one predicts him, suspicious about her neck-markings, to discover a whole hot dog wedged down her esophagus. When informing the authorities, Fisher and Sons is forced to allow them to bring Vanessa and her partner to be examined since they failed to find the hot dog themselves. Rabbi Ari encourages Nate and Brenda to be honest with each other, but Brenda reacts badly when Nate informs her ..."
2,12,I'll Take You,19 May 2002,9.0,"The Diazes' friend and former neighbor Leticia Perfecta Perez dies in her sleep at a beauty parlor and leaves his family a large sum of money, causing Rico to remember how he lost his father and got into the funeral business to begin with. However, she also leaves behind a son, never close to her in life, who wishes to give her a more expensive casket than her pre-meet's choice and is jealous of Rico. Nate and Brenda attend her parents' remarriage, he goes to cheer up Aaron Buchbinder, and Keith, David, and Taylor are visited by a social worker. Nikoai responds ..."
2,13,The Last Time,2 Jun. 2002,9.2,"Aaron Buchbinder passes away painfully shortly after Nate arrives to visit (after he argues with Ruth about her visiting and photographing his daughter Maya). Kroehner's last act against the Fisher & Sons funeral home is to hire an inspector to examine the place, and they're fined for the problematic drainage system. Nate has a bleed requiring a cranial surgery to cure. Vanessa encourages Rico to ask for permission to be a partner since he has the money to pay the fine, and he's given 25% of it only when Nate reminds David he may need a replacement for Nate. Ruth ..."
3,1,Perfect Circles,2 Mar. 2003,8.4,"The surgeons are dismayed when Nate's blood vessel ruptures and he suffers a hemorrhage, and his blood pressure continues to rise, then Nate dies...At least, the family and Rico are in shock, grieving, while Nate himself is dining in a hated restaurant with his father, impatiently waiting to get to his own funeral. He arrives early, sick of the food, and sees his funeral (open-casket, not a memorial service after cremation as he wished)...then hears David speaking to him from the next room where he sees himself paralyzed and with speech problems struggling to relearn...."
3,2,You Never Know,9 Mar. 2003,8.0,"Telemarketers Andrew Wayne Milne, Matthew Clark Hazen, and Martin Jacobs are shot by their insane former co-worker Daniel Grant Showalter who then commits suicide. Fisher & Diaz gets both the Milne and the Showalter funerals - but Rico objects to having the killer's, especially on the same day his victim's is to be held, so makes David's life miserable by refusing to pick up his body or do his job quietly. Stuck picking it up himself, David misses therapy with Keith, and Frank Mushler encourages him to view his own feelings about David without him around to defend ..."
3,3,The Eye Inside,16 Mar. 2003,8.0,"Callie Renee Morimer flees a group of jeering young men calling to her as she walks alone in the dark, who turn out to be some joking friends, but stops in the street and is hit by a car upon realizing it. David enjoys singing in the choir but turns down an opportunity to go to a member's open house - he and Keith are spending the weekend at a hotel out of town, but from the moment they get there David worries about seeming too obviously gay in front of the straight couples. Carol finally crosses a line when blaming Lisa's family for not allowing her to give her ..."
3,4,Nobody Sleeps,23 Mar. 2003,8.7,"Robert Lamar Griffin's rare heart disease finally takes its fatal toll, leaving behind his boyfriend Kevin Lamb, a scene-designer of the opera company where he was a lighting-designer, who requests Fisher & Diaz to allow him to create a Chinese opera set for the funeral. David suspects Rico's views of homosexuality are narrow and defends it, while the couple's having been together so long offer new insight to his relationship with Keith. With Ruth's birthday approaching, Lisa prepares to throw her a party despite Nate's warning that she prefers her birthdays without ..."
3,5,The Trap,30 Mar. 2003,8.1,"A lost pair of hikers discover the wrecked remains of a car with the skeleton of the driver, William Aaron Jaffe, inside. Nate is surprised by the son who never knew him not seeming to be troubled by it, and worried by the remarried widow's remark that they weren't right for each other and married too hastily - his own relationship with Lisa has become strained when she encourages him to cut back on his spending and considers staying home with Maya for a few years, without even letting him be the first to know. Things are further complicated when Nate runs into Brenda..."
3,6,Making Love Work,6 Apr. 2003,8.1,"Karen Postell Pepper suffers a hemorrhage to the nose while preparing to enter the ""Making Love Work"" TV studio with a question to ask Dr. Dave. Nate prepares to go on his first camping trip in 2 years (where he went without Brenda), with Lisa, Maya, and Dana, Todd, and their toddler daughter Spencer. By the time they arrive, though, he realizes he won't be able to drink 3 cans of beer that night or smoke cigarettes. Ruth becomes interested in Arthur the more she gets to know him, and rents a movie whose score he says he favors. David believes Russell is gay, though ..."
3,7,Timing & Space,13 Apr. 2003,8.2,"Surrounded by his family, Bernard Asa Chenowith dies of stomach cancer, and when Nate learns of it he requests Lisa's permission to attend his funeral since Brenda was there after his father's. Lisa agrees, and Nate plans to leave Maya with Ruth, but she's out secretly stalking Arthur jogging. Claire chooses to go shopping with Russell at an arts store, where Russell buys her a gift of an expensive bottle of paint she refused to purchase. David takes a reluctant Keith to Terry's party, where he's humiliated at playing a game and eventually leaves David to take his ..."
3,8,"Tears, Bones & Desire",20 Apr. 2003,8.1,"63-year-old polygamous family leader ""Daddy"" leaves behind 5 wives and numerous children of The People clan, making the Fishers intrigued about their spiritual and cultural beliefs, like their guarding his body throughout the embalming. Ruth gives Arthur an unwanted kiss and instantly breaks her vow not to do it again, so struggles to find a new way for her to express her passions for Arthur. Terry and Patrick invite themselves to Gay Paintball Day - which plays right into Keith's hands since he chooses to be on the opposite team as David as revenge for being taken to..."
3,9,The Opening,27 Apr. 2003,8.1,"Melinda Mary Bloch shuts herself in he garage in her activated car by way of suicide, leaving behind only a guilty ex-lover who worries Rico when he mentions she'd actually received treatment for depression, and Nate when he admits he'd tried to end their relationship more than once but wound up staying longer than he wished. Lisa, who's been having arguments constantly with him, officially meets Brenda at Claire's art show where Billy also has a display, and Brenda confronts her about her sneaky meeting and assures her she isn't close to Nate. When she and Olivier ..."
3,10,Everyone Leaves,4 May 2003,8.5,"Jeanette Louise Bradford has an allergic reaction to a bee-sting in Balboa Park, causing Keith to go to San Diego for his aunt's funeral and David to join him, encouraging him to discuss sleeping with a third man with him and to confront his father on his abusive childhood after the funeral. Russell admits he was sleeping with Olivier and an angry, betrayed Claire demands he leave her alone from now on. She and Ruth talk with each other about their relationship problems when Ruth learns Arthur is a virgin so there's nothing new to be gained from spending time with him..."
3,11,Death Works Overtime,11 May 2003,8.9,"Convience-store owner Dorothy Kim Su is fatally shot during a robbery. Nate is forced to file a missing-person report when he continues to hear nothing from Lisa. Construction-worker Edward Tully hits some electrical wires in the site where he's working during an earthquake, is electrocuted, and falls to his death. Nate calls David, where he's sleeping with Patrick, and tells him he's starting to panic, especially after the earthquake. Ruth has convinced herself, as usual, that everything, including Lisa, is fine, but doesn't convince Claire, who is set to believe ..."
3,12,Twilight,18 May 2003,8.5,"Woman-killer Carl Desmond Williman finally receives the death penalty by a lethal injection in Texas, and his unemployed daughter hires Fisher & Diaz for the funeral, and sleeps with Nate since they're both miserable and want to escape their problems, but he treats her unsympathetically the following day out of sheer guilt. David breaks up with Keith after spending more time with Patrick. Claire chooses to get an abortion and calls Brenda when she learns she needs a driver, who accepts. Ruth considers marrying George but does decide to slow things down a bit after ..."
3,13,"I'm Sorry, I'm Lost",1 Jun. 2003,9.2,"A piece of ""blue ice"" broken off an airplane strikes Anahid Havanessian, whose husband goes to Fisher & Diaz for a funeral...but changes his mind when, frustrated with the government for hiding that such deaths are common and suspecting Nate's silence is indifference, he's snapped at by Nate, who then snaps at David and Rico for telling him he lost them money by not demanding payment for the meeting when they ""switched to the local chapel"". Walking in the early hours of the morning to clear his head without success, and drinking heavily and sleeping with a bar ..."
4,1,Falling into Place,13 Jun. 2004,9.0,"In 1972, Bruno Baskerville Walsh took LSD at a party, and ""flew"" off the balcony where he stood, landing on a car in a parking lot. Ruth and George sleep together their first night of marriage...extremely loudly, annoying David and Keith, and Claire. The next day, Rico is guilty and tells Vanessa Angelica can stay however long she wants, but Vanessa actually kicks her out. Claire is furious with Nate for missing Ruth's wedding, until he returns home from sleeping with Brenda and announces her death. Claire tells Russell she aborted his child, and gets an amazing ..."
4,2,In Case of Rapture,20 Jun. 2004,8.0,"Devoted Christian Dorothy Sheedy mistakes inflatable dolls floating from a truck bed for angels, and jumps out of her car, unaware of her surroundings, and is hit by another driver. Her husband, also strong in his faith, doesn't know whether his wife's death was an odd accident or suicide but remains calm about it, believing it was simply her time to die. Nate doesn't accept that and when David forces him to stop pressing the man with questions on why his beliefs are thus and why he won't appear more angry or saddened, he quits the business and confronts Ruth for ..."
4,3,Parallel Play,27 Jun. 2004,8.2,Nate meets a divorced mom with a tot the same age as Maya and they soon arrange for a play-date for the kids - which turns out to be quite playful for them as well. David works with Arthur on his appearance - he buys him a new suit - and on his technique for dealing with clients. Arthur and Ruth receive a wedding present that contains a tin of feces. She's convinced she knows who sent it. Sophia has Rico wrapped around her little finger and he agrees to pay for her new boob job. Claire is surprised when she learns that Edie is a lesbian. Joe tells Brenda he wants to ...
4,4,Can I Come Up Now?,11 Jul. 2004,8.0,"Ruth is more convinced than ever that Arthur is responsible after they receive yet another package with feces. She decides she's going to lay a formal complaint with the police but George finally tells her it's not Arthur and knows who is sending these packages to them. David receives a frantic call in the middle of the night from Jennifer, his one-time fiancée, telling him that her father Lawrence Mason died from a lightning strike. He wants to help her out as much as possible but worries when her current fiancé seems less than supportive. When he reaches out to her ..."
4,5,That's My Dog,18 Jul. 2004,9.0,"Although their earlier visit did not go very well, Ruth suggests they invite George's estranged son Kyle for dinner. She's also thinking of inviting a friend of hers and introduce them. Nate goes to a grief management class but has trouble relating to the other participants. At the funeral home, Rico and Dave console Anne Thornton's husband who blames himself for his wife's death. Claire doesn't react well to criticism of her self-portraiture photos. David picks up an apparently stranded motorist but it all turns nightmarish for him."
