temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Du ser ut som en slut,25 Sep. 2015,7.3,"Eva is her first year at school and has fallen out with her old friends Ingrid and Sara. She only knows her boyfriend Jonas and his friend Isak at school. She gets convinced to go to school party, where she meets several new people."
1,2,"Jonas, dette er helt dust",2 Oct. 2015,7.4,"During fall holiday Eva, Jonas and Isak go on a cabin trip. Eva is annoyed because her boyfriend invited Isak along. The tension between them rises when she suspects Jonas is keeping secrets."
1,3,Vi er de største loserne på skolen,9 Oct. 2015,7.8,"Back at school Eva befriends Noora in her Spanish class. They and Sana gets invited by Vilde and Chris to join them in getting a bus for the graduation celebration when they become ""russ"" in three years."
1,4,Go for it din lille slut,16 Oct. 2015,7.8,"Sana and Vilde wants Eva to get in touch with Christoffer in the third year, to get them invited to a party with the third year boys, among them the most popular boy in school William."
1,5,Hva er det som gjør deg kåt?,23 Oct. 2015,7.9,"Eva invites Jonas for dinner to meet her mom. Vilde is falling for William, and the girls visits the school doctor to get contraceptives because Vilde has decided she wants to lose her virginity."
1,6,Man vet når gutter lyver,30 Oct. 2015,8.0,"Eva suspects that Jonas is cheating on her with her former friend Ingrid, and meets Isak to talk about it. Vilde reveals details about her and William. The girls go to a Halloween party Christoffer invited them to."
1,7,Tenker alltid det er meg det er noe galt med,13 Nov. 2015,8.1,"After kissing Christoffer on Halloween Eva feels guilty, and asks Isak for counsel. Noora wants Vilde to stand up for herself and stop caring for William after he started ignoring her for other girls."
1,8,Hele skolen hater meg,20 Nov. 2015,8.1,"Everyone knows about what happened on Halloween, and the entire school is gossiping about Eva. Jonas won't talk to her and on top of things Vilde finds out about her past. William starts to show interest for Noora."
1,9,Man er det man gjør,27 Nov. 2015,8.3,"Eva gets a threatening letter, and Vilde decides to leave the bus crew. Eva is thinking about changing to another school, while trying to find out who wrote the letter."
1,10,Jeg tenker at du har blitt helt psyko,4 Dec. 2015,8.5,"The girls start to get worried something is wrong with Vilde. Eva talks with Jonas after not talking for a long time. The girls go to a Christmas party, and Eva decides to confront Isak."
1,11,Et jævlig dumt valg,11 Dec. 2015,8.6,"Vilde reveals that she thinks she may be pregnant. William continues to flirt with Noora. Isak and Eva talk out, and Eva decides to have a heart-to-heart conversation with Jonas."
2,1,Om du bare hadde holdt det du lovet,4 Mar. 2016,8.0,Noora and Vilde is in disagreement over sponsors for the bus. Noora's flatmates Eskild and Linn are introduced. Noora trying to avoid William who has become very pushy in his advances towards her.
2,2,Du lyver til en venninne og skylder på meg,11 Mar. 2016,8.1,Rumors about her ex Jonas is spreading through school to Eva's dismay. Sana experiences hostility from some of the other Muslim girls at school. Noora can't avoid going on a date she promised William any longer.
2,3,Er det noe du skjuler for oss?,18 Mar. 2016,8.6,"Noora tries to keep the fact that she and William had a date a secret, specially from Vilde. Christoffer and some other of Williams friends has been in a fight. William is hosting a large party in his apartment."
2,4,Jeg visste det var noe rart med henne,25 Mar. 2016,7.7,"During Easter holiday, Noora and the rest of the girls go to Chris' grandmother's cabin. On their way they meet a weird boy named Kasper. They also play with an Ouija board and Vilde believes Sana has supernatural abilities."
2,5,Jeg er i hvert fall ikke sjalu,1 Apr. 2016,8.4,"Noora is worries that she isn't caring enough about the Syrian refugee crisis. William and his bus crew are raising money they owe after trashing a cabin during Easter, and Noora calls him out on being egotistical."
2,6,Jeg vil ikke bli beskytta,22 Apr. 2016,8.0,"William's brother Nikolai has returned to Oslo, and Noora has problems with William not introducing her properly to him. The girls discuss the fact that Jonas has been beaten up. Noora and William see a strange meeting."
2,7,"Noora, du trenger pikk",29 Apr. 2016,8.0,The russ celebration has begun. Noora is still keeping her and William's relationship secret from Vilde. Eskild takes on the case to find out if Isak is gay or not. The girls party with the third year boys in their bus.
2,8,Du tenker bare på William,6 May 2016,8.2,"William tries to explain himself to Noora after he was involved in the fight. Sana gives Noora some advice, and Noora decides to come clean to Vilde. While looking for William, Noora ends up at Nikolais party."
2,9,Jeg savner deg så jævlig,13 May 2016,8.2,Noora wakes up nude in bed with Nikolai not remembering anything from the day before and suspects she has been raped. Sana's problems with some other Muslim girls gets worse.
2,10,Jeg skal forklare alt,20 May 2016,8.7,"Eskild and Linn try to cheer Noora up, but she is still dealing with last Friday. Noora reluctantly goes to Eva to celebrate May the 17th, the National Day. She also decides to confront Nikolai, to find out exactly what happened."
2,11,Husker du seriøst ingenting?,27 May 2016,8.4,Vilde visits Noora. Noora talks to one of the girls from Nikolai's party to find out the truth. William does not answer Noora's calls and messages and haven't been seen at school.
2,12,Vil du flytte sammen med meg?,3 Jun. 2016,8.4,"Noora and William goes back to Williams apartment, and finds a letter from the police. William is wanted for questioning for hitting a boy with a bottle in a fight. Vilde and Noora tries to make sure no one witness against him."
3,1,"Lykke til, Isak",7 Oct. 2016,8.8,"Isak has to hide the drugs belonging to him, Jonas, Mahdi and Magnus at Eva's party when the police arrive, and he struggles to get it back. The first year girl Emma, shows interest in Isak. Isak joins the school revue group."
3,2,"Du er over 18, sant?",14 Oct. 2016,8.8,"In class Isak tries to get his drugs back from Sana. Isak is crushing on Even, and tries to find out more about him. Emma still interested in Isak invites Isak and the boys to a party at hers."
3,3,Nå bånder dere i overkant mye,21 Oct. 2016,9.0,"After ditching the party and lying, Isak have to make amends with his friends, and Emma. Isak is struggling to come to terms with homosexuality and his interest in Even. Vilde gets Isak to hold a party for the school revue at his place."
3,4,Keen på å bade,28 Oct. 2016,9.1,"Noora returns from London without William, and Isak is wondering how living conditions in the flat will be with four people. Even talks Isak into having a Halloween preparty, with him, his girlfriend and Emma."
3,5,Samme tid et helt annet sted,4 Nov. 2016,9.2,"Isak and Even spend time together, and talk about their relationship. Isak have to answer to his friends for ditching his Magnus' birthday that weekend. Isak and Eskild have a talk about homosexuality."
