temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,0,Unaired Pilot,17 Sep. 2000,7.6,"Cartman wakes up and realizes he was abducted by aliens after hearing it from his friends. He is in major denial at first though, but even Chef is a believer."
1,1,Cartman Gets an Anal Probe,13 Aug. 1997,8.0,"Cartman's dream about being abducted by aliens turns out to have actually happened, and when the aliens take Kyle's brother, all of them must find a way to bring the aliens back and confront them."
1,2,Weight Gain 4000,20 Aug. 1997,7.7,"Kathie Lee Gifford comes to South Park to present an award to Cartman, and Mr. Garrison hopes to use the event to assassinate her."
1,3,Volcano,27 Aug. 1997,7.8,The kids go hunting with the rather trigger happy Jimbo and Ned. Little do they know that a volcano is on the verge of erupting.
1,4,Big Gay Al's Big Gay Boat Ride,3 Sep. 1997,7.7,"Stan becomes distracted from the upcoming football game because his dog is gay, so he turns to the gayest man in town for advice, Big Gay Al."
1,5,An Elephant Makes Love to a Pig,10 Sep. 1997,7.6,Kyle tries to crossbreed an elephant with a pig to win a science contest.
1,6,Death,17 Sep. 1997,8.1,"Grampa wants Stan to kill him, the parents all want to kill the Terrance and Philip show, and Death just wants to kill someone."
1,7,Pinkeye,29 Oct. 1997,8.4,The living dead beset South Park after a bottle of Worcestershire sauce mixes with embalming fluid at the mortuary; Tina Yothers judged a costume contest.
1,8,Starvin' Marvin,19 Nov. 1997,8.2,"The boys sponsor a starving Ethiopian child, only to have him show up on their doorstep."
1,9,"Mr. Hankey, the Christmas Poo",17 Dec. 1997,8.2,"The town is forced to remove anything that either has anything to do with Christmas or is offensive in the least bit to anyone. And Kyle tries to convince everyone of the existence of ""Mr. Hankey, the Christmas Poo."""
1,10,Damien,4 Feb. 1998,8.0,The son of Satan called Damien is sent to Earth to find Jesus. Jesus and Satan end up in a fight of good and evil. The only problem is it's the same date as Cartman's birthday.
1,11,Tom's Rhinoplasty,11 Feb. 1998,8.0,"Stan develops a crush on a substitute teacher, which makes his girlfriend Wendy jealous. Meanwhile, Mr. Garrison has plastic surgery."
1,12,Mecha-Streisand,18 Feb. 1998,7.7,Barbra Streisand comes to South Park after she learns that the boys have discovered a mysterious ancient stone. She hopes to unlock the stone's magical powers and transform herself into a deadly robotic giant.
