temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Red Serpent,3 Jun. 2010,7.7,"Spartacus, a free man of Thrace, agrees to join the Romans to battle his tribe's enemies. A betrayal sends his life spinning out of control."
1,2,Sacramentum Gladiatorum,10 Jun. 2010,8.1,"Enslaved at a school for gladiators, a defiant Spartacus is blackmailed in an attempt to make him comply."
1,3,Legends,17 Jun. 2010,8.2,Spartacus schemes to earn money in a bid to see his wife again.
1,4,The Thing in the Pit,24 Jun. 2010,8.5,"After a poor showing in the Arena, Spartacus is consigned to the Pit, a place of pain and suffering."
1,5,Shadow Games,1 Jul. 2010,9.0,"Spartacus and Crixus face an undefeated giant gladiator. If they don't overcome their hatred for one another and work as a team, he will kill them both."
1,6,Delicate Things,8 Jul. 2010,8.6,"Learning that his wife arrives tomorrow, Spartacus plans a daring escape."
1,7,Great and Unfortunate Things,15 Jul. 2010,8.3,"Spartacus is forced to play a roman fighter in the games against a group of thracians, as he recalls his wife and how he met her. Meanwhile, there are some mysteries surrounding Barca's freedom as Pietros tries to deal with it."
1,8,Mark of the Brotherhood,22 Jul. 2010,8.4,Batiatus purchases a new group of gladiator trainees and considers selling Crixus. Meanwhile Crixus is still not fully healed but chafes at Spartacus assuming the role of champion. Ilithyia gets her own gladiator-in-training but trouble arises.
1,9,Whore,29 Jul. 2010,8.8,"Licinia wants to have a quality time with Spartacus, but Lucretia believes that he has spent so much time without a woman and send a slave to him to practice. When Ilithya learns the intentions of her friend, she wants a quality time for herself with Crixus, which may affect Lucretia's state of mind."
1,10,Party Favors,5 Aug. 2010,9.1,"Numerious, the Magistrate's son, is about to celebrate his birthday and the celebration will be at the house of Batiatus, so he decides to have Crixus and Spartacus facing each other in a demonstration battle. But when Ilithyia approaches Numerious, he changes his decision drastically."
1,11,Old Wounds,12 Aug. 2010,8.7,"The Magistrate is kidnapped and held captive by Batiatus in response to the events at his son's birthday celebration. Meanwhile, Spartacus deals with his wounds from the festivities and his fever dreams reveal something disturbing."
1,12,Revelations,19 Aug. 2010,9.1,"Glaber arrives at Capua to meet Batiatus and discuss the terms of support the house, but he wants to see the legend of Spartacus fighting before he makes his final decision. But that event leads to an important twist leaded by Crixus, which may affect all the intentions of Batiatus."
1,13,Kill Them All,26 Aug. 2010,9.7,"An epic battle between Spartacus and his gladiator brothers, against Batiatus and his Guards."
2,1,Fugitivus,3 Jul. 2012,8.2,"On the heels of the bloody escape from the House of Batiatus that concluded ""Spartacus: Blood and Sand"", the gladiator rebellion continues and begins to strike fear into the heart of the Roman Republic in ""Spartacus: Vengeance"". Gaius Claudius Glaber and his Roman troops are sent to Capua to crush the growing band of freed slaves that Spartacus leads before it can inflict further damage. Spartacus is presented the choice of satisfying his personal need for vengeance against the man that condemned his wife to slavery and eventual death, or making the larger sacrifices ..."
2,2,A Place in This World,10 Jul. 2012,8.2,The gladiators enter a house searching for Naevia and free the slaves. Lucretia wants to have a ritual for the gods and Doctore returns to the place he was before meeting Batiatus.
2,3,The Greater Good,17 Jul. 2012,8.4,"When the rebels receive news of someone they care about, Spartacus must decide whether saving one person is worth risking the lives of many."
2,4,Empty Hands,24 Jul. 2012,8.2,"Spartacus leads survivors through the woods, but Crixus gets separated and returns to a place of past suffering. Lucretia pries into Ilithyia's affairs, seeking influence with a powerful Roman."
2,5,Libertus,31 Jul. 2012,9.3,"Spartacus leads a bold mission to free Crixus from Roman captivity, but a storied gladiator from the House of Batiatus complicates matters. Ilithyia's scheming puts her marriage to Glaber at risk."
2,6,Chosen Path,2 Mar. 2012,8.2,"Spartacus urges his restless rebels to train for the defense of their new sanctuary. Lucretia and Ilithyia seek comfort from each other, while Glaber's forces swell with some deadly new recruits."
2,7,Sacramentum,9 Mar. 2012,8.6,Spartacus and his rebels try to increase their numbers by freeing fighters enslaved in foreign wars. Lucretia seeks to recruit one of her husband's former gladiators to outmaneuver powerful Romans.
2,8,Balance,16 Mar. 2012,8.5,"Spartacus gets a chance for vengeance when a prominent Roman is captured, but will he satisfy desire at the cost of the greater good? The intrigue amongst Glaber and the women surrounding him heats up."
2,9,Monsters,23 Mar. 2012,8.9,"Spartacus realizes his ethnically divided troop is neglecting its defense, proves it with a mock Roman surprise attack on the temple ruin and finds a way to get his men training and bonding, through competition and wine. Unexpectedly, Varinius arrives to 'relieve Glaber' just when Ashur has located Spartacus's lair. Ilythia informs Seppia that Glaber had her brother murdered to turn her rival into a weapon against him, but at the last moment saves and apparently reconciles with her startled husband."
2,10,Wrath of the Gods,30 Mar. 2012,9.4,Spartacus and a few surviving people are trapped on top of the Vesuvius volcano. Glaber and Ashur guard the entrance.
3,1,Enemies of Rome,25 Jan. 2013,8.7,"Furius and Cossinius can't capture the rebel slaves army, nor properly keep their plans secret. Realizing hiding will be much harder in winter, Spartacus decides to capture a town. First he and a trusted band sneak up to the commanders' hideout villa to slay them. The senate fears Rome itself may be endangered but lacks funds and men to mount a suitably large army. So Metellus turns to immensely rich, ambitious Marcus Crassus, who accepts, to eager son Tiberius's frustration without even negotiating an accordingly exalted status or mandate, and continuous private ..."
3,2,Wolves at the Gate,1 Feb. 2013,8.6,"Spartacus decides his army now needs a city to pass the winter, and lets escaped local slave Diotimos inspire his war council to choose and plan how to take over well-guarded Sinue (modern Sinuessa). Marcus Crassus completes preparing his legionary army. Eldest son Tiberius hopes his help will be rewarded with second rank, but fears being side-tracked in favor of seasoned young, general Caius Julius Caesar. The aristocrat last needs a rich, ambitious ally to pay his debts and finance his campaign, but loses points with Marcus by cockily playing with his slave-lover, ..."
3,3,Men of Honor,8 Feb. 2013,8.4,"Crassus sends Tiberius ahead with instructions to observe Sinuessa and wait. Caesar won't stand for being the boy's deputy and beheads the 'cowardly' gate keeper who escaped and reports Spartacus took the city easily. Despite Spartacus's explicit instructions, surviving Roman citizens suffer excessive cruelty, especially at the hands of Crixus's traumatized Naevia, who even kills blacksmith Attius. When Cilician pirates arrive, Spartacus learns their captain Heraclea has a secret deal with the late aedilius Ennius to use his seal to sell his thus laundered loot at ..."
3,4,Decimation,22 Feb. 2013,8.5,"Although Sinuesse's food supplies are running out and Cilican pirate captain Heracleo can't promise enough (except wine) even at premium prices, Spartacus orders to admit new slaves, after screening for undercover Romans, a group of which fails to force the gate. Young Caius Julius Caesar manages to pose as a escaped shepherd slave and wins the confidence of dishonest schemer Nemetes. thus he discovers and fuels dissension in Spartacus's camp, yet causes only the slaughter of most Romans and doubt in Crixus's mind whether Spartacus should still be obeyed. In the ..."
3,5,Blood Brothers,1 Mar. 2013,8.9,"Tiberius seems a bitter, broken boy, having had to beat his comrade Sabinus to death, lashing out at surviving true cowards. Father Marcus Crassus sends his mistress to coax his heir with wine and tenderness, but the knave chooses to rape the 'mere' slave by way of compensation. Senator Metellus is ignored when he rudely inquires why the army hasn't moved on Sinuessa, but will soon see. Spartacus tests Cricus' loyal patience to breaking point by leaving him behind during raids on Crassus's food supplies, announces he's sailing on Heracleo's ships to Sicily and ..."
3,6,Spoils of War,8 Mar. 2013,8.7,"Caesar's masterly manipulation allows a triumphant Roman recapture of Sinessa. Gannicus stays behind to cover the retreat of Spartacus and most warriors onto the icy mountain ridge, where they are pinned down in dire conditions. Crassus rewards Heracleo with gold and 'traitor' Laeta, but Gannicus manages during his escape with Sibyl to kill the pirate captain and rescue the new 'slave'. Crassus orders Tiberius, who hoped to resume deputy command, to preside over the celebration of Caesar's victory and bribes senator Metellus to share the looting of the whole city. ..."
3,7,Mors Indecepta,15 Mar. 2013,8.5,"Crassus is confident the trench and palisade he had built secretly will contain Spartacus's army and successfully sets a trap by advancing his general's tent perilously, but the braves get away. To see his debts paid, Caesar controls his fury, being relegated to lower command, while Tiberius is reinstated as Marcus's right hand. Kore conspires with Caesar to expose Tiberius's rape, but hearing her lover admit his paternal pride will forgive any filial flaw decides her instead to defect to the rebel camp. There Spartacus overcomes Crassus's impatience, which even peeks..."
3,8,Separate Paths,22 Mar. 2013,8.9,"Spartacus and the rebels arrive at a crossroads. With the relentless Crassus driving his men hard in the pursuit of Spartacus, the conflict between Tiberius and Caesar escalates."
3,9,The Dead and the Dying,5 Apr. 2013,9.2,Crassus learns that a fellow prominent Roman is attempting to steal the glory of defeating Spartacus. Spartacus looks for a bargaining chip he can use against the Romans.
3,10,Victory,12 Apr. 2013,9.7,Spartacus and his outnumbered rebels make one last attempt to win freedom in an epic final battle against the Romans led by Marcus Crassus.
4,1,Enemies of Rome,25 Jan. 2013,8.7,"Furius and Cossinius can't capture the rebel slaves army, nor properly keep their plans secret. Realizing hiding will be much harder in winter, Spartacus decides to capture a town. First he and a trusted band sneak up to the commanders' hideout villa to slay them. The senate fears Rome itself may be endangered but lacks funds and men to mount a suitably large army. So Metellus turns to immensely rich, ambitious Marcus Crassus, who accepts, to eager son Tiberius's frustration without even negotiating an accordingly exalted status or mandate, and continuous private ..."
4,2,Wolves at the Gate,1 Feb. 2013,8.6,"Spartacus decides his army now needs a city to pass the winter, and lets escaped local slave Diotimos inspire his war council to choose and plan how to take over well-guarded Sinue (modern Sinuessa). Marcus Crassus completes preparing his legionary army. Eldest son Tiberius hopes his help will be rewarded with second rank, but fears being side-tracked in favor of seasoned young, general Caius Julius Caesar. The aristocrat last needs a rich, ambitious ally to pay his debts and finance his campaign, but loses points with Marcus by cockily playing with his slave-lover, ..."
4,3,Men of Honor,8 Feb. 2013,8.4,"Crassus sends Tiberius ahead with instructions to observe Sinuessa and wait. Caesar won't stand for being the boy's deputy and beheads the 'cowardly' gate keeper who escaped and reports Spartacus took the city easily. Despite Spartacus's explicit instructions, surviving Roman citizens suffer excessive cruelty, especially at the hands of Crixus's traumatized Naevia, who even kills blacksmith Attius. When Cilician pirates arrive, Spartacus learns their captain Heraclea has a secret deal with the late aedilius Ennius to use his seal to sell his thus laundered loot at ..."
4,4,Decimation,22 Feb. 2013,8.5,"Although Sinuesse's food supplies are running out and Cilican pirate captain Heracleo can't promise enough (except wine) even at premium prices, Spartacus orders to admit new slaves, after screening for undercover Romans, a group of which fails to force the gate. Young Caius Julius Caesar manages to pose as a escaped shepherd slave and wins the confidence of dishonest schemer Nemetes. thus he discovers and fuels dissension in Spartacus's camp, yet causes only the slaughter of most Romans and doubt in Crixus's mind whether Spartacus should still be obeyed. In the ..."
4,5,Blood Brothers,1 Mar. 2013,8.9,"Tiberius seems a bitter, broken boy, having had to beat his comrade Sabinus to death, lashing out at surviving true cowards. Father Marcus Crassus sends his mistress to coax his heir with wine and tenderness, but the knave chooses to rape the 'mere' slave by way of compensation. Senator Metellus is ignored when he rudely inquires why the army hasn't moved on Sinuessa, but will soon see. Spartacus tests Cricus' loyal patience to breaking point by leaving him behind during raids on Crassus's food supplies, announces he's sailing on Heracleo's ships to Sicily and ..."
4,6,Spoils of War,8 Mar. 2013,8.7,"Caesar's masterly manipulation allows a triumphant Roman recapture of Sinessa. Gannicus stays behind to cover the retreat of Spartacus and most warriors onto the icy mountain ridge, where they are pinned down in dire conditions. Crassus rewards Heracleo with gold and 'traitor' Laeta, but Gannicus manages during his escape with Sibyl to kill the pirate captain and rescue the new 'slave'. Crassus orders Tiberius, who hoped to resume deputy command, to preside over the celebration of Caesar's victory and bribes senator Metellus to share the looting of the whole city. ..."
4,7,Mors Indecepta,15 Mar. 2013,8.5,"Crassus is confident the trench and palisade he had built secretly will contain Spartacus's army and successfully sets a trap by advancing his general's tent perilously, but the braves get away. To see his debts paid, Caesar controls his fury, being relegated to lower command, while Tiberius is reinstated as Marcus's right hand. Kore conspires with Caesar to expose Tiberius's rape, but hearing her lover admit his paternal pride will forgive any filial flaw decides her instead to defect to the rebel camp. There Spartacus overcomes Crassus's impatience, which even peeks..."
4,8,Separate Paths,22 Mar. 2013,8.9,"Spartacus and the rebels arrive at a crossroads. With the relentless Crassus driving his men hard in the pursuit of Spartacus, the conflict between Tiberius and Caesar escalates."
4,9,The Dead and the Dying,5 Apr. 2013,9.2,Crassus learns that a fellow prominent Roman is attempting to steal the glory of defeating Spartacus. Spartacus looks for a bargaining chip he can use against the Romans.
4,10,Victory,12 Apr. 2013,9.7,Spartacus and his outnumbered rebels make one last attempt to win freedom in an epic final battle against the Romans led by Marcus Crassus.
