temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,What Kind Of A Guardian Are You?,2 Dec. 2016,8.3,"After Kim Shin is sentenced to death for treason, he is reborn and wanders the earth in search of the bride who can release him from his immortality."
1,2,I'll Become Your Bride In 200 Years,9 Dec. 2016,8.4,"Eun Tak follows Shin and suddenly finds herself transported to Quebec. Realizing she is in a foreign country, she is convinced of Shin's true nature."
1,3,I See The Sword,9 Dec. 2016,8.4,Shin and a Grim Reaper rescue Eun Tak after she is kidnapped by loan sharks. Shin has Deok Hwa investigate Eun Tak's aunt who got her into trouble.
1,4,I Won't Leave You,10 Dec. 2016,8.2,"Shaken when Eun Tak tells him that she could see the sword all along, Shin still wants to live. The Grim Reaper offers to bring her to the afterlife."
1,5,I Have To End My Life,16 Dec. 2016,8.4,"Sunny and the Reaper meet again and go to a café. She grows impatient and tries to have a conversation, but when she asks his name he abruptly leaves."
1,6,Tomorrow,17 Dec. 2016,8.3,Shin sees Eun Tak in the future and asks her to pull out the sword. But Eun Tak doesn't understand the consequences that would bring.
1,7,I Think It's Your Face,23 Dec. 2016,8.7,"When Eun Tak returns home after her test, Shin, Deok Hwa and the Reaper greet her with a cake. She and Shin head out to the movies."
1,8,You Gave Her That Fate,24 Dec. 2016,8.6,"Eun Tak finally takes hold of the sword but Shin pushes her away. She is happy to know that she is the bride, but he doesn't seem to share her joy."
1,9,He'll Vanish Forever From This World To Another,30 Dec. 2016,8.6,"After hearing the truth of the sword from the Reaper, Eun Tak runs away from Shin. He looks everywhere he can think of but she is nowhere to be found."
1,10,Is She Really Your Sister?,31 Dec. 2016,8.8,"After the Reaper forgets that he erased Sunny's memory and makes a slip of the tongue, she demands to know who he is and why he knows her real name."
1,11,The Deity Is So Cruel To You And Me,6 Jan. 2017,8.5,"Shin learns something very shocking about Sunny from the Reaper. They go to the chicken shop, but the incredulous Sunny tells them to leave."
1,12,Forget About Me,7 Jan. 2017,8.8,Eun Tak remembers the Reaper's words when she sees a creepy ghost while at work. Shin and the Reaper realize that Deok Hwa is not who he seems.
1,13,Protect Her,13 Jan. 2017,8.8,The Reaper receives a punishment from the underworld authorities for revealing his identity and using his special powers for his own purposes.
1,14,Whom Have I Forgotten?,20 Jan. 2017,8.5,Shin pulls out the sword to protect Eun Tak from an evil spirit. He then departs for a desolate place where he struggles against loneliness.
1,15,Will You Be My Bride?,21 Jan. 2017,8.9,"Eun Tak is suspicious when Shin suddenly appears on the street in Canada, but he reminds her of her promise to treat him to a meal."
1,16,Goodbye And See You Again,21 Jan. 2017,9.0,"Shin proposes to Eun Tak amid the falling cherry blossoms. On a whim he wants to have the wedding in a few days, so they jump right into preparations."
