temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Encounter at Farpoint,26 Sep. 1987,7.0,"On the maiden mission of the U.S.S. Enterprise (NCC-1701-D), an omnipotent being known as Q challenges the crew to discover the secret of a mysterious base in an advanced and civilized fashion."
1,2,The Naked Now,3 Oct. 1987,6.6,The crew of the Enterprise is infected with a virus that causes them to behave as though they were intoxicated.
1,3,Code of Honor,10 Oct. 1987,5.2,"When the leader of an alien culture takes a romantic interest in Lt. Yar, he claims her for his own, to the dismay of his own wife, who, in turn, challenges Tasha in a fight to the death."
1,4,The Last Outpost,17 Oct. 1987,6.3,The Enterprise makes a confrontational first contact with the piratical Ferengi race as their two ships are ensnared by a presumed dead planet ready to judge them.
1,5,Where No One Has Gone Before,24 Oct. 1987,7.6,"Everyone accurately pegs a visiting propulsion scientist as a charlatan, but only Wesley Crusher recognizes his alien assistant as the real deal."
1,6,Lonely Among Us,31 Oct. 1987,6.3,"While distracted by two antithetical races applying for Federation membership, the Enterprise picks up a sentient entity that can alternately possess either man or machinery."
1,7,Justice,7 Nov. 1987,6.0,"On an alien planet, young Wesley Crusher commits a transgression - small by our standards but mandatorily punishable by death in theirs."
1,8,The Battle,14 Nov. 1987,6.9,"Beware Ferengi bearing gifts. Capt. Picard receives the Stargazer, a ship considered lost that he once commanded."
1,9,Hide and Q,21 Nov. 1987,7.0,"The Enterprise encounters Q again, and he tempts Riker by endowing him with the powers of the Q."
1,10,Haven,28 Nov. 1987,6.3,"While on a mission to a planet called Haven, Counselor Troi meets her husband to be, a marriage arranged by her father years before, as the Enterprise encounters a ship far deadlier than any combat could provide."
1,11,The Big Goodbye,9 Jan. 1988,7.4,Captain Picard and some of his crew are caught in a deadly trap in the holodeck as the result of a ship-wide scan from an alien race.
1,12,Datalore,16 Jan. 1988,7.7,"The Enterprise visits the planet where Data was created and discovers another android like him, but when he's assembled, he's not exactly like him."
1,13,Angel One,23 Jan. 1988,5.7,"Riker, Troi, Data and Yar beam down to a planet ruled by a matriarchal government in the hopes of locating a missing freighter crew."
1,14,11001001,30 Jan. 1988,7.5,The Enterprise docks at a starbase for repairs where it is commandeered by a race of technologically-linked aliens intent on using the vessel for their own purposes.
1,15,Too Short a Season,6 Feb. 1988,6.1,"The Enterprise transports an elderly Starfleet Admiral to negotiate a hostage crisis. When the Admiral takes a de-aging drug, he endangers both his life and the mission."
1,16,When the Bough Breaks,13 Feb. 1988,6.4,"A planet that was able to cloak itself for thousands of years suddenly reveals itself, with its inhabitants proposing peace. But, after initial negotiations, children of the Enterprise are kidnapped due to the infertility of the inhabitants."
1,17,Home Soil,20 Feb. 1988,6.9,"On Velara III, Geordi and Data discover a microscopic life form responsible for the death of an engineer stationed on the base."
1,18,Coming of Age,12 Mar. 1988,7.2,"Picard finds himself facing a strenuous test of his loyalty to Starfleet, one which the other members of the crew are struggling to cope with, whilst Wesley faces an equally challenging entrance exam at Starfleet Academy."
1,19,Heart of Glory,19 Mar. 1988,7.3,The Enterprise searches for answers as to why three Klingon warriors were the only survivors aboard a freighter just inside the Neutral Zone which was seemingly attacked by a Ferengi ship.
1,20,The Arsenal of Freedom,9 Apr. 1988,7.2,"The Enterprise encounters a planet long dead, but technical equipment still functions for the purpose of selling off its arsenal, along with self sufficiency."
1,21,Symbiosis,16 Apr. 1988,7.0,"The Enterprise encounters two neighboring cultures, one suffering from a plague, the other marketing a cure, and learns that nothing is as simple as it seems."
1,22,Skin of Evil,23 Apr. 1988,6.9,"Counselor Troi is held captive on a deserted planet by a slick, black, oily, sentient and immortal puddle of evil."
1,23,We'll Always Have Paris,30 Apr. 1988,6.6,"A scientist's experiment in time goes awry, reuniting Picard with an old flame, now married to the scientist."
1,24,Conspiracy,7 May 1988,8.2,"After diverting to a secret meeting with an old friend and some of Starfleet's finest commanders, Picard finds the Horatio blown to bits just hours after the meeting and he returns the Enterprise to Earth looking for answers."
1,25,The Neutral Zone,14 May 1988,7.5,"While assigned to investigate missing outposts in the Neutral Zone, the Enterprise revives three cryogenically frozen people found aboard a wayward derelict Earth vessel."
2,1,The Child,21 Nov. 1988,5.8,"Deanna is impregnated by a unknown alien life-form, and Dr. Katherine Pulaski joins the Enterprise as the ship's new Chief Medical Officer."
2,2,Where Silence Has Lease,28 Nov. 1988,7.1,"The Enterprise encounters a mysterious void in space and when they move in closer to investigate further, it envelops them and they can't get out."
2,3,"Elementary, Dear Data",5 Dec. 1988,8.1,An attempt to provide Data with a challenging Sherlock Holmes holodeck RPG scenario backfires when its Prof. Moriarty character accidentally becomes self-aware.
2,4,The Outrageous Okona,10 Dec. 1988,6.3,"The Enterprise rescues the captain of a broken-down freighter, only to become involved in a dispute between feuding worlds--each demanding custody of their guest. Data seeks help from Guinan in understanding humor."
2,5,Loud as a Whisper,7 Jan. 1989,6.6,The crew ferries a deaf mediator to Solais V to negotiate an end to a civil war.
2,6,The Schizoid Man,21 Jan. 1989,7.0,A dying anti-social scientist unintentionally comes upon the perfect vessel in which to preserve his intellect and arrogant personality - Data.
2,7,Unnatural Selection,28 Jan. 1989,6.5,Enhanced DNA developments trigger an epidemic of rapid aging. Caught among its victims - Dr. Pulaski.
2,8,A Matter of Honor,4 Feb. 1989,8.1,"Under an Officers Exchange Program, Riker serves aboard a Klingon ship, whose aging captain seeks an unwarranted bloody retaliation for suspected Enterprise treachery."
2,9,The Measure of a Man,11 Feb. 1989,9.2,"When Data resigns his commission rather than be dismantled for examination by an inadequately skilled scientist, a formal hearing is convened to determine whether Data is considered property without rights or is a sentient being."
2,10,The Dauphin,18 Feb. 1989,6.2,"Wesley falls for the young future leader of Daled IV, unaware just how dangerous the girl's protective and overly restrictive guardian can be."
2,11,Contagion,18 Mar. 1989,7.7,"Encountering the superior technology of a very ancient race creates system malfunctions for a doomed Federation starship, for the Enterprise, and for an eavesdropping Romulan warbird."
2,12,The Royale,25 Mar. 1989,6.7,"Worf, Data and Riker find themselves trapped in a recreation of a poorly written novel."
2,13,Time Squared,1 Apr. 1989,7.6,The Enterprise comes across its own shuttlecraft adrift in space - a duplicate - with an unconscious duplicate Capt. Picard inside.
2,14,The Icarus Factor,22 Apr. 1989,6.3,Riker's delight at being offered a command of the USS Aries turns to frustration when the man sent to prepare him for his mission is his estranged father; Worf's behavior leads Wesley to delve into Klingon tradition.
2,15,Pen Pals,29 Apr. 1989,6.8,"Data befriends an alien girl in distress, breaking the Prime Directive, while Wesley commands his first team."
2,16,Q Who,6 May 1989,9.0,"Q tries to prove that Picard needs him as part of their crew by hurling the Enterprise 7,000 light years away where they encounter the Borg for the first time."
2,17,Samaritan Snare,13 May 1989,6.6,"With Picard away for routine surgery, the Enterprise responds to an apparent distress call from a Pakled vessel."
2,18,Up the Long Ladder,20 May 1989,6.3,"An antiqued distress signal leads to two lost 22nd century Earth colonies, each facing doom in different ways, one by fire, the other by prolonged cloning."
2,19,Manhunt,17 Jun. 1989,6.1,A midlife Betazoid condition renders Ambassador Troi hot on the hunt for romance and wedlock with Captain Picard - or any man.
2,20,The Emissary,24 Jun. 1989,7.6,"The Enterprise addresses the emergency of an old Klingon ship coming out of stasis and ready to fight the Federation. A half-Human/half Klingon emissary arrives to help, who once knew Worf intimately."
2,21,Peak Performance,8 Jul. 1989,7.8,The crew of the Enterprise participates in war games.
2,22,Shades of Gray,15 Jul. 1989,3.3,"When Commander Riker comes down with a dangerous alien infection after an away mission, the only way to treat it may be through reliving his memories."
3,1,Evolution,23 Sep. 1989,6.6,"Wesley's latest science project escapes the lab, threatening the Enterprise and an eminent scientist's life-long project."
3,2,The Ensigns of Command,30 Sep. 1989,7.5,"After 111 years of silence, an extremely litigious alien race asserts its agreed upon right to wipe out a Federation colony in its territory."
3,3,The Survivors,7 Oct. 1989,7.7,"The Enterprise responds to a distress call from Rana IV, a Federation colony that is under attack from an unknown alien ship. When they arrive, they find the entire surface of the planet destroyed, save for a single house and two occupants."
3,4,Who Watches the Watchers,14 Oct. 1989,8.1,A proto-Vulcan culture worships Captain Picard and prepares to offer Counselor Troi as a sacrifice.
3,5,The Bonding,21 Oct. 1989,6.7,"A startling surprise awaits the crew of the Enterprise when a mission costs the life of a crew member, who left her son behind."
3,6,Booby Trap,28 Oct. 1989,7.5,"The Enterprise triggers an ancient yet effective trap left by an extinct race, with a perfectly preserved derelict ship serving as cheese for Picard."
3,7,The Enemy,4 Nov. 1989,7.9,La Forge gets left behind on a storm-plagued planet when the rest of his team encounters a Romulan warrior.
3,8,The Price,11 Nov. 1989,6.3,"While the Enterprise hosts negotiations for control of a stable wormhole, Troi forms a personal relationship with an opposing negotiator, unaware of his true being."
3,9,The Vengeance Factor,18 Nov. 1989,6.5,"The Enterprise pursues a race of ""gatherers"" who continue to raid Federation outposts, unaware of the dangers lurking among them."
3,10,The Defector,1 Jan. 1990,8.5,"When a Romulan officer defects to the Federation with a warning of a impending invasion, Capt. Picard struggles to decide if he is to be believed."
3,11,The Hunted,6 Jan. 1990,7.5,"Investigating a planet applying for membership into the Federation, the crew of the Enterprise finds a group of inhabitants who used to be soldiers, but now fight for their very existence."
3,12,The High Ground,27 Jan. 1990,6.8,"While visiting a planet under civil war, Dr. Crusher is taken hostage by an opposing faction of the planet's ruling government."
3,13,Déjà Q,3 Feb. 1990,8.6,"Much to Picard's displeasure, Q reappears on the Enterprise, claiming to have been ejected from the Q Continuum, and therefore, lost his powers."
3,14,A Matter of Perspective,10 Feb. 1990,6.8,"The widow of respected scientist Dr. Nel Apgar accuses Riker of seducing her and killing her husband. Rather than turn Riker over for unfavorable trial, the Enterprise reconstructs the facts."
3,15,Yesterday's Enterprise,17 Feb. 1990,9.2,"The Enterprise C enters the Enterprise D's time and space continuum, where they find Picard and crew in a constant state of war with the Klingons, and only Guinan knows it."
3,16,The Offspring,10 Mar. 1990,8.5,"After returning from a cybernetics conference to the Enterprise, Data creates his own ""child,"" much to the chagrin of his captain, and without regards to the ramifications with Starfleet."
3,17,Sins of the Father,17 Mar. 1990,8.3,"A Klingon commander comes aboard the Enterprise in an officer exchange program initiated by Starfleet, much to the chagrin of the crew."
3,18,Allegiance,24 Mar. 1990,7.5,Picard is kidnapped and held with three different aliens and meanwhile replaced with a replica as impostor captain.
3,19,Captain's Holiday,31 Mar. 1990,7.3,"After mediating a difficult trade agreement, Captain Picard is encouraged to take a much needed rest on a vacationing planet, where he's visited by a strange race from the future, in search of a dangerous weapon."
3,20,Tin Man,21 Apr. 1990,7.3,"The Enterprise reaches out to an alien being, while dancing around with the Romulans, who want to attack it in an act of vengeance."
3,21,Hollow Pursuits,28 Apr. 1990,7.8,"A shy member of the ""Enterprise"" crew becomes addicted to the holodeck, where relationships are easier than in real life, when his knowledge is needed in engineering."
3,22,The Most Toys,5 May 1990,7.7,"When transporting a dangerous material to the Enterprise, Data is kidnapped and the crew is led to believe he is dead when the shuttlecraft he was piloting explodes enroute."
3,23,Sarek,12 May 1990,8.2,Legendary Federation ambassador Sarek visits the Enterprise to conclude peace talks with a race called the Legarans. His arrival is accompanied with a rash of unusual emotional outbursts among the crew.
3,24,Ménage à Troi,26 May 1990,6.6,"When Deanna's mother spurns advances made by a Ferengi Daimon, he takes it upon himself to kidnap the two of them, along with Commander Riker and steal them away aboard his ship."
3,25,Transfigurations,2 Jun. 1990,7.0,"The Enterprise finds a deserted planet where a ship has crashed, and, with it, the lone survivor with no memory, but extraordinary healing powers."
3,26,The Best of Both Worlds,16 Jun. 1990,9.4,"Responding to a distress call on one of the Federation's outer-most colonies, the Enterprise arrives...only to find a big hole in the ground where the town used to be, and discovers the Borg are behind the attack."
4,1,The Best of Both Worlds: Part II,22 Sep. 1990,9.3,"Having absorbed Captain Picard and his knowledge, the Borg head for Earth, leaving Riker and the Enterprise desperate for an unanticipated way to defeat them."
4,2,Family,29 Sep. 1990,8.4,"After defeating the Borg, the crew of the Enterprise experiences shore leave in various ways. Captain Picard's return to his family's vineyard in France has some extraordinary repercussions."
4,3,Brothers,6 Oct. 1990,7.8,"After an accident aboard the Enterprise leaves one of its children in grave danger, Data commandeers the Enterprise, driven to take the ship to an unknown origin, where an interesting figure awaits."
4,4,Suddenly Human,13 Oct. 1990,6.5,"On a rescue mission to an alien shipwrecked training mission, they discover one of its trainees to be a human."
4,5,Remember Me,20 Oct. 1990,7.9,Dr. Crusher's fear of losing loved ones becomes real when her worries create an alternate reality.
4,6,Legacy,27 Oct. 1990,6.8,"The crew of the Enterprise enters into orbit around the home planet of their former crewmate, Tasha Yar, where they encounter her sister."
4,7,Reunion,3 Nov. 1990,8.4,"When the leader of the Klingon High Council passes on, Picard finds himself in the middle of the struggle for the now-vacant position. Meanwhile, Worf reunites with a past love, only to find he now has a son."
4,8,Future Imperfect,10 Nov. 1990,7.9,Riker awakens sixteen years after an away mission where he contracted a disease which destroyed his memory back to the point of infection - or so he's told.
4,9,Final Mission,17 Nov. 1990,6.9,"Before leaving for Starfleet Academy, Wesley Crusher accompanies Captain Picard on a dangerous mission."
4,10,The Loss,29 Dec. 1990,6.0,"As an unknown force drags the Enterprise, Deanna Troi struggles with the loss of her powers."
4,11,Data's Day,5 Jan. 1991,8.2,"Data tries to comprehend the complex emotions between O'Brien and Keiko, who are about to be married."
4,12,The Wounded,26 Jan. 1991,8.2,"After being fired upon by a Cardassian vessel, Picard races against time to find out the facts behind the Cardassian commander's claim that the Federation attacked one of their outposts."
4,13,Devil's Due,2 Feb. 1991,7.3,"While answering a distress call, Picard finds himself not sure of exactly who he is dealing with, but he's sure he's not dealing with the planet's version of the Devil, as she claims to be."
4,14,Clues,9 Feb. 1991,8.3,Effects of passing through a wormhole give the Enterprise crew a sense that they were unconscious for more than the thirty seconds they've been led to believe.
4,15,First Contact,16 Feb. 1991,8.2,"Disguised as an alien prior to First Contact, Will's life becomes imperiled when incurred injuries reveal his foreign internal structure to a xenophobic alien population."
4,16,Galaxy's Child,9 Mar. 1991,7.1,"As Geordi La Forge finally meets the real Dr. Leah Brahms, a tragic first contact leaves the Enterprise with a gigantic galactic infant suckling the ship's energy."
4,17,Night Terrors,16 Mar. 1991,7.2,"The Enterprise gets trapped in a Tyken's Rift, an energy-absorbing rupture in space, where all but Data, Troi and Guinan experience rising hallucinations and paranoia."
4,18,Identity Crisis,23 Mar. 1991,6.8,Lt. Commander Geordi La Forge and an old friend fight to defeat a parasite that is trying to transform them into another species.
4,19,The Nth Degree,30 Mar. 1991,8.1,"When assigned to investigate an unknown probe, Lt. Barclay is electrocuted through a shuttlecraft's computer, where he receives an unexplainable boost of confidence and a vast increase in his knowledge."
4,20,Qpid,20 Apr. 1991,7.3,"Aiming to get out of Jean-Luc's debt, Q forces Capt. Picard and his officers to live out the Legend of Robin Hood - with a past acquaintance as Maid Marian."
4,21,The Drumhead,27 Apr. 1991,8.4,A retired admiral boards the Enterprise in an effort to determine the actions aboard the ship surrounding an act of sabotage and possible treason.
4,22,Half a Life,4 May 1991,7.3,"Counselor Troi's mother visits the Enterprise and becomes infatuated with a man whose culture forces him into a suicidal ritual called ""The Resolution."""
4,23,The Host,11 May 1991,6.5,Dr. Crusher falls for someone who's not at all what she expects him to be.
4,24,The Mind's Eye,25 May 1991,7.8,Geordi is brainwashed by the Romulans to assassinate a Klingon governor.
4,25,In Theory,1 Jun. 1991,7.2,"When a female crew member is infatuated with Lieutenant Commander Data, he decides to give a romantic relationship a try. Also, the Enterprise finds itself having to maneuver through a dangerous nebula."
4,26,Redemption,15 Jun. 1991,8.5,Both Captain Picard and Lt. Worf must decide where their priorities lie as the Klingon Empire descends into a bitter civil war.
5,1,Redemption II,21 Sep. 1991,8.5,"As Worf fights in the Klingon Civil War, Captain Picard and his crew must stop the Romulans from helping their pawns achieve victory."
5,2,Darmok,28 Sep. 1991,8.7,Picard must learn to communicate with a race that speaks in metaphor under a difficult set of circumstances.
5,3,Ensign Ro,5 Oct. 1991,7.9,"Captain Picard foils a plot against the Bajorans with his new Bajoran officer, Ensign Ro."
5,4,Silicon Avatar,12 Oct. 1991,7.2,"The Crystalline Entity returns, and the Enterprise takes aboard a scientist to help track it down, but her personal agenda does not match Capt. Picard's."
5,5,Disaster,19 Oct. 1991,8.0,Collision with a quantum filament leaves Troi in charge of a damaged and endangered Enterprise with emergency bulkheads cutting off sections of the ship.
