temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Flittin',6 Sep. 2002,7.9,"Jack Jarvis is a widower, whose life is being made a misery by his unsympathetic neighbours. He would like to move away but can't find anywhere. Salvation comes when he hears that the man who lives in the flat across the way from Victor McDade,his old friend and fellow widower, in Osprey Heights tower block has died, thus creating a vacancy and allowing Jack to be near his old pal, proving that they may be pensioners but they are still game."
1,2,Faimly,27 Sep. 2002,8.0,"Victor's son is coming to visit, but cynical Jack doubts it will happen - especially when neither of them catch what time his train is supposed to be arriving at the station."
1,3,Cauld,13 Sep. 2002,8.7,"A particularly cold snap envelops Craiglang. People are slipping on the ice and, worse, dying of hypothermia. Winston has the perfect solution, to fiddle the electricity and get free heat. Victor is appalled at this display of criminality. But then it is very cold and needs must. . ."
1,4,Courtin',20 Sep. 2002,8.5,"Jack fancies Barbara, the nice lady from the charity shop, who agrees to go on a date with him after prompting from Victor. Barbara arranges a double date for Victor with her sister, who isn't exactly smashing. Meanwhile Winston gets barred from the Clansman by Boaby and has to seek a new local."
1,5,Waddin',4 Oct. 2002,8.2,"Shop-keeper Navid is planning a family wedding and everybody from Craiglang is invited. Except Jack and Victor, that is, who seem to have been left off the guest list. Fortunately Wullie Mac, one of the biggest rogues - or 'tappers' - on the estate has just died and Jack and Victor are sure that if they search his house they will find a suitable wedding present to gain them an invitation."
1,6,Scones,4 Oct. 2002,8.4,"Tam, the meanest man in Craiglang, has landed on his feet yet again by winning a life- time's supply of sweeties as well as free cinema tickets. Jack and Victor are not to be outdone and will come up with the winning slogan to advertise scones if it kills them. Meanwhile Harry Drennan, the long-lost husband of gossipy neighbour Isa, returns to the estate."
2,1,Gairden,28 Mar. 2003,8.6,"Cheeky local kids (neds) are monopolizing the local park, so Winston decides to create a garden as a peaceful retreat. Jack and Victor are kept busy when their friend Ronnie gets committed after he has been found dancing in George Square in his undies. They pose as his brothers to secure his release."
2,2,Wummin,4 Apr. 2003,8.4,"Jack and Victor decide to offer a helping hand to their recently-widowed friend Bert, who seems incapable of looking after himself. Winston, on the other hand, is certainly helping himself - to the favours of his new home help, Mrs. Begg. Later, they find that Mrs. Begg is offering more than she should be. . ."
2,3,Doacters,11 Apr. 2003,8.5,"Words don't come easy, but the world of books and a certain lady librarian have got Tam and Winston all of a-fluster. Yankee happy pills are proving more of a temptation to Jack and Victor though after they bump into their old pal Stuart."
2,4,Brief,18 Apr. 2003,8.1,"Victor feels the need to get away from it all and when he hears that Danny's wife is selling Danny's old car, he jumps at the chance to buy it, even though it involves having to outbid Manky Frankie and, at the end of the day, is not quite the bargain he had hoped that it would be."
2,5,Tappin',25 Apr. 2003,7.9,"A money-lender appears at Craiglang and finds no shortage of willing customers. Jack and Victor are in the money too, not, as Isa believes, because they have 'tapped' money from the lender but because they have bought stock market shares from Navid. Tam and Winston have a run-in with neds on the local golf course and challenge them to a grudge match, the winners to have the run of the course."
2,6,Scran,2 May 2003,8.6,"The workmen on the new building site are spending a lot of money on food and lining the pockets of take-away entrepreneur Vince, 'the Clydeside Poisoner'. With Navid away at his brother's funeral Jack and Victor are minding the store for him. Winston, who hates Vince, sees this as the perfect opportunity to set up his own fast food outlet from the shop and give Vince a run for his money."
2,7,Shooglies,9 May 2003,8.6,"To celebrate sixty years of friendship Jack and Victor go out for a meal but it costs the Earth and prompts them to lament the passing of the good old days. As it happens these are being celebrated in an exhibition at the city museum,dedicated to the Glasgow of their boyhood. Whilst there, they meet an old friend Frank McCallum, but he has certainly changed since they last saw him."
2,8,Buntin',16 May 2003,7.9,"Is it a fox rummaging around in the waste bins at the back of Navid's shop? No, it's Pete the Jakey, the slovenly town drunk of Craiglang. It's a surprise to everyone then when he turns up at the Clansman, clean-shaven and wearing a suit and tie. He explains that he has got a new job as the council's 'facility' but Jack and Victor don't believe him and decide to follow him."
2,9,Dug,23 May 2003,8.4,"Isa's husband Harry Drennan re-appears and, as she wants none of him, she gets Winston to pretend to be her boyfriend. Whilst Victor and his son have little in common Jack gets a tape from his daughter Fiona in Canada showing the family, and with it an invitation to go out and see her. Can Jack leave his old pal to fend for himself in Craiglang? Or, perhaps they could both go?"
3,1,Hoaliday,7 May 2004,8.1,Jack and Victor have crossed the Big Pond to stay with Fiona and are taking in all the tourist attractions - as well as the tacky souvenirs. With such an improved life-style why would anybody want to return to dreary old Craiglang? Where Winston has now got his feet under the table at Isa's. Her cooking is superb but he finds her incessant talking less palatable.
3,2,Swottin,14 May 2004,8.3,"Back from Canada, life in Craiglang seems really mundane to Jack and Victor, who consider taking up a hobby, such as enrolling for the First Aid Course at Glasgow University's night school. Boabby has troubles of his own. His custom is dwindling and he can't get his leg over. However, things could change when he brings in a pretty new barmaid and has a quiz night. Armed with their new-found knowledge Victor and Jack are determined to be the quiz champions."
3,3,Cairds,21 May 2004,8.7,"Osprey Heights has suddenly become the venue for a card school and tight-fisted Tam has won disabled Joe's disability scooter from him in a card game. Jack and Victor set out to win it back for him. Whilst Shug gets arrested as a Peeping Tom, Winston has the satisfaction of seeing his long-standing feud with the local bookie work in his favour when he discovers he has won the accumulator. Or has he?"
3,4,Big Yin,28 May 2004,8.9,"The neds are getting out of hand and need to be taught a little respect for their elders so Jack and Victor enlist the services of their hard man friend 'Big Yin' Innes. There is only one problem. 'Big Yin' must not be allowed near the Miduri, for that liqueur will have a very profound effect on him. Winston, meanwhile, counters bullying his own way when he gets a job at the local supermarket."
3,5,Oot,4 Jun. 2004,8.3,For decades reclusive Archie has hidden himself away from the world but now there is no hiding place as the council are due to demolish his house. Jack and Victor take him under their collective wings in an effort to bring him into the twenty-first century whilst Winston decides to turn his flat into a cinema.
3,6,Aff,11 Jun. 2004,8.0,The future looks bleak for Winston's leg. Victor pretends to be ill so his son will visit him and Isa meets a psychic in the Clansman and tells her she'll be run over with a car but Navid and everyone make a joke out of it.
4,1,Kill Wullie,22 Jul. 2005,8.2,Envy turns to bewilderment and then concern when Jack and Victor see their friend Wullie dating the considerably younger Rena and the rumours start to fly that she wants to kill him for his money. Winston's new leg is rather loose-fitting and therefore not the best place to hide his cash when a young layabout is roaming the estate conning the residents out of money.
4,2,Wireless,29 Jul. 2005,7.9,When Tam goes away on holiday Jack and Victor take over from him as D.Js running the local hospital radio service and acquire themselves quite a fan club. this does not include Navid who ends up in hospital with a delicate problem.
4,3,Dial-A-Bus,5 Aug. 2005,7.9,"Jack and Victor decide to make use of the Dial-a-Bus service to go into town but their trip turns into a nightmare when Davie the driver suffers one of his psychotic turns and refuses to stop. Winston takes advantage when Boabby goes on holiday by persuading his temporary barman that he is the owner of the Clansman and, as such, entitled to all the perks that brings."
4,4,Ring,12 Aug. 2005,7.9,"Tam proposes to Frances, the librarian - with everyone spying on them. Winston bullies him into lashing out on a new wedding ring, rather than re-using his first wife's, but unfortunately Jack swallows it whilst performing a conjuring trick. Can the prune juice bring it back for the big day? Navid discovers that being taken over by the Spire supermarket group is less advantageous than he imagined."
4,5,Hatch,19 Aug. 2005,8.7,"Jack has got satellite television but Victor has not so, to enable both of them to watch, they ask Shug to put in a connecting hatch between their two rooms. Isa gets the wrong end of the stick when she hears about this and soon it is going about Craiglang that they are a gay couple."
4,6,Who's the Daddy?,26 Aug. 2005,8.0,"A gang of construction workers headed by Chris move into Craiglang with orders to demolish the Clansman and replace it with new houses. Jack, Victor and Winston lead the protest outside the pub and come to the conclusion that one of them may well be Chris's father, a fact which they trust will prevent the Clansman from being knocked down. So, out of the trio, who's the daddy?"
4,7,Christmas Special: Cold Turkey,28 Dec. 2005,7.6,"Christmas is looming but Winston gets conned by a ned into buying a turkey so fresh it's still alive, Tam devises his own means of delivering Christmas cards for Frances and Jack and Victor are left out in the cold when they offend Isa, who usually supplies their Christmas dinner. Are there consolations to be had by joining the pensioners in the Community Centre?"
5,1,Drama,19 Jun. 2006,8.8,"Revenge is sweet for Winston when he exposes the new bookie Frankie Reid, supposedly the elder brother of his old adversary Stevie, as Stevie himself and, thanks to personal tips from pundit John McCririck via the T.V. set, takes him to the cleaners, though his triumph is short-lived. Jack and Victor win a free tour of a local whiskey distillery where they bend the rules and get thrown out - but with a valuable souvenir."
5,2,A Fresh Lick,26 Jun. 2006,8.4,"Chris the Postie, who used to be a decorator, has offered to paint and re-paper Isa's flat for £160, but Jack and Victor send him on his way, offering to do it for nothing. However, they make such a mess of it they are forced to pay Chris themselves. Boabby is literally exposed when Tam gets hold of a porn tape in which he appeared - as Troy the Gardener - and Shug accidentally treats the whole town centre to a showing of it."
5,3,Smoke on the Water,3 Jul. 2006,8.6,"As a birthday surprise for Victor's 75th, Jack arranges a fishing trip on the River Kelvin in Shug's dinghy, along with Winston. They drift downstream over a weir, leading to an argument, but find a picnic, which they wolf down. Actually it belonged to a group of neds, who are not pleased. There is reconciliation but everyone ends up, literally, all at sea."
5,4,Hard Nuts,10 Jul. 2006,7.9,"Whilst Navid undergoes a mid-life crisis and yearns to be young again, the Clansman is to be featured on a television show, 'Blighty's Hardest Boozers'. Unfortunately, it just isn't hard enough so Boabby goes recruiting among the neds as well as presenting Jack and Victor as tough guys. The producer is not convinced, but then a real hard nut turns up and is so realistic there is a knock-on effect."
5,5,All the Best,17 Jul. 2006,7.8,"Winston expresses an interest in moving to Finport by the sea, which he believes to be a playground for merry widows. Jack and Victor go with Isa to visit her recently-widowed friend Ella, who looks like Ken Dodd and whose husband was hired as a wedding chauffeur the following weekend. Jack agrees to take his place but a little too much of the celebratory spirit leads to him and Victor tying the groom nude to a lamp-post."
5,6,Saucy,24 Jul. 2006,7.9,Jack and Victor decide to look up Winston in his new seaside home.
5,7,Hogmanay Special: The Party,31 Dec. 2006,8.6,"Jack and Victor face a miserable New Year when they become trapped in a lift at Osprey Heights. Winston recalls the daddy of all Hogmanays, in the dim and distant past when Craiglang knew how to throw a party."
6,1,Hot Seat,13 Jul. 2007,8.0,"Craiglang is in the grip of a heat-wave and grown men are fighting amongst themselves to nab the shadiest bench in the park. Jack and Victor are the first through the park gates, so how come Tam and Winston have always beaten them to it? Isa hears that her husband has died but she finds it hard to get back into the dating game."
6,2,Fly Society,19 Jul. 2007,8.4,"Having won a swish night out in a radio contest Jack and Victor meet two charming wealthy ladies , Liz and Pam, to whom they tell a pack of lies involving their owning a yacht and a place in Kenya. The ladies invite them to a country house party, where they are joined by Winston, Tam and Isa,also posing as something they aren't. In fact there are more impostors than genuine guests, all on the make and all having to run for it."
6,3,Lights Out,26 Jul. 2007,8.4,"A truck ploughs into the electricity sub-station, causing a power cut. Navid's shelves are empty due to panic buying and the pumps are off in the pub. Worse, a robber is taking advantage of the situation, burgling Isa's flat. The police arrive but they may not be what they seem. Fortunately Winston is about to ride to the rescue."
6,4,Seconds Out,2 Aug. 2007,8.1,"A pizza parlour opens around the corner from the Clansman and Boabby falls for the charming Stacey, who works there. But he has a rival in Stevie the bookie and although Jack and Victor give Boabby advice it's down to local gym owner and former boxing champ Jim Watt to suggest that the rivals get into the ring and slug it out for a date with the lady. Jack and Victor meantime go to bizarre lengths to try and get themselves a free pizza from cash-in-hand delivery man Winston."
6,5,Hyper,9 Aug. 2007,8.4,"Craiglang is hit by two notable events - the first is Tam's sudden bout of generosity, though it quickly evaporates. More alarming is the presence of Hyperdales, the huge hyper-market which threatens to put an end to Navid's shop. He plans to sabotage it by committing arson after it has shut for the night. Tam, Winston, Jack and Victor try to dissuade him but . . .accidents will happen."
6,6,Recipe,16 Aug. 2007,7.7,"Everyone loves the ""Beefy Bake"", especially Jack and Victor. But when Pete the Jakey claims to have invented the recipe, Jack and Victor take on the might of the Henderson Bakery in the courts to reclaim his lost fortune. Meanwhile, Tam's penny-pinching is making Frances feel unloved - Isa thinks it's time the romance was put back into their relationship..."
6,7,One in One Out,23 Aug. 2007,8.0,Tam and Frances enjoy fame and fortune with their new addition but it means baby sitting stints for Jack and Victor which is proving a bit of a strain. And a major character ends the series close to death. There will be a Christmas and New Year special.
6,8,Christmas Special: Plum Number,23 Dec. 2007,8.1,It's Christmas time in Craiglang and Jack and Victor have joined the choir. Tam is plotting his way to the jackpot in Boabby's new fruit machine while Winston finds himself filling in as a Lollipop man at the top school in the region - a position coveted by others too...
6,9,Hogmanay Special: Hootenanny,31 Dec. 2007,8.0,"Jack and Victor's plans for a Highland retreat for Hogmanny go awry when they upset the locals, while Winston and Tam have plenty of trouble even getting there. Meena is away in India but Navid's jealousy over her old flame Natterjee draws him closer to Isa..."
7,1,Gadgets,7 Oct. 2016,8.3,Jack and Victor discover that gadgets make life anything but easier.
7,2,The Undrinkables,14 Oct. 2016,8.3,"Jack and Victor hear the news that an old friend has died. In his legacy, a new drink is appearing all over Craiglang. But where is it coming from?"
7,3,Job,21 Oct. 2016,7.6,Jack and Victor offer a helping hand to Methadone Mick. A parking fine from the past comes back to haunt Winston and Boabby visits the City Chambers to receive his Citizen's Civic Medal.
7,4,Small Change,28 Oct. 2016,6.9,"There are changes afoot in Craiglang. After one year of marriage, Fergie gets relationship advice from Jack and Victor, while Navid and Boabby settle a dispute over whose job is the cushiest."
7,5,Heavy Petting,4 Nov. 2016,7.3,Jack and Victor decide to become dog sitters. Meanwhile Isa limbers up for the Craiglang Bake Off and locks whisks with a local cake rival.
7,6,Down and Out,11 Nov. 2016,7.6,Emotions run high as the residents gather to watch the demolition of a Craiglang tower block. Jack and Victor are enticed by the manager of a local care home.
8,1,Fly Fishing,8 Mar. 2018,7.7,Winstons appeals to his friends for help as he is forced out of his house due to asbestos and Isa's on a mission to find out who's throwing her a surprise birthday party.
8,2,Grim Up North,15 Mar. 2018,7.8,"After news spreads that a creepy new undertaker, Sheathing, has moved into Craiglang, nobody quite knows what to make of him. Isa, who's heard the stories, spreads the fear amongst the residents that he's the grim reaper."
8,3,Balls Up,22 Mar. 2018,6.8,Boabby takes up walking football but suffers a heart attack so Jack and Victor decide to field their own team against another geriatric group. Their first game is a disaster but Isa has a plan to ensure ultimate victory. Hopefully it will work.
8,4,South Africa,29 Mar. 2018,7.0,Jack and Victor discover that shop-keeper Navid has a caravan at a fixed site and persuade him to let them stay there - with Winston tagging along. They are soon bickering and the decision to send Winston to buy drinks proves to be unwise. The weekend is rounded off with a bizarre game of oneupmanship and the discovery of a terrible mistake.
8,5,Pie,5 Apr. 2018,6.6,Whilst Navid's new automatic bar-code scanner confuses his elderly customers there is pandemonium at the local butcher's shop when a fight breaks out to claim the last steak pie. Meanwhile Tam's friendship with ninety-year old Maggie leads to false gossip regarding her will.
8,6,The Fall Guy,12 Apr. 2018,6.7,"Isa is delighted when old flame Callum returns after fifty years, having been a successful Hollywood stunt man and he also endears himself to learner driver Boabby by giving him lessons. Isa is keen that they take up where they left off but sadly Callum is not the man he was and his disappointment does not bode well for Boabby with the homeless Methadone Mick having to come to their rescue."
9,1,Local Hero,24 Feb. 2019,6.1,"Winston saves the day by thwarting a mugger and becomes an internet sensation. Meanwhile, Jack and Victor have one mix up too many and decide it's time to get mobile phones."
9,2,Cat's Whiskers,28 Feb. 2019,5.9,"Twilight Monthly magazine needs a new cover star and Victor is convinced he's the man for the job. Meanwhile, Winston battles with a neighbour to win a stray cat's affections."
9,3,Dead Leg - Part One,7 Mar. 2019,6.8,"In the first of this two-part special, Winston receives wounding news about his leg, Isa struggles with the creepiness of a new cleaning job, and Tam's tightfistedness plummets to new depths."
9,4,Dead Leg - Part Two,14 Mar. 2019,6.8,"A trip to the local cinema creates a baffling mystery for the residents of Craiglang. Meanwhile, Boabby the Barman gets hooked on internet dating and attempts to coax Winston into giving it a shot."
9,5,Hitched,22 Mar. 2019,7.4,Love is in the air as the gang rally together to create an unforgettable wedding day for one of the pals.
9,6,Over the Hill,28 Mar. 2019,8.7,"Isa gets into a fix with some animals, while Jack & Victor decide to go on that adventure."
9,7,That's Plenty,28 Mar. 2019,7.7,"A special, combining audience reaction to the finale of the series, and the actors thoughts on the show. Detailing the fan base for the show as well as showing cosplayers, uploads and stories from the internet. Interviews with Boabby, Shug, Mick, in the audience, and Isa and Navid on stage. We finally get to see Meena's face."
