temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode #1.1,11 Oct. 1960,8.0,"Bugs introduces many of his co-hosts individually: Pepe Le Pew, Yosemite Sam, Tweety, Sylvester and Speedy Gonzales. But Daffy Duck can't convince Bugs to introduce him as well, try as he might during the show."
1,2,Episode #1.2,18 Oct. 1960,7.9,"Rocky and Mugsy try to grab up some of the money from the sponsors of the show by going into the television business themselves, intruding on the proceedings in the process."
1,3,Episode #1.3,25 Oct. 1960,8.0,"The midget gangster Baby Faced Finster dresses up as a baby to escape the police. To his dismay, he ends up in the hands of Bugs Bunny, who treats him as a baby."
1,4,Episode #1.4,1 Nov. 1960,7.7,
1,5,Episode #1.5,8 Nov. 1960,8.0,"Desperate to appear on the show as the guest, Daffy dresses as a Hawaiian, a musketeer, and a knight, but his costume is deemed inappropriate by Bugs for each cartoon about to commence."
1,6,Episode #1.6,15 Nov. 1960,7.8,
1,7,Episode #1.7,22 Nov. 1960,8.0,
1,8,Episode #1.8,29 Nov. 1960,7.6,
1,9,Episode #1.9,6 Dec. 1960,7.6,
1,10,Episode #1.10,13 Dec. 1960,7.8,
1,11,Episode #1.11,20 Dec. 1960,7.7,
1,12,Episode #1.12,27 Dec. 1960,7.7,
1,13,Episode #1.13,3 Jan. 1961,7.6,
1,14,Episode #1.14,10 Jan. 1961,7.6,
1,15,Episode #1.15,17 Jan. 1961,7.6,
1,16,Episode #1.16,24 Jan. 1961,8.4,"Foghorn Leghorn introduces Miss Prissy, who, Foghorn says, is an old-time actress."
1,17,Episode #1.17,31 Jan. 1961,7.9,
1,18,Episode #1.18,7 Feb. 1961,8.1,
1,19,Episode #1.19,14 Feb. 1961,7.8,
1,20,Episode #1.20,21 Feb. 1961,8.4,"Bugs tries to indulge the audience in a bit of culture, such as in his own rendition of the opera, ""The Barber of Seville"", in spite of constant interruptions from Elmer Fudd."
1,21,Episode #1.21,28 Feb. 1961,7.5,
1,22,Episode #1.22,7 Mar. 1961,7.7,
1,23,Episode #1.23,14 Mar. 1961,8.1,
1,24,Episode #1.24,21 Mar. 1961,8.3,"Yosemite Sam wants to be the show emcee this time around, but Bugs chooses Pepe Le Pew instead, much to Sam's chagrin."
1,25,Episode #1.25,28 Mar. 1961,7.5,
1,26,Episode #1.26,4 Apr. 1961,8.2,
