temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Cakes,17 Aug. 2010,8.2,"In the first challenge, contestants bake a signature cake that expresses a personal meaning. The second challenge has them follow Mary Berry's general recipe for a Victoria sandwich. During the third challenge, they create a chocolate celebration cake with originality and flair."
1,2,Biscuits,24 Aug. 2010,8.0,"The tent comes to Scone Palace in Perthshire, and the bakers must deliver signature biscuits, Paul's recipe for scones, and a showstopping selection of petit fours."
1,3,Bread,31 Aug. 2010,8.1,"The Bake Off comes to Kent, where the bakers bake signature breads, cobs, and sweet and savory rolls."
1,4,Puddings,7 Sep. 2010,8.0,"This week the bakers must make their signature puddings, hot lemon soufflé, and crumble, suet, and bread puddings in Bakewell."
1,5,Pastry,14 Sep. 2010,8.0,"The Bake Off is in Cornwall this week, and the contestants must bake a savory pie, cornish pasties, and show-stopping pastry canapés."
1,6,Tea Party (Final),21 Sep. 2010,8.1,"For the finale, the remaining 3 bakers must make elegant miniature cakes. After an elimination, the remaining bakers will have to prepare 24 each of scones, sandwiches, choux pastries, and tarts to serve at a tea party."
1,7,The Great British Wedding Cake,20 Apr. 2011,8.5,"In this one-off special edition on the series, the three finalists from series one (Edd, Ruth and Miranda) returned. Paul and Mary set them the ultimate challenge, to make 2 Wedding Cakes in just 16 hours."
2,1,Cakes,16 Aug. 2011,8.4,The bakers make flavoured and decorated cupcakes.
2,2,Tarts,23 Aug. 2011,8.4,"In the second baking masterclass, The Great British Baking Show judges take us through some of the signature, technical, and showstopper challenges which they set the bakers in the Dessert and Pie episodes. Mary Berry and Paul Hollywood share all their tips and tricks to ensure the perfect results at home. Mary shares her family recipe for her Tipsy Trifle, Floating Islands, and Wobbly Apricot Tart, while Paul takes us through his Custard Tarts and showstopping Spanakopita."
2,3,Bread,30 Aug. 2011,8.5,Ten bakers remain and this week their bread-making skills are put to the test.
2,4,Biscuits,6 Sep. 2011,8.5,"The search for Britain's best amateur baker, with Mel Giedroyc and Sue Perkins, is now halfway through. The bakers take on biscuits and these bite-sized, delicate delights prove too much for some. As always starting with the signature bake, the remaining eight must impress legendary cookery writer Mary Berry and artisan baker Paul Hollywood with their interpretation of a classic biscuit. Who will crumble when it comes to judging and whose ginger nuts are too hot to handle? Next up, the technical challenge, where following a Mary Berry recipe is not as simple as it ..."
2,5,Pies,13 Sep. 2011,8.3,Pies Signature: Family pie with rough puff or flaky pastry. Technical: 6 x Miniature Pork Pies. Show Stopper: Meringue Pie
2,6,Desserts,20 Sep. 2011,8.5,Desserts Signature. Baked cheesecakes Technical. Chocolate roulade Show Stopper. Croquenbouche
2,7,Patisserie,27 Sep. 2011,8.5,Patisserie. Signature. Mousse cakes Technical. Iced fingers Show Stopper. Croissant Danish
2,8,The Final,4 Oct. 2011,8.6,It's the final and the three remaining contestants face their final challenge.
2,9,Masterclass 1,6 Oct. 2011,8.4,"Paul and Mary demonstrate how to make the Technical Challenges that they had set throughout the series. Masterclass 1 showed the first 4 of the series; Coffee and walnut Battenberg, Tarte au Citron, Focaccia and Brandy Snaps."
