temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Yesterday's Jam,24 Nov. 2007,7.7,Jen starts at Reynholm industries as the IT Manager. But it turns out she dosen't know anything about computers.
1,2,Calamity Jen,3 Feb. 2006,8.2,Denholm invites a stress expert when he starts a war against stress. Jen has a shoe problem which has a serious effect.
1,3,Fifty-Fifty,10 Feb. 2006,7.9,"When Roy gets dumped after a date, he starts believing that girls go for ""bad boys"" and creates a fake profile on a dating site and, surprisingly, gets a response. Meanwhile, Jen starts flirting with a security guard."
1,4,The Red Door,17 Feb. 2006,8.0,"Moss puts a picture of his head on his cup to make sure it doesn't get lost. Curious about the red door behind Roy's desk, Jen ignores the boys' warnings never to open it, and goes in. She finds the vampiric Richmond inside."
1,5,The Haunting of Bill Crouse,24 Feb. 2006,8.5,"Jen goes on a bad date with a coworker, Bill. Not wanting to ever see Bill again, she asks Moss to come up with a lie that would send Bill away for good if he comes to visit her. Moss panics under pressure and tells Bill that Jen is dead."
1,6,Aunt Irma Visits,3 Mar. 2006,8.2,Jen has her period and she starts to see the same symptoms in the boys. They say that it's impossible but they reconsider after they start having the same symptoms as Jen. They're even given their own website after talking about it online.
2,1,The Work Outing,24 Aug. 2007,9.5,"Jen's new boyfriend invites Roy, Moss and Jen to a controversial theatre play, which creates a series of misunderstandings that end up having unintended consequences of epic proportions."
2,2,Return of the Golden Child,31 Aug. 2007,8.2,Denholm dies and they have to go to the funeral and Roy is worried about dying.
2,3,Moss and the German,7 Sep. 2007,8.3,"Jen complains that Roy and Moss spend too much time together, so Moss takes a German cooking class."
2,4,The Dinner Party,14 Sep. 2007,8.7,"Jen has met someone normal, and plans for a nice dinner party. Things go awry when Jen invites her workmates after her original male guests cancel."
2,5,Smoke and Mirrors,21 Sep. 2007,7.9,"To help Jen with her bra discomfort, Moss miraculously invents the most comfortable bra in the world, so the gang decides to patent it without fully testing the product first. Moss also invents an alter ego to promote the product."
2,6,Men Without Women,28 Sep. 2007,7.7,Jen is offered a promotion but can she trust Douglas. The boys see this as an opportunity to goof off.
3,1,From Hell,21 Nov. 2008,7.8,"Moss is menaced by a gang of bullies at the park, Roy is forced to lend Douglas £20 and becomes obsessed with getting it back, and Jen's home is worked on by someone Roy suspects to be the infamous Builder From Hell."
3,2,Are We Not Men?,28 Nov. 2008,8.5,"Roy and Moss' attempt to bluff their way through conversations using generic football guy-talk goes catastrophically out of control when Roy befriends the wrong crowd. Meanwhile, Jen dates a man who looks like a magician to everyone."
3,3,Tramps Like Us,5 Dec. 2008,8.2,"Douglas is forced to wear anti sexual arousal electric pants after an incident with Jen. Jen looks for work elsewhere. Beyond his control, Roy finds himself shirtless and thrown out of the building."
3,4,The Speech,12 Dec. 2008,9.0,"Annoyed by the fact that Jen has inexplicably been declared the Employee of the Month, Moss and Roy play a prank on her to expose her ignorance about the Internet. Douglas and a hot newswoman with a secret past fall madly in love."
3,5,Friendface,19 Dec. 2008,8.5,Friendface - a place on the internet to make new friends - or is it? Jen gets seriously hooked and gets Roy and Moss to join after mentioning scrabble and girls there.
3,6,Calendar Geeks,26 Dec. 2008,7.8,Roy makes a move on a girl on 7th floor. He ends up fund raising for people with her brother's condition. She suggests a nude calendar with girls of the 7th floor. Roy'll take the photos. Jen doesn't buy it. It doesn't go as planned.
4,1,Jen the Fredo,25 Jun. 2010,8.1,Jen has to entertain a group of visiting sexist yuppie executives looking for a raunchy good time. Her solution is a role playing game with the IT Crowd. Moss also uses the game to help Roy get over his breakup with the love of his life.
4,2,The Final Countdown,2 Jul. 2010,8.4,"Roy tries to locate a window-cleaner who left his ladders in Roy's flat, Moss becomes a member of the strange, secret, elite club of Countdown (1982) champions, and Jen investigates what's going on in the Heads of Department meetings."
4,3,Something Happened,9 Jul. 2010,7.6,"Douglas falls under the spell of a crazy mystic, and Jen falls under the spell of a geeky keyboard player. Moss finds it all most entertaining and worthy of popcorn. Meanwhile, Roy is forced to sue his masseur for sexual harassment."
4,4,Italian for Beginners,16 Jul. 2010,8.3,Moss is obsessed with an iPhone in an arcade game. Roy is obsessed with a water park fire. Jen is obsessed with speaking Italian.
4,5,Bad Boys,23 Jul. 2010,8.4,"Moss and Roy blow off work and miss a party at work they really, really needed to attend, especially since instead they wander into a restricted zone where police suspect an abandoned package is a bomb."
4,6,Reynholm vs Reynholm,30 Jul. 2010,7.6,"Douglas' dead wife returns and sues him. Jen acts as his defence council, and Roy and Moss as his character witnesses."
5,0,The Internet Is Coming,27 Sep. 2013,8.5,"In the series finale, Moss discovers the power of women's slacks, while Roy's beef with a little person barista turns him and Jen into social pariahs and global hate figures thanks to the Internet."
