temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode I,20 Apr. 2020,9.1,Flashbacks chronicle Michael Jordan's college and early NBA days. The Bulls make a preseason trip to Paris amid tensions with GM Jerry Krause.
1,2,Episode II,20 Apr. 2020,9.1,Scottie Pippen rises from obscurity to become one of the NBA's best players. An injury early in Michael's career sows distrust with Bulls management.
1,3,Episode III,27 Apr. 2020,9.1,"Dennis Rodman's attitude and energy help the team win, but bring the drama off the court. The Bulls struggle to overcome the Pistons in the late '80s."
1,4,Episode IV,27 Apr. 2020,9.2,Phil Jackson's unique philosophy and demeanor take the Bulls to the next level. The team finally gets past Detroit and earns a shot at an NBA title.
1,5,Episode V,4 May 2020,9.1,"From Air Jordan and ""Be Like Mike"" to the '92 NBA Finals and the Olympic Dream Team, Michael becomes a global cultural icon unlike any other."
1,6,Episode VI,4 May 2020,9.0,"A revealing book and scrutiny of his gambling put a dent in Michael's reputation, but he remains focused on winning a third straight title in 1993."
1,7,Episode VII,11 May 2020,9.3,"Crushed by the death of his father, a mentally exhausted Michael retires in 1993 - to play baseball. The Bulls move on with Scottie in the lead role."
1,8,Episode VIII,11 May 2020,9.3,"Michael's return energizes the Bulls, the city and the NBA, but a playoff loss in 1995 fuels him to work harder than ever to get back on top."
1,9,Episode IX,18 May 2020,9.4,The Bulls face stiff challenges to their reign in 1997 against Utah and in 1998 versus Indiana. Role player Steve Kerr makes his mark on the dynasty.
1,10,Episode X,18 May 2020,9.6,"Battered and exhausted, the Bulls conclude their ""Last Dance"" with a sixth championship. Michael, Phil and others reflect on the end of the dynasty."
