temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Holiday Knights,13 Sep. 1997,7.7,The heroes and villains of Gotham City have various adventures during the Christmas holiday season.
1,2,Sins of the Father,20 Sep. 1997,7.9,A young street kid finds himself hunted by Two-Face and the boy insists that he help Batman stop the villain.
1,3,Cold Comfort,11 Oct. 1997,7.5,Batman and Batgirl hunt Mr. Freeze who is on a destructively nihilistic campaign.
1,4,Never Fear,21 Nov. 1998,8.3,"The Scarecrow threatens to unleash a powerful new toxin on Gotham City that removes all fear, leaving its victims unafraid of deadly danger. Complications arise when Batman is exposed to the gas."
1,5,You Scratch My Back,15 Nov. 1997,7.6,Catwoman entices the estranged Nightwing to cooperate with her against a gangster over Batman's wishes.
1,6,Double Talk,22 Nov. 1997,8.2,"Arnold Wesker, The Ventriloquist, is released from Arkham Asylum, deemed a healthy man - only to discover that his alternate personality Scarface may still be struggling to return."
1,7,Joker's Millions,21 Feb. 1998,8.2,"A destitute Joker unaccountably inherits a fortune from a hated rival, only to find out the hard way why."
1,8,Growing Pains,28 Feb. 1998,8.5,Robin tries to help a mysterious lost little girl against the equally unknown man pursuing her.
1,9,Mean Seasons,25 Apr. 1998,7.4,"Batman and Batgirl oppose Calender Girl, a mysterious woman who is attacking various youth oriented media events."
1,10,The Demon Within,9 May 1998,6.9,Klarion the Witch Boy takes control of Etrigan the Demon and the Dynamic Duo must stop his destructive mischief.
1,11,Over the Edge,23 May 1998,9.3,Batman and his allies apparently have their secret identities exposed and are now are hunted by the police.
1,12,Torch Song,13 Jun. 1998,7.1,"A rock singer is stalked by an obsessive pyrotechnician turned supervillain, Firefly."
1,13,Love Is a Croc,11 Jul. 1998,7.0,"Seeing a kindred spirit, Baby-Doll springs Croc from custody to be her lover and partner in crime."
2,1,The Ultimate Thrill,14 Sep. 1998,6.9,"Batman contends with Roxy Rocket, a stuntwoman-turned-criminal who gets a real thrill out of taking dangerous risks."
2,2,Critters,19 Sep. 1998,5.8,A ruined agricultural breeder of dangerously oversized livestock plots his revenge on Gotham City.
2,3,Cult of the Cat,18 Sep. 1998,7.0,Catwoman is pursued by a fanatical cat themed cult.
2,4,Animal Act,26 Sep. 1998,6.9,The animals from Nightwing's old circus are now inexplicably committing crimes.
2,5,Old Wounds,3 Oct. 1998,8.9,Dick Grayson reveals to his successor the secret of the strained relationships with his mentor and Barbara Gordon.
2,6,Legends of the Dark Knight,10 Oct. 1998,8.5,Several children give their widely varying opinions of who they think Batman is.
2,7,Girl's Night Out,17 Oct. 1998,7.8,"When Livewire escapes in Gotham City, Supergirl and Batgirl team up to find her, but the supervillainess has joined with Harley Quinn and Poison Ivy herself."
2,8,Chemistry,24 Oct. 1998,7.6,Bruce Wayne falls for and marries the perfect woman who has a dark secret.
2,9,Judgment Day,31 Oct. 1998,8.7,"Batman investigates the sudden appearance of ""The Judge,"" a faceless vigilante who battles Gotham City's supervillains with lethal force."
2,10,Beware the Creeper,7 Nov. 1998,8.0,"The Joker throws a reporter into a vat of chemicals and turns him into the manically wacky superhero, The Creeper."
2,11,Mad Love,16 Jan. 1999,9.4,Harley Quinn tries to impress her love while the origin of her career as The Joker's sidekick is revealed.
