temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,We Just Decided To,11 Sep. 2012,9.1,Will's professional idealism is put to the test with his new news team when they are first to cover the Deep Horizon platform oil spill.
1,2,News Night 2.0,18 Sep. 2012,8.0,The news team make their first stumble when their spotlight on Arizona's new immigration law turns into a pundit free-for-all debacle.
1,3,The 112th Congress,25 Sep. 2012,8.3,"As the news team covers the Tea Party candidates during the US Congressional mid-term elections, the network 's senior executives confront Charlie about Will's newly confrontational tone."
1,4,I'll Try to Fix You,2 Oct. 2012,9.0,Will's new idealism leads him to be playing into the hands of the tabloid press determined to discredit him.
1,5,Amen,16 Oct. 2012,8.5,"On the week of 2011's Valentine's Day, the news team is forced to hire a local Egyptian stringer to report on Arab Spring developments and find they have placed him in great danger."
1,6,Bullies,23 Oct. 2012,8.6,"As Will deals with insomnia and online death threats, Sloan's frustrating interview with a Japanese nuclear rep about the Fukushima disaster gets her in major trouble."
1,7,5/1,30 Oct. 2012,8.5,"When Charlie gets a tip from a mysterious informant that the President is about to make a major announcement, the news team tries to confirm what it is about."
1,8,"The Blackout, Part 1: Tragedy Porn",6 Nov. 2012,8.0,"To salvage their ratings, the news team decides to lead with lurid criminal trial coverage at the expense of more worthy stories like the debt ceiling debate."
1,9,"The Blackout, Part 2: Mock Debate",13 Nov. 2012,8.2,"To get the last rating jump to get the Republican Party Debate, the news team get an exclusive interview with a former friend of Casey Anthony."
1,10,The Greater Fool,20 Nov. 2012,8.9,Will is in the hospital and is too discouraged to return to work as his colleagues get the final clue needed to thwart the execs wanting to fire him.
2,1,"First Thing We Do, Let's Kill All the Lawyers",15 Jul. 2013,8.2,A lawyer interviews Will McAvoy about an institutional failure at ACN related to a news story that has been proved inaccurate.
2,2,The Genoa Tip,22 Jul. 2013,8.2,"After running with what the team believes is an accurate tip backfires, delivering a heavy blow to their credibility."
2,3,Willie Pete,29 Jul. 2013,8.1,"Will discovers that someone has leaked information to Nina Howard, the Genoa team uncovers more leads in the story, and Maggie prepares for the Uganda trip. Meanwhile, Jim takes a stand against Romney's press team."
2,4,Unintended Consequences,5 Aug. 2013,8.4,"October 3, 2011: When Will's interview with Shelly of OWS goes horribly wrong, the Genoa team are at risk of losing a potentially valuable lead. Recounting her trip in Uganda to Rebecca Halliday, Maggie relives the experience. Jim's frustrations with the Romney campaign continue."
2,5,News Night with Will McAvoy,12 Aug. 2013,8.3,"March 16, 2012: As fighting erupts in Syria and investigations into the killing of Trayvon Martin begin, Will receives a surprise phone call from his father. Meanwhile, pictures of Sloan posing naked appear on the web and Jim believes Maggie's performance at work is being affected by her time in Uganda."
2,6,One Step Too Many,19 Aug. 2013,8.1,"Will makes an appearance on an ACN morning show. Jim meets old friends and foes when Hallie comes to visit. The ACN staff interview a general with knowledge of Operation Genoa, but Jerry's handling of the interview may prove costly."
2,7,Red Team III,26 Aug. 2013,9.2,"In the aftermath of ACN's Operation Genoa report, the staff who put it together face some serious blowback, not just when the government responds but also when the sources' credibility comes into question."
2,8,Election Night: Part I,9 Sep. 2013,8.5,"On the night of the 2012 presidential election, Maggie and Don chase a story, Sloan and Mac ask Neal for a favor, Don learns that Jerry has a lawsuit in store for him too, and Will and Mac's personal differences return."
2,9,Election Night: Part II,16 Sep. 2013,9.1,"As coverage of Election Night 2012 continues, the staff has to decide on which breaking story to pursue. Leona decides to let Reese decide. Mac and Will's situation heads closer to the edge. And Sloan finds her anonymous bidder."
3,1,Boston,10 Nov. 2014,8.8,"In the wake of the Genoa debacle, the team decides to use caution in reporting a major breaking story. Neal is contacted by an anonymous source in possession of stolen government documents; Sloan looks to solve a takeover puzzle."
3,2,Run,17 Nov. 2014,9.1,"While Rebecca must once again defend ACN during a possible lawsuit, Will tries to protect Neal from the aftermath of the DOD leak; Charlie and Leona deal with a hostile takeover; Sloan worries about Don's involvement with insider information."
3,3,Main Justice,24 Nov. 2014,8.7,"When the team attends the White House Correspondents' Dinner in Washington, Mac makes an unexpected acquaintance and Will gets a surprise."
3,4,Contempt,1 Dec. 2014,9.1,"Will continues to defy the government by refusing to out the name of the source of the stolen documents. The team tries to make sure that the first reporter that wrote the story gets out of the middle east safely, and ACN's new buyer's style of news doesn't sit well with Charlie. Sloane and Don keep dodging Human Resources, and Mac sets up a secret meeting of her own. Sloane and Charlie try to find another buyer for ACN. Jim tries to be supportive of his girlfriend's online column."
3,5,Oh Shenandoah,8 Dec. 2014,9.4,Shocking information regarding the source comes to light in the fight for Will's freedom.
3,6,What Kind of Day Has It Been,15 Dec. 2014,9.2,The team looks forward as they mourn the loss of a coworker.
