temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Downsize,9 Jul. 2001,7.8,David Brent is the manager of the Slough branch of the Wernham Hogg paper company and he and some of his staff are having a bit of a rough morning after over-imbibing the night before. When his boss Jennifer Taylor-Clark drops in she tells him that the company can no longer afford both a Swindon and a Slough branch and that one is to be merged into the other. She also tells him there are going to be redundancies. Word spreads through the office quickly but David assures everyone that their jobs are safe.
1,2,Work Experience,16 Jul. 2001,8.2,"David hires Donna, his lodger and the daughter of his best friend. While showing her round the office he discovers a doctored pornographic image of himself. Gareth, due to his covert operations skills, is told to catch the culprit."
1,3,The Quiz,23 Jul. 2001,8.2,"It is Tim's 30th birthday - he receives a card from Dawn and an unusual inflatable gift from Lee. More importantly, however, it's Quiz Night and there are reputations to be made or lost."
1,4,Training,30 Jul. 2001,8.9,To fend off the increasing staff disillusionment a Training Day has been scheduled. Dawn's engagement to Lee is on the rocks and Tim begins to think that he may at last have a chance with her.
1,5,New Girl,13 Aug. 2001,8.0,"Tim decides there's no future for him in selling paper and decides that he going to go to university and study psychology. After staying out all night, Donna shows up for work late and after David admonishes her announces she had spent the night with someone from the office. David is also interviewing for a new secretary and given the choice of Stuart Foote and Karen Roper selects the blond Karen. Gareth gives a Health and Safety seminar, but Donna is the only employee he's invited. Chris Finch shows up at the office and they all go on their regular Wednesday outing ..."
1,6,Judgement,20 Aug. 2001,8.3,"It's the day to announce the redundancies. Tim tells David he's leaving and is happy to do so. Dawn is actually hoping that she'll be one of the redundancies. When Jennifer Taylor-Clark arrives, she announces to David that she's been promoted and he is in line to replace her. It would mean however that the Slough branch would be reduced in size and bear the brunt of the redundancies. He accepts without hesitation. Gareth takes the news particularly hard. David becomes the hero when he subsequently announces that he's decided to turn down the job to save the branch."
2,1,Merger,30 Sep. 2002,8.4,"It's the day of the big merger. The Swindon branch has closed and several of the staff, including the new manager of the combined Slough Branch, Neil Godwin, arrive. Tim is comfortable in his new role as the senior sales rep while Dave and Gareth continue with their own wacky humor. Dave in particular puts his foot in it with his welcome speech of jokes and anecdotes that go over like a lead balloon. In the party afterward his racist joke leads to a complaint from one of the new intake as does his feeble attempt at humor about drugs, leading Jennifer Taylor-Clark to ..."
2,2,Appraisals,7 Oct. 2002,8.3,David is doing staff appraisals which most of the staff approach with their usual level of enthusiasm. Part of the process is for them to to give feedback on David's performance and this seems to get most of his attention. Dawn is surprised - and seemingly a bit jealous - when one of the newcomers asks if Tim has a girlfriend. David's offhand remarks sets Neil off and he lets David know exactly who is boss.
2,3,Party,14 Oct. 2002,8.5,"David takes on a new look that, not surprisingly perhaps, reflect his new boss Neil's tastes. His already over-inflated ego gets a boost when a training firm offers him a handy sum for a 15 minute training presentation. Neil on the other hand declines the same offer saying he's too busy. The office has a bit of a celebration when one of the new arrivals from Swindon has a birthday. The gifts she receives are a bit on the risqué side but David stuns everyone into silence with his feeble attempt at humor."
2,4,Motivation,21 Oct. 2002,8.5,"David's attempt at being cool includes sporting an earring. His session as a trainer arrives but his unique approach doesn't work very well. Tim and Rachel are carrying on at the office, much to Gareth's dismay. Dawn doesn't seem too pleased either. Neil takes David to task for not thinking things through before making decisions. He also tells him he's more worried about being popular than steering the ship in the right direction."
2,5,Charity,28 Oct. 2002,8.9,"It's the annual comic relief day fund raiser at the office and the employees are up to their usual silliness. Tim raises money from his mates by playing a prank on Gareth. Dawn is selling kisses at reception and the bashful Tim buys one. It leads him to reconsider his relationship with Rachel but he's devastated when he hears of her near-term plans with Lee. Others in the office have their own take on humor but David is again pushed to extremes when the ever popular Neil does a spot on John Travolta imitation from Saturday Night Fever. Humor aside, David has also ..."
2,6,Interview,4 Nov. 2002,8.9,It's David last day and he is outwardly very calm about it all. The company has sent a writer to interview him for an article on leadership and his idea is to dictate the contents rather than answer any of her questions. He thinks he has a bright future as a trainer but gets bad news on that front as well. He tries to reverse Neil's decision but to no avail. Tim decides it's time to have a chat with Dawn. Gareth is convinced that he's in line to replace David.
3,1,Christmas Special: Part 1,26 Dec. 2003,8.7,"It's been three years since the BBC documentary crew first arrived at the office. Back for one last visit, they find Gareth Keenan now in charge and is running the office with a military precision. Since we last saw David Brent he has become a sales rep for a cleaning products company, released his own pop single and has acquired an agent to look after his celebrity appearances. He visits his old workplace regularly, despite him successfully suing Wernham Hogg for unfair dismissal. The big news for Tim is the imminent arrival of Dawn. The documentary crew has kindly ..."
3,2,Christmas Special: Part 2,27 Dec. 2003,9.5,"Tim's world is rocked when Dawn turns up at the office to say hello. Despite a stern warning from Gareth and wise words from Keith in Accounts, Tim can't help but get his hopes up again. Meanwhile, David Brent has been using the services of a dating agency and, in between making celebrity appearances in nightclubs, he meets up for drinks with a rather disappointing selection of single women. The office Christmas party kicks off like any other but there are a few surprises in store..."
