temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,26 Nov. 2003,8.5,"While Dutch and Claudette investigate the murder of Nancy Reborg, they discover that her daughter is missing and has been sold by her addict father to a child molester. David tries to crack corruption in the Barn by recruiting Terry to help him take down Vic."
1,2,Our Gang,19 Mar. 2002,7.9,"Following the shooting death of a police department informant, Aceveda turns up the heat in the investigation of Mackey and his Strike Team."
1,3,The Spread,26 Mar. 2002,7.7,"It's warrant sweep day at the Barn. Vic and the Strike Team discover visiting NBA superstar Derrick Tripp hanging out with his ""homies"" before the evening game with the Lakers. Vic decides to do his part for the home team by keeping Tripp as a ""friendly hostage"". One of Vic's street informants, Connie, approaches him after having been roughed up by a new john. Vic hands off the case to Claudette and Dutch, who is convinced they're on the trail of a serial killer. Dutch's theories are proved wrong when he and Claudette ultimately discover that their perp is not a ..."
1,4,Dawg Days,2 Apr. 2002,7.9,"A dispute over an up-and-coming singer's success erupts in a gang war that threatens to bring Vic down, too; a case that could help Aceveda's political future sends Dutch and Claudette searching for a missing day laborer."
1,5,Blowback,9 Apr. 2002,8.5,Mackey must recover the stolen evidence from a drug bust before Aceveda is able to pin the theft on him.
1,6,Cherrypoppers,16 Apr. 2002,8.4,"As Dutch's theory about a serial killer preying on prostitutes proves true, he convinces Aceveda to launch an all out effort to find him before he strikes again; Julien decides to bring down Vic for stealing drugs."
1,7,Pay in Pain,23 Apr. 2002,8.1,The murder of seven gang members has Vic be teamed with a Latino detective assigned to crack the case.
1,8,Cupid & Psycho,30 Apr. 2002,8.1,"As the Strike Team is reassigned pending the investigation in the theft of evidence, Vic teams with Claudette in order to keep some deadly drugs off the street."
1,9,Throwaway,7 May 2002,7.9,Lemonhead sets out to make things right following his shooting of an unarmed man.
1,10,Dragonchasers,14 May 2002,8.7,"As Dutch uncovers a lead to the serial killer, a reporter questions force Aceveda to explain problems he thought were buried far in the past."
1,11,Carnivores,21 May 2002,8.1,A confrontation between a local drug dealer and Black Muslims places Vic in danger of being exposed.
1,12,Two Days of Blood,28 May 2002,8.1,"As a deployment policy leads to a double homicide that places Aceveda in the hot seat with potential voters, Vic is forced to help Gilroy avoid being implicated in a hit and run."
1,13,Circles,4 Jun. 2002,8.8,"As cop killings strike Farmington, Aceveda is caught between two corrupt cops looking to save their own skins."
2,1,The Quick Fix,7 Jan. 2003,8.2,"As Captain Aceveda tries to fend off a city council investigation, Vic looks to stop a pair of brutal drug lords from moving into Farmington."
2,2,Dead Soldiers,14 Jan. 2003,8.6,An arson attack on a local drug dealer threatens to expose Vic's protection racket.
2,3,Partners,21 Jan. 2003,8.1,An amputated arm sends Dutch in search of a sadomasochistic killer; Vic sets out to help his old mentor on the force get revenge against the thug whose complaint forced him into retirement.
2,4,Carte Blanche,29 Jan. 2003,8.2,A murder investigation leads Vic to a massive money-laundering scheme.
2,5,Greenlit,4 Feb. 2003,8.1,Elementary school drug dealing prompts Vic to redouble his efforts to bring down a ruthless new supplier.
2,6,Homewrecker,11 Feb. 2003,8.1,The Barn mobilizes to investigate a murderous rampage at a battered women's shelter.
2,7,Barnstormers,18 Feb. 2003,8.1,"As a new murder investigation exposes Dutch's crisis of confidence, Vic sets out to stop the abuse of a neighbor by her violent boyfriend."
2,8,Scar Tissue,25 Feb. 2003,8.4,Vic and the Strike team set their sights on taking Armadillo off the streets for good.
2,9,Co-Pilot,4 Mar. 2003,7.4,"In a look back at the Barn's early days, Vic struggles to secure his hold on the Strike Team command, while Dutch is faced with choosing between a veteran detective and Claudette."
2,10,Coyotes,11 Mar. 2003,8.1,The leak of the auditor's report jeopardizes the futures of everyone at the Farm.
