temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,7 May 2000,8.5,A mobster passes out at a family barbecue and seeks therapy to understand why.
1,2,46 Long,17 Jan. 1999,8.5,Tony is getting fed up with his mother. Brendan Filone acts against Tony's wishes. Salvatore and Paulie try to track down A.J.'s teacher's stolen car.
1,3,"Denial, Anger, Acceptance",24 Jan. 1999,8.7,"Tony encourages an unwanted son-in-law to divorce, Carmela learns another secret of Tony's, Meadow experiments with speed to study for the SATs, and Chris and Brendan find out the price of disrespecting Junior."
1,4,Meadowlands,31 Jan. 1999,8.7,"Jackie's death leaves a power vacuum, Brendan's death leaves Chris fearing for his life, and Anthony's discovery of what his father really does leaves him confused."
1,5,College,7 Feb. 1999,9.0,"While visiting colleges with Meadow, Tony spots a snitch. Carmela, meanwhile, discovers something about Dr. Melfi."
1,6,Pax Soprana,14 Feb. 1999,8.6,"Tony tries to balance Junior against the other capos, while Carmela reasserts herself as the woman in Tony's life."
1,7,Down Neck,21 Feb. 1999,8.5,"Anthony has disciplinary problems at school, prompting Tony to recount memories of his childhood with Dr. Melfi."
1,8,The Legend of Tennessee Moltisanti,28 Feb. 1999,8.7,"The FBI begins closing in on the DiMeo family. Tony and Carmela are angry over all the attention Italians get from the authorities, while Chris fumes that he's not getting enough attention."
1,9,Boca,7 Mar. 1999,8.6,"The capos discuss what to do about the local soccer coach, while Junior's mouth causes him some embarrassment."
1,10,A Hit Is a Hit,14 Mar. 1999,8.1,"Tony tries to branch out into legitimate investments, while Chris and Adriana decide to try their hands at music production."
1,11,Nobody Knows Anything,21 Mar. 1999,8.8,"Following the arrest of two of his men, Tony suspects a traitor. Efforts to discover who, however, are stymied."
1,12,Isabella,28 Mar. 1999,9.1,"The stress Tony is going through begins to take its toll, and the hit Junior has ordered doesn't help."
1,13,I Dream of Jeannie Cusamano,4 Apr. 1999,9.2,"Tony starts cleaning house, while Artie feels torn between keeping the peace in his household, and getting even with Tony for destroying his restaurant."
2,1,Guy Walks Into a Psychiatrist's Office,16 Jan. 2000,8.4,"Pussy returns after months in hiding, Chris starts a boiler room stock operation, and Tony's long-lost sister shows up on the doorstep."
2,2,Do Not Resuscitate,23 Jan. 2000,8.2,"Junior leaves prison due to ill health and placed under house arrest, while Livia's health also declines. Pussy begins talking with someone interested in learning more about Tony."
2,3,Toodle-Fucking-Oo,30 Jan. 2000,8.5,Richie Aprile gets out after ten years in prison and starts reasserting his authority while unaware of the changes made in the crime family's archetype. Meadow gets in trouble after a party gets out of hand.
2,4,Commendatori,6 Feb. 2000,8.6,"Tony, Paulie and Chris travel to Naples to conduct a business deal, while Pussy becomes more stressed over trying to balance his secret lives."
2,5,Big Girls Don't Cry,13 Feb. 2000,8.6,"Paulie and Silvio get promoted, Furio gets welcomed, Pussy gets pushed aside, and Chris gets frustrated with his Hollywood aspirations."
2,6,The Happy Wanderer,20 Feb. 2000,8.7,"Tony's old school friend digs himself into trouble with his gambling, while Tony's family problems only continue to grow."
2,7,D-Girl,27 Feb. 2000,8.7,"Anthony continues to cause problems at home, while Pussy's divided loyalties cause him greater anguish."
2,8,Full Leather Jacket,5 Mar. 2000,8.9,"Rebellion by some of the lower soldiers ends in bloodshed, while Carmela starts intimidating her neighbors to help Meadow's chances at Georgetown."
2,9,From Where to Eternity,12 Mar. 2000,8.8,"Chris awakens from his coma with a message for Tony and Paulie. Carmela, meanwhile, wants Tony to take a cut."
2,10,Bust-Out,19 Mar. 2000,8.5,"Tony continues putting the squeeze on David, while Richie discusses the possibility with Junior of removing some competition while 'Big Pussy' Bonpensiero continues to be an informant."
2,11,House Arrest,26 Mar. 2000,8.3,"Junior feels the restrictions of his house arrest acutely, while Tony starts putting in hours at his actual job to allay FBI suspicions, while Junior and Richie uses the garbage pick up routes for a double purpose."
2,12,The Knight in White Satin Armor,2 Apr. 2000,9.3,"Richie and Janice get engaged, but Richie's violent temper finally takes him too far. Tony, meanwhile, breaks up with Irina, much to her dismay."
2,13,Funhouse,9 Apr. 2000,9.4,"Tony gets sick from food poisoning and blames Artie's restaurant. Pussy, meanwhile, reaches the end of the line."
3,1,Mr. Ruggerio's Neighborhood,4 Mar. 2001,8.7,"The FBI has trouble finding a new informant, so they attempt to bug the Soprano home. Meanwhile, Anthony continues to get into trouble at school."
3,2,"Proshai, Livushka",4 Mar. 2001,8.7,"Livia dies of a stroke, bringing the family together one more time for the funeral where old tensions resurface."
3,3,Fortunate Son,11 Mar. 2001,8.5,"Chris becomes a made man, while Tony experiences another panic attack. Meadow continues to seethe over Tony's treatment of her boyfriend."
3,4,Employee of the Month,18 Mar. 2001,9.1,"Dr. Melfi is brutally attacked, and when the justice system lets her down, she must consider asking Tony for help."
3,5,Another Toothpick,25 Mar. 2001,8.7,"Tony and Carmela try a therapy session together, which ends in an angry dispute. Artie, meanwhile, tries to move in on Adriana."
3,6,University,1 Apr. 2001,8.7,"Noah and Meadow's relationship is disrupted by her roommate, while Ralphie starts getting rough with one of the strippers from the Bada Bing causing Tony to intervene and questionably violating one of the mafia codes of conduct."
3,7,Second Opinion,8 Apr. 2001,8.5,"Junior continues his cancer treatments, but the prognosis is iffy. Chris, meanwhile, finds himself under suspicion from Paulie."
3,8,He Is Risen,15 Apr. 2001,8.4,"Tensions rise between Tony and Ralphie until circumstances demand that they resolve their differences. Meadow gets involved with Jackie's son, and ends up in trouble."
3,9,The Telltale Moozadell,22 Apr. 2001,8.2,"Tony continues seeing Gloria, another of Dr. Melfi's patients, while Meadow continues seeing Jackie Jr."
3,10,To Save Us All from Satan's Power,29 Apr. 2001,8.5,"Tony starts having flashbacks about Pussy's betrayal, and then later discovers that Jackie Jr. has been failing in his responsibilities."
3,11,Pine Barrens,6 May 2001,9.7,"While Silvio has the flu, Chris and Paulie run his collections for him, which results in the pair getting lost in the woods and nearly freezing to death while Tony's affair with Gloria goes sour as does Meadow's relationship with Jackie Jr."
3,12,Amour Fou,13 May 2001,9.2,"Gloria grows increasingly demanding until Tony realizes who she is, and Jackie Jr. ends up in very serious trouble when Chris realizes who he is."
3,13,Army of One,20 May 2001,9.1,"Ralphie issues his final decision on the fate of Jackie Jr., Anthony Jr., faces military school after getting expelled, Paulie and Ralphie have a financial conflict while the FBI assigns Adriana a new ""friend."""
