temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Where Is Everybody?,2 Oct. 1959,8.0,"Mike Ferris finds himself alone in the small Oakwood town and without recollection about his name, where he is or who he is. Mike wanders through the town trying to find a living soul. The tension increases and Mike has a breakdown."
1,2,One for the Angels,9 Oct. 1959,7.7,A pitchman is visited by Death and is forced to get his priorities in order.
1,3,Mr. Denton on Doomsday,16 Oct. 1959,7.2,The town drunk in the old-west faces his past when Fate lends a hand.
1,4,The Sixteen Millimeter Shrine,23 Oct. 1959,6.8,"Barbara Jean Trenton is a faded film star who lives in the past by constantly re-watching her old movies instead of moving on with her life, so her associates try to lure her out of her self-imposed isolation."
1,5,Walking Distance,30 Oct. 1959,8.3,"A man travels back in time to his childhood, arriving just a few miles away from his native town."
1,6,Escape Clause,6 Nov. 1959,7.4,"A hypochondriac man sells his soul to the devil, exchanging it for several thousand years of immortality."
1,7,The Lonely,13 Nov. 1959,8.2,"A convict, living alone on an asteroid, receives from the police a realistic woman-robot."
1,8,Time Enough at Last,20 Nov. 1959,9.0,A henpecked book lover finds himself blissfully alone with his books after a nuclear war.
1,9,Perchance to Dream,27 Nov. 1959,7.6,"A fatigued man fights to stay awake as he explains to a psychiatrist that if he falls asleep it will trigger a nightmare, which will cause his heart to fail."
1,10,Judgment Night,4 Dec. 1959,7.4,"It's 1942, and a man finds himself on a ship in the Atlantic, not knowing who he is, nor how he got there. He does know the ship will soon be attacked by a German U-boat."
1,11,And When the Sky Was Opened,11 Dec. 1959,8.5,Three astronauts return to Earth after seemingly having made an encounter that dooms them and their craft to erasure from existence itself.
1,12,What You Need,25 Dec. 1959,8.1,A small time crook plans to exploit an old street peddler who has the uncanny knack of selling people exactly what they will shortly need.
1,13,The Four of Us Are Dying,1 Jan. 1960,7.2,"A man who can change his face to look like other people uses his ability to improve his life, regardless of his effect on others."
1,14,Third from the Sun,8 Jan. 1960,8.2,Two families of Government employees plan to steal a spaceship and travel to another planet just prior to a nuclear war. They must also deal with a stooge who wants to stop them.
1,15,I Shot an Arrow into the Air,15 Jan. 1960,7.8,Order breaks down between three surviving crewmen whose rocket ship crashes on an unknown world with limited water and supplies.
1,16,The Hitch-Hiker,22 Jan. 1960,8.4,"A young woman driving cross country becomes frantic when she keeps passing the same man on the side of the road. No matter how fast she drives the man is always up ahead, hitching her for a ride."
1,17,The Fever,29 Jan. 1960,6.7,A middle aged man catches gambling fever from a slot machine that he believes is calling his name.
1,18,The Last Flight,5 Feb. 1960,8.1,A World War I British fighter pilot lands at an American air force base in France 42 years in the future.
1,19,The Purple Testament,12 Feb. 1960,7.4,"A U.S. army lieutenant serving in the Philippines during WWII develops a harrowing ability to see in the faces of the men of his platoon, who will be the next ones to die."
1,20,Elegy,19 Feb. 1960,7.6,"Three astronauts touch down on an asteroid, where they discover a world of people that appear to be frozen in time. Confused, they theorize as to why everyone is motionless, until a man springs to life and explains."
1,21,Mirror Image,26 Feb. 1960,8.0,"While waiting in a bus station, Millicent Barnes has the strange feeling that her doppelganger is trying to take over her life."
1,22,The Monsters Are Due on Maple Street,4 Mar. 1960,9.0,"On a peaceful suburban street, strange occurrences and mysterious people stoke the residents' paranoia to a disastrous intensity."
1,23,A World of Difference,11 Mar. 1960,7.8,"A businessman sitting in his office inexplicably finds that he is on a production set and in a world where he is a movie star. Uninterested in the newfound fame, he fights to get back to his home and family."
1,24,Long Live Walter Jameson,18 Mar. 1960,8.2,A father forbids a history professor from marrying his daughter when he discovers that the captivating lecturer is actually an immortal who has lived for thousands of years.
1,25,People Are Alike All Over,25 Mar. 1960,8.2,"Fearing the worst, the lone survivor of a crash-landing on Mars finds the native inhabitants, to his relief, very hospitable indeed, but there's a catch."
1,26,Execution,1 Apr. 1960,7.3,"When a 20th-century scientist tests out his time machine he accidentally retrieves a murderer from 1880, saving him from the hangman's noose. Unaware of the man's history, the scientist attempts to acclimatize him to his new surroundings."
1,27,The Big Tall Wish,8 Apr. 1960,6.7,"An aging boxer finds himself the winner of a match he thought he had lost, the result a six year old's frantic wish. But can a world-weary, embittered man still believe in miracles, or will he turn his back on it?"
1,28,A Nice Place to Visit,15 Apr. 1960,8.0,"When bad guy Henry Francis Valentine dies in a shootout with police, he wakes up in the next world where his every wish is granted forever, and ever."
1,29,Nightmare as a Child,29 Apr. 1960,7.4,A schoolteacher keeps seeing a strange little girl in her apartment building.
1,30,A Stop at Willoughby,6 May 1960,8.6,"Tired of his miserable job and wife, a businessman starts dreaming on the train each night, about an old, idyllic town called Willoughby. Soon he has to know whether the town is real and fancies the thought of seeking refuge there."
1,31,The Chaser,13 May 1960,7.1,A young man obsessed with winning over an uninterested beauty gets more than he bargained for when he buys a love potion to gain her affection.
1,32,A Passage for Trumpet,20 May 1960,7.3,"A suicidally despondent trumpet player finds himself in a bizarre world where he seems to be the only moving being, except for one helpful other musician."
1,33,Mr. Bevis,3 Jun. 1960,6.7,"After losing his job, his car and his apartment on the same day, an eccentric loser gets a new life from his guardian angel, but there is a price to keeping it."
1,34,The After Hours,10 Jun. 1960,8.5,A woman is treated badly by some odd salespeople on an otherwise empty department store floor.
1,35,The Mighty Casey,17 Jun. 1960,6.2,A down-and-out baseball team's fortunes are lifted by a mysterious but seemingly unbeatable young player.
1,36,A World of His Own,1 Jul. 1960,8.2,A writer demonstrates he can control reality simply by dictating changes.
2,1,King Nine Will Not Return,30 Sep. 1960,6.7,A pilot of a downed WW II bomber comes to in the African desert and desperately tries to find out what happened to the rest of his crew.
