temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Secrets of the Sun,29 May 2007,8.0,The physical processes driving the energetic dynamics of the Sun and the resulting impact on the earth are examined.
1,2,Mars: The Red Planet,5 Jun. 2007,8.1,Program recaps the basic knowledge about Mars normally covered in high school.
1,3,The End of the Earth,12 Jun. 2007,7.9,"A few of the cosmic threats to life on earth reviewed include meteors, gamma ray bursts and, in the distant future, evolution of the sun."
1,4,Jupiter: The Giant Planet,19 Jun. 2007,8.1,The Universe examines the stormy gas giant Jupiter and its mini-solar system of over 60 moons.
1,5,The Moon,26 Jun. 2007,8.0,The unique features of Earth's moon and the processes that shaped it are described. Past theories of the Moon's formation are also presented.
1,6,Spaceship Earth,10 Jul. 2007,7.7,"Take a high performance ride through the formation of the third planet from the Sun, Earth. A survivor of one of the most violent ""neighborhoods"" in the universe, learn how earth was created and discover what creatures hold clues to how life began."
1,7,The Inner Planets: Mercury & Venus,17 Jul. 2007,7.9,Contrasts the radical differences between Earth and the planets Venus and Mercury. Lessons for life on earth are presented.
1,8,Saturn: Lord of the Rings,24 Jul. 2007,8.2,"Program takes a brief look at the dynamics of Saturn's rings before exploring the unique and amazing features of the planet itself, including the curious behavior at the poles, and recent discoveries about Saturn's exotic moons."
1,9,Alien Galaxies,31 Jul. 2007,8.4,How the various structural types of galaxies form by merging with smaller galaxies is explained and simulated. The preliminary hints at the importance of dark matter in the process are mentioned.
1,10,Life and Death of a Star,7 Aug. 2007,8.5,Gravity plays a crucial role in both the birth and death of stars in this detailed review. Various types of stellar collisions are simulated.
1,11,The Outer Planets,14 Aug. 2007,7.9,"New discoveries regarding the Outer Planets are creating a fundamental rethinking of our solar system. Uranus is a toxic combination of hydrogen, helium and methane. Scientists speculate that the planet was knocked on its side after colliding with another body. Neptune's largest moon, Triton, is cold and barren, but some scientists speculate that liquid water might exist under Triton's icy surface. If this is proven true, Triton could be the home to one of the biggest discoveries of all time. Cold and inhospitable, Pluto completes one orbit around the solar system ..."
1,12,Most Dangerous Places,21 Aug. 2007,7.9,"Scientist describe the current understanding of exotic stars; magnetars, black holes and quasars with an obsession about how they would kill you. Galaxy collisions are simulated."
1,13,Search for E.T.,28 Aug. 2007,7.6,"In a galaxy filled with a billion stars, in a universe filled with a hundred billion galaxies--are we alone? SETI--the Search for Extraterrestrial Intelligence--is a privately funded project using radio telescopes."
1,14,Beyond the Big Bang,4 Sep. 2007,8.9,"The universe began with a massive expansion, billions and billions of years ago, and it continues to expand with every passing second. The idea that the universe, and man's very existence, began with a ""Big Bang"" is no longer a topic of debate among most scientists--it is essentially taken as fact."
2,1,Alien Planets,27 Nov. 2007,7.8,Astronomers who search for extrasolar planets were once thought of as crack-pots but are now at the forefront of astronomical research. The various methods used to locate and research these planets and the unexpected diversity of these bodies are described.
2,2,Cosmic Holes,4 Dec. 2007,7.5,"Black holes, white holes and worm holes are all consistent with Einstein's theory of General Relativity. Of the three, actual evidence exists only for black holes. Their behavior is explained. Scientists speculate on on whether white holes and worm holes exist and how they would behave."
2,3,Mysteries of the Moon,11 Dec. 2007,7.1,"Various phenomenon observed on earth, both real and perceived, are linked to the moon. Explanations for these phenomenon are presented."
2,4,The Milky Way,18 Dec. 2007,7.7,"Our home galaxy, the Milky Way, consists of more than stars and planets. The wide variety of other celestial objects that call the Milk Way home are described. And the Milky Way is not alone but has some nearby companions."
2,5,Alien Moons,8 Jan. 2008,7.6,"The number of known moons of the outer planets have exploded in recent years. Each has it own story to tell regarding its composition, geological activity and origin."
2,6,Dark Matter,15 Jan. 2008,7.7,"Scientists hunt for dark matter in the strangest of places. They know where it is, what it does and can sort of see it if they look in the right way. They just can't quite figure out what it is or how to get their hands on it even though it's everywhere. But it is well understood compared to dark energy which is an even bigger mystery."
