temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,0,The Terrible Secret of Turtle Bay,16 Feb. 2003,7.2,"Dr. Venture, his teen sons Hank and Dean, and their bodyguard Brock head to New York to unveil Dr. Venture's new invention. They are pursued by a ninja intent on acquiring the device."
1,1,Dia de los Dangerous,7 Aug. 2004,7.8,Dr. Venture and family are in Mexico where the boys get kidnapped by the Monarch's Henchmen. Brock goes on a rampage to get them back and Dr. Venture loses both his kidneys and wakes up in a bathtub of ice.
1,2,Careers in Science,14 Aug. 2004,7.5,"Dubbed the Ninth Wonder of the World, Jonas Venture's space station, Gargantua 1, has developed a problem, and it's up to Dr. Thaddeus Venture to fix his father's creation. But could the station be haunted by vengeful ghost?"
1,3,Home Insecurity,21 Aug. 2004,7.9,"Brock goes on a wilderness retreat, and gets more than he bargained for when he encounters the Army searching for something. Meanwhile, the Venture family retreats to the panic room when the forces of both The Monarch and Baron Ünderbheit attack."
1,4,The Incredible Mr. Brisby,28 Aug. 2004,7.8,"Dr. Venture takes the X1 to ""Brisbyland"" for a meeting with the theme park owner Roy Brisby. But the boys get kidnapped by the ""Orange County Liberation Front"" and Brock and his former lover and secret agent Molotov Cocktease mount a rescue."
1,5,"Eeney, Meeney, Miney... Magic!",4 Sep. 2004,8.0,"The boys discover a dangerous pod in the lab that projects your fantasies, thus trapping you inside. Dr. Byron Orpheus is introduced as well as his daughter, Trianna, whom Dean becomes enamored with immediately."
1,6,Ghosts of the Sargasso,11 Sep. 2004,8.6,Dr. Venture and family encounter Ghost Pirates while trying to recover an old crashed aircraft made by Dr. Jonas Venture decades earlier.
1,7,Ice Station Impossible,18 Sep. 2004,8.3,"Pete White, Master Billy Quizboy, and Dr. Venture are recruited by their old college professor, Dr. Richard Impossible, to work for him doing super-science at his remote arctic lab. But when Hank is infected by one of Dr. Impossible's old serums, Brock must race to locate the lab and save Hank's life."
1,8,Mid-Life Chrysalis,25 Sep. 2004,7.8,"While trying to re-live his younger days with ""the ladies"", Dr. Venture is seduced by Dr. Girlfriend in disguise as part of a Monarch evil plan. Brock learns he has to renew his license to kill."
1,9,"Are You There God, It's Me, Dean",2 Oct. 2004,8.1,"While Brock and Hank are held hostage by The Monarch, Master Billy Quiz-Boy and Pete White are called in to help diagnose a mysterious painful illness afflicting Dean."
1,10,Tag-Sale: You're It!,9 Oct. 2004,8.3,"To raise much-needed cash, Dr. Venture holds a yard sale for his father's old, unwanted super-science equipment and inventions. Brock and other agents from the Office of Secret Intelligence maintain security as many of Venture's arch-nemeses attend, but The Monarch has other plans."
1,11,Past Tense,16 Oct. 2004,8.3,"Hank and Dean learn about Brock and Dr. Venture's early days as they attend a funeral for Mike Sorayama, an old college buddy they used to tease. But the funeral proves to be a ruse by Sorayama to exact revenge for their torment."
1,12,The Trial of the Monarch,23 Oct. 2004,8.2,"The Monarch finds himself on trial for a murder, but it soon becomes clear that the ""Guild of Calamitous Intent"" may be behind the whole thing."
1,13,Return to Spider-Skull Island,30 Oct. 2004,8.5,"While Hank and Dean run away from home to seek their independence, an old enemy of Dr. Venture's, long thought destroyed, returns seeking vengeance."
