temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Is There a Creator?,9 Jun. 2010,8.0,This program examines some recent scientific theories of the universe and conceptions about God they may suggest.
1,2,The Riddle of Black Holes,16 Jun. 2010,8.4,After reviewing theories about how black holes form and how they were detected this program looks at their counterintuitive behavior that makes them seem so bizarre.
1,3,Is Time Travel Possible?,23 Jun. 2010,8.2,Since Einstein developed the theory of relativity physicists could no longer take time for granted and have been struggling ever since to understand it. This program examines the current thinking and emerging ideas about time. But when it comes to the possibility of time travel physicist have lots of ideas about how to do it but they can't agree if it is possible.
1,4,What Happened Before the Beginning?,30 Jun. 2010,8.3,Following a review of the discovery and evidence for the Big Bang this program examines the progress of scientists trying to determine what went on before the Big Bang that could have caused it.
1,5,How Did We Get Here?,7 Jul. 2010,8.0,Scientists explore a variety of ways that life may have formed on earth and try to recreate them.
1,6,Are We Alone?,14 Jul. 2010,7.9,This program considers the likelihood that intelligent life exists elsewhere in the universe and the prospects that it may inhabit a nearby planet. Then the various methods being used to look for alien intelligence are reviewed.
1,7,What Are We Really Made Of?,21 Jul. 2010,8.2,This program delves deep into the atom to find the ultimate constituents of matter focusing finally on the theoretical Higgs Boson.
1,8,Beyond the Darkness,28 Jul. 2010,8.3,Scientists have discovered that the universe we see is an incidental component of all there is. This program explains how dark matter and dark energy were discovered and how scientists are struggling to understand them.
2,1,Is There Life After Death?,8 Jun. 2011,7.6,Science is a long way from answering the question posed in this program. But exploring it has proved a fertile avenue for investigation into what exactly is consciousness and self-awareness.
2,2,Is There an Edge to the Universe?,15 Jun. 2011,8.2,"To the average person it seems obvious that the universe must have an edge. Yet most cosmologists think that like a ball, or more likely a bagel, the universe has no end, other then a temporal one - a beginning and, perhaps, an end. But several scientists agree with the common man that there is an edge to the universe and they have some definite ideas about what is beyond the edge and how to prove their case."
2,3,Does Time Really Exist?,22 Jun. 2011,8.2,After a brief explanation of how we measure time this program takes a detailed look at how we perceive time. Then it's time for the physicists to present their ideas about what time is before Steve Weinstein talks about two dimensional time.
2,4,Are There More Than 3 Dimensions?,29 Jun. 2011,7.9,"To scientists it looks like the weakness of gravity, the existence of dark matter and the big bang may all be dependent on how many dimensions there are to the universe. But are the three dimensions we're used to too few or too many? This program examines the pet theories of several scientists about the dimensionality of our universe, how they are going about proving their theories and why their theories don't agree with the three dimensions that seem obvious to us."
2,5,Is There a Sixth Sense?,6 Jul. 2011,7.6,"Several scientists have conducted experiments, although with somewhat questionable controls, that suggest humans may have a rudimentary capabilities for telepathy and precognition. This program reviews the studies and the scientists speculate about how these capabilities may work and why we might have them."
2,6,Are There Parallel Universes?,13 Jul. 2011,8.0,"This program presents the scientific foundation for parallel universes. Then it reviews the various speculative ideas scientists are exploring about how universes form and how they interact. In our explorations we bump into our old cosmic friends; black holes, white holes, dark matter and the big bang."
2,7,How Does the Universe Work?,20 Jul. 2011,8.0,"Quantum theory, the best explanation of how atoms and anything smaller behave, is so weird even scientists who have mastered it find it baffling. But bit by bit scientists are finding maybe it's not so weird as comparable behavior is discovered in our every day world. It's just that no one noticed before."
2,8,Can We Travel Faster Than Light?,27 Jul. 2011,8.2,The laws of physics allow a variety of ways to get around the universe faster than the speed of light. These prospects are explained along with the daunting engineering challenges of making them practical and safe.
2,9,Can We Live Forever?,3 Aug. 2011,7.7,This program reviews current thinking about what causes death and aging. Then it examines increasingly bizarre ideas about how to prevent them.
2,10,What Do Aliens Look Like?,10 Aug. 2011,7.5,This program gives serious consideration to what life forms on other planets might look like founded on the vast diversity of life on earth now and in the past and what is now known about the environments on other planets found by the Kepler telescope. Then it indulges in a little speculation about what extra-terrestrial intelligence might be like.
3,1,Will We Survive First Contact?,6 Mar. 2012,7.3,"Mankind longs for proof that we are not alone in the universe, but the moment of first contact will certainly mean the end of the world as we know it. Whether that is a bad thing for humanity or the start of a great future is the subject of much debate."
3,2,Is There a Superior Race?,6 Jun. 2012,7.3,"Are races different on the inside as well as the outside? Is there such a thing as race at all? Or, could advances in technology create a superior race? The answers to these questions may tell us where humanity is headed."
3,3,Is the Universe Alive?,13 Jun. 2012,7.0,"The cosmos may be a superorganism, a collection of separate bodies acting like a single being. Scientists are probing this colossal creature for its beating heart, quantum-computing brain and even its offspring. Or are space & time illusions we created?"
3,4,What Makes Us Who We Are?,20 Jun. 2012,7.2,What is it that gives each one of us a unique identity? As we move through life our outer appearances transform almost entirely. Our opinions and ideas change. Are we all born with a permanent sense of self or can our identities be altered?
3,5,What Is Nothing?,27 Jun. 2012,7.2,"Can there be such a thing as nothing? Scientists are looking for answers in the mind-bending science of Quantum Mechanics. Their work may uncover what our cosmos is made of, how it came from nothing and when it might collapse into an empty void again."
3,6,Can We Resurrect the Dead?,11 Jul. 2012,7.1,"What if death wasn't the end? Resurrecting bodies isn't enough. To truly live again, we must also resurrect our minds. Scientists are developing ways to digitally preserve the contents of our brains. We may rise again as software, embedded in new forms."
3,7,Can We Eliminate Evil?,18 Jul. 2012,7.2,"Researchers are uncovering the hidden forces that inflame our inner demons, looking for ways to neutralize the source of evil in the brain. Methods include learning impulse control and stimulating altruism. But can psychopaths who lack empathy be helped?"
3,8,Mysteries of the Subconscious,25 Jul. 2012,7.4,"The subconscious has long been thought of as the source of our primal fears and desires. But scientists have discovered how the subconscious makes snap decisions that protect us from harm, and that it can be trained to actually heal our bodies of disease."
3,9,Will Eternity End?,1 Aug. 2012,7.2,"Can time tick on forever or will time itself end? It's possible that eternity already exists, and the future is traveling back in time to shape the present. Or time might even be a holographic projection, reaching back to us from the end of eternity!"
3,10,Did We Invent God?,8 Aug. 2012,7.6,"Did God invent humanity? Or did we invent God? Since our brains are where we experience reality, does imagining God make God real? One neuroscientist is trying to find the answer by peering into the human mind, and seeing what God really looks like!"
4,1,Is There a God Particle?,20 Mar. 2013,7.6,"Scientists have hunted for a particle to explain how matter came to exist in the universe. In 2012 they found it - the Higgs Boson, the God Particle. But the discovery raises many questions. And what if we owe our existence something else?"
4,2,When Does Life Begin?,5 Jun. 2013,7.4,"What defines the beginning of a life? New evidence reveals that inside all of us are traces of cells from our relatives, blurring the lines between one life and another. Technology is now giving birth to new life forms made of surprising components."
4,3,Can We Survive the Death of the Sun?,12 Jun. 2013,7.4,"We are all at the mercy of the Sun: someday, it will bathe us in a fiery, planetary holocaust. How can we survive the death of our star? The technology to move ourselves to Mars or another ""Earth"" sounds like sci-fi, but almost within our grasp."
4,4,How Do Aliens Think,19 Jun. 2013,7.4,"By studying the non-humans in our midst, the evolution of human language, and the psychology of super-intelligent beings, scientists are learning how alien minds might function."
4,5,Will Sex Become Extinct?,26 Jun. 2013,7.2,"Every person who has lived was created from the genes of one man and one woman, but human reproduction is about to undergo a revolution. Technology is close to making children from two fathers, or two mothers. If this is the case, will sex become extinct?"
4,6,Can Our Minds Be Hacked?,3 Jul. 2013,7.3,"Our minds store our entire lives, our memories and our deepest desires and our brains are biological computers. Could brain hackers someday be able to rewrite our thoughts similar to how computer hackers hack email?"
4,7,Are Robots the Future of Human Evolution?,10 Jul. 2013,8.1,"From our smartphones to our cars, we have robots that live and work beside us. We are designing them to think and move on their own. Is it possible that these objects evolve to be smarter than humans or will we choose to merge with the machines?"
4,8,Is Reality Real?,17 Jul. 2013,7.7,"Do we live in the ""real world"" or is it all in our mind? Our perception of reality is controlled by society. Thanks to ""the optimism bias"", we make unrealistic assessments about our own reality. Human senses capture only a small part of nature."
4,9,Do We Have Free Will?,24 Jul. 2013,7.1,"What if everything that has or will happen has already been determined? Until the discovery of quantum uncertainty, physicists were convinced free will does not exist. Now other scientists have stepped into the fray, arguing that free will is an illusion."
4,10,Did God Create Evolution,31 Jul. 2013,6.9,"Is life the product of evolution or is it thanks to the guiding hand of God? Believers in Intelligent Design argue complex life could not have evolved randomly. Was life created by evolution, by God or both?"
5,1,Is God an Alien Concept?,5 Mar. 2014,7.2,"Is God worshiped in other worlds across the cosmos? How might alien deities differ from our own? Have advanced aliens discovered everything there is to know about the universe, or are they too looking for answers? The answer may lie buried on Earth."
5,2,Is Luck Real?,12 Mar. 2014,7.6,"Do you make your own luck or does luck make you? We find luck, good and bad, in casinos, basketball courts, genetics labs and the subatomic world. It's a journey that will radically revise your understanding of the laws of nature and the human brain."
5,3,Is Poverty Genetic?,4 Jun. 2014,6.8,"Are the wealthy just born in the right place at the right time? Are the poor victims of a system designed to keep them down? Or do physics and biology determine who is rich and who is poor? Scientists have found that throughout history, the distribution of wealth is governed by hidden forces: DNA, environmental stress, patterns of human migration and even the laws of thermodynamics! Nature seems to demand winners and losers in life. But does this mean greed is king, and the rich can take what they want? Or does the cooperation among even the smallest microorganisms ..."
5,4,How to Collapse a Superpower,11 Jun. 2014,7.3,"The stability of the US, Europe, China, or any global power depends on high-speed digital communication. With a little imagination, could a few terrorists sabotage this massive network? Cripple a mighty nation? Perhaps even tear down modern civilization? Our increasing dependence on digital devices and global interactivity may be placing us in grave danger. Scientists around the world are dealing with new threats such as body hacking, Trojan Horse viruses, and brain-damaging Internet addiction. But what if the ultimate threat isn't an attack on technology, but the ..."
5,5,Does the Ocean Think?,18 Jun. 2014,7.2,"There could be an undiscovered species on Earth unlike anything we've ever known. Not in the ocean, but the ocean itself."
5,6,Is a Zombie Apocalypse Possible?,25 Jun. 2014,7.2,"It is a nightmare that has stalked us for centuries: hordes of human beings transformed into mindless, bloodthirsty monsters that usher in the downfall of civilization. Could this nightmare ever become reality? Scientists have discovered pathogens that turn insects into the walking dead. New deadly strains of viruses are attacking humans every day. Mathematicians are calculating the likelihood of surviving a zombie virus outbreak. Neuroscientists are even discovering that we can easily lose conscious control of our bodies. If we were in the middle of a zombie ..."
5,7,Is Gravity an Illusion?,2 Jul. 2014,7.6,Gravity is an unsolved mystery of the universe. Why do all objects that have mass pull on one another? New theories propose unexpected answers.
5,8,Will We Become God?,9 Jul. 2014,7.1,Humanity's potential seems limitless. But could we become as powerful as God? Scientific breakthroughs grant our species seemingly divine abilities.
5,9,Is There a Shadow Universe?,16 Jul. 2014,7.6,"Cosmologists agree that ""dark matter"" has helped shape our Universe, but now they need to figure out what dark matter is. What's going on in this hidden world? Could it have formed its own dark stars, planets, and even life forms?"
5,10,When Did Time Begin?,23 Jul. 2014,7.8,We float along the river of time. But does that river have a source? Where did time come from?
6,1,Are We All Bigots?,29 Apr. 2015,7.3,"If you had less than one second to make a life-or-death decision to shoot a man who might be armed with a lethal weapon, what would you do? Would the ethnicity of the man affect your decision?"
6,2,Can Time Go Backwards?,6 May 2015,7.4,Could science ever make the clock move backwards? Experiments in quantum physics are showing that the future influences the present: what happens later limits the choices we think we have now.
6,3,Are We Here for a Reason?,13 May 2015,7.3,"Evolution say that all life exists only to reproduce; a new theory proposes that instead of passing on genes, humans have another purpose."
6,4,Do We Live in the Matrix?,20 May 2015,7.5,Our universe seems real. But what if it's a video game? Scientists in a variety of fields are taking seriously the possibility that we live in a virtual reality.
6,5,Are Aliens Inside Us?,27 May 2015,6.8,Odds are excellent that extraterrestrial life exists. So why haven't we found aliens out in the galaxy? Are we looking in the wrong places?
