temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Legacy Begins,20 Oct. 2002,7.2,"The Top Gear team tests the Citroën Berlingo Multispace; the ludicrously fast, Pagani Zonda; the exquisite, Lamborghini Murciélago; and the family sedan, Mazda6. The first brave star in a reasonably-priced car is Harry Enfield."
1,2,Bus Jumps Over Motorbikes,27 Oct. 2002,7.2,"The Noble M12 GTO awaits Jeremy. The Stig gets to know three fast hatchbacks: the Ford Focus RS, the Honda Civic Type R, and the Subaru Impreza, as Jay Kay, gets behind the wheel of Top Gear's reasonably-priced car."
1,3,Grannies Doing Doughnuts,3 Nov. 2002,7.3,"The Top Gear team try out the ultra-lightweight, Westfield XTR2; and the best-looking coupé, Aston Martin DB7. Some courageous grannies do doughnuts in a Honda S2000, as Ross Kemp, is the next star in a reasonably-priced car."
1,4,Clarkson Drives the Aston Martin Vanquish,10 Nov. 2002,7.2,"Against the backdrop of Muere otro día (2002), Damon Hill chooses between the Aston Martin Vanquish and the Ferrari 575M Maranello. Richard Burns talks with Jeremy, and Steve Coogan is the next star."
1,5,Budget Bond Car,17 Nov. 2002,7.3,"Jeremy tests luxurious cars such as the Mercedes-Benz S-Class; the Audi A8; and the Bentley Arnage T, as Richard enjoys a ride in the Mercedes Maybach 62 and reveals a budget Bond Car. Jonathan Ross is the next star in the Suzuki Liana."
1,6,Grannies Attempt Hand Brake Parking,24 Nov. 2002,7.3,"The Stig tests the Honda NSX Type R, as Jeremy drives the Renault Vel Satis, and the Mercedes-Benz SL55 AMG. The grannies are back; Hammond tests the new BMW Z4, and Tara Palmer-Tomkinson is the next star in a reasonably-priced car."
1,7,Britain's Fastest Faith Race,1 Dec. 2002,7.3,"The team find out which religion is the fastest with the help of a modified Subaru Impreza WRX STi. Richard tests a Saab 9-3; Jeremy drives a Lotus Elise 111S; Jason discovers if kids love supercars, and Rick Parfitt is the next star."
1,8,Britain's Fastest White-Van Driver,8 Dec. 2002,7.3,"This time, three powerful cars--Audi RS6, Mercedes-Benz E55 AMG, and Maserati Coupé--as well as five agile super-minis, are put to the test. A Lada Riva gets an extreme makeover, as the Irish actor, Michael Gambon, is the next star."
1,9,Can The Stig Be Beat?,22 Dec. 2002,7.4,"The Top Gear team are in search of the ultimate family car and compare the best hatchbacks. Jason and Richard put on a diet a 1995 Jaguar XJS V12, as the chef, Gordon Ramsay, has to taste some unusually prepared gastronomic delights."
1,10,Britain's Fastest Faith Race 2,29 Dec. 2002,7.3,"In this festive edition of Top Gear, the team still searches for Britain's fastest faith. Jeremy tests SUVs; revisits the Lotus Esprit, and announces the 2002 car of the year. Lastly, they award the prize to the season's fastest celebrity."
