temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Part 1,22 May 2017,8.7,My log has a message for you.
1,2,Part 2,22 May 2017,8.8,The stars turn and a time presents itself.
1,3,Part 3,22 May 2017,8.5,Call for help.
1,4,Part 4,22 May 2017,8.6,...brings back some memories.
1,5,Part 5,5 Jun. 2017,8.2,Case files.
1,6,Part 6,11 Jun. 2017,8.3,Don't die.
1,7,Part 7,18 Jun. 2017,8.8,There's a body all right.
1,8,Part 8,26 Jun. 2017,8.8,Gotta light?
1,9,Part 9,9 Jul. 2017,8.4,This is the chair.
1,10,Part 10,16 Jul. 2017,8.3,Laura is the one.
1,11,Part 11,23 Jul. 2017,9.1,There's fire where you are going.
1,12,Part 12,30 Jul. 2017,7.8,Let's rock.
1,13,Part 13,6 Aug. 2017,8.5,"What story is that, Charlie?"
1,14,Part 14,13 Aug. 2017,9.1,We are like the dreamer.
1,15,Part 15,20 Aug. 2017,8.8,There's some fear in letting go.
1,16,Part 16,27 Aug. 2017,9.6,"No knock, no doorbell."
1,17,Part 17,3 Sep. 2017,9.4,The past dictates the future.
1,18,Part 18,3 Sep. 2017,8.8,What is your name?
