temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode #1.1,28 Dec. 2014,8.1,"Bucharest. It is just an ordinary summer day. For Relu, who works as a taxi driver, it is a day like any other. But Relu is not just a normal taxi driver. He is also a debt collector working for Capitanu', the local mafia boss. Even if at first he tries to recover money in a nice manner, he ends up getting into a fight. After he finishes his tour and hands the money to Nico - his boss' right hand - Relu finds out he has some money to recover from Giani and goes with Sabin in this quest, but things start to get complicated soon. Unhappy with his son Teddy, Capitanu ' ..."
1,2,Episode #1.2,28 Dec. 2014,8.4,"After a discussion in the park, Nico asks Relu to recover a group of prostitutes who are under the protection of Capitanu '. The girls were attacked and taken prisoners. Relu takes Teddy with him out of obligation and even if is obvious that he doesn't like his boss' boy, he has no choice. Eventually, the kid proves to be extremely helpful. Gina spends the afternoon with her children when she visits their neighbor Codrin, who seems like a really nice guy; Teddy finds out where Relu lives and meets his daughter, Magda. Mr. Puiu has a feeling that something is wrong."
1,3,Episode #1.3,4 Jan. 2015,8.2,"When Teddy accompanies Relu to take care of ""business"" again, Capitanu' is pleased with the results: Teddy has shown he can handle it. A very important meeting takes place between Mr. Toma and Capitanu'; they are organizing a major operation. Relu must recover money from a doctor and he visits him, but things get complicated and Nico is not happy with the result. Teddy and Magda seem to like each other, although Relu doesn't approve of the situation; he forbids Teddy to see her again. Gina finds a box full of jewelry by accident and a major scandal is triggered in the..."
1,4,Episode #1.4,11 Jan. 2015,8.8,"Gina finds out what her husband really does for a living. Suspicious Gina follows Relu just to discover he is meeting a woman at a gym, but fails to unravel her identity. Tanase barely convinces Relu to participate in an illegal act, but as a precaution, he backs out just a few moments before. On the way to the wedding he was invited along with Gina, Relu makes a sudden stop to save Tanase and his colleague. The situation gets out of hand when a man is thrown on the hood of the cab where Gina was waiting for Relu."
1,5,Episode #1.5,18 Jan. 2015,8.7,"After finding out about Relu's real job, Gina does not want him in their house. For the Oncescu family things start falling apart. Relu can't go home anymore and spends his nights in pubs. Magda is waiting messages from Teddy in vain, Chuckie takes refuge in practicing karate moves, Mr. Puiu refuses to leave his room and Gina smokes like a chimney. The Doctor makes an unannounced visit to Relu's home where he finds Gina and discovers that he has a wife and children. Following a discussion with Capitanu, Relu finds out that he is displeased with his services and in the..."
1,6,Episode #1.6,25 Jan. 2015,8.6,"Mr. Puiu has some memory problems and decides to pay a visit to a doctor, a good friend of his; he discovers some unsettling things. At school, Chuckie is challenged by a classmate, gets into a fight with him and things get out of control. The principal calls Relu and Gina to school and they unite to defend their boy. During a meeting with the boys, Capitanu finds out that Relu didn't finish a certain job and gets very angry. Wanting to warn Relu, Teddy finds Magda and so the two get to see each other after a long time. Mr. Puiu pays Relu a visit and he confesses that..."
1,7,Episode #1.7,1 Feb. 2015,8.7,"Mr. Puiu is on the mobster's blacklist and everyone is looking for him. Meanwhile he surprises Chuckie. Relu has returned home and he decides to change his life. When Relu goes to see Capitanu in the hospital, he finds out that his boss has been watching him for a long time and that he and his family are in danger. His only chance is finding Mr. Puiu and getting back the stolen money. After Relu talks to Nico, he decides to try one last thing and he gets ready for the most complex operation to date. Gina discovers what Mr. Puiu has given Chuckie."
1,8,Episode #1.8,8 Feb. 2015,8.6,"After he almost lost his life, Relu returns home and he finds out that the money taken from Capitanu is in his house. When Teddy visits his father in the hospital, he learns that Relu is in danger and he rushes to find Magda. He asks her to run away with him, but he discovers something that changes everything. Nico manages to get rid of Sabin with the help of the police. Looking for Relu, Toma's boys find out that the whole family has moved. When Relu goes to see Capitanu determined to kill him, his family is there: Magda and Teddy have a big surprise for them all."
2,1,Episode #2.1,12 Nov. 2017,9.1,"A wedding is taking place at Snagov Club: Magda, Relu's daughter, is marrying Teddy, The Captain's son. Meanwhile, in a parking lot, an incident involving a truck driver and a mystery man occurs. After the party, the newlyweds, who are expecting a baby, take off in the new car, a wedding gift, for the honeymoon, to unexpected consequences."
2,2,Episode #2.2,19 Nov. 2017,9.0,Magda and Teddy are trying to get their life back on track after the shocking event they went through. Relu starts looking for clues that could lead him to finding out the truth about the accident. He and The Captain agree to seek justice on their own and be one step ahead of the police.
2,3,Episode #2.3,26 Nov. 2017,9.1,"Through less orthodox ways, Relu quickly manages to discover a vital piece of information that takes him closer to finding out the name of the person who has the answers to all his questions. Teddy gets involved in Relu's revenge and the brutal experience works for the boy like an initiation in a violent world where one pays for everything and no one gets out unharmed."
2,4,Episode #2.4,3 Dec. 2017,9.3,"On his path to revenge, Relu gets into a confrontation with one of the most powerful mobsters, Nea Toma. As everything has a price in the underground world, Relu will not rest until justice is done. Emilian, an ambitious and unscrupulous policeman, starts working on the Captain's case. Gina, now divorced, gets closer and closer to her new boss, Sebastian."
2,5,Episode #2.5,10 Dec. 2017,9.2,"Fearing that his affairs are endangered, The Captain demands some answers from Relu, who is not ready to reveal his findings. Gina tries to get by without her husband's help. Magda starts to have second thoughts about her marriage. Without much guidance from his parents, Chuckie gets in trouble with the police. Emilian is determined to put the Captain and his people behind bars for good, and Nico, to save her own skin, is ready to do anything."
2,6,Episode #2.6,17 Dec. 2017,9.3,"After going through yet another ordeal, Teddy and Magda have a heart to heart. Driven by his thirst to prove his power, Emilian finds out some inside information that helps him close in on Relu and The Captain who have set up a huge criminal endeavour. It seems that there is no way out and Relu's world will fall apart."
3,1,Episode #3.1,20 Nov. 2019,9.1,"A few months after the events of season 2, the Captain's team is on alert, but Nicu isn't ready to give up his plans to expand, because of the police. Magda and Teddy are trying to rebuild their relationship. Emilian is pressured by Andronache to make arrests and in his turn, he pressures Nico. Relu and Nicu are visiting Nico in the middle of the night and they sketch a risky plan."
3,2,Episode #3.2,2019,9.2,"Emilian asks his team to use any means possible to destabilize the Captain's business. Relu and Paganel take over a truck that crossed the border, but they are stopped on the highway. Panicked, Paganel wants to step down, but his wife changes his mind. Magda and Teddy have a difficult day, not even the new member of their family, Teddy the dog, can dissipate the tension between them. Relu finds out that Gina is moving into a city-apartment and offers to help her. Romica makes a discovery in Toma's garden."
3,3,Episode #3.3,2019,9.4,
3,4,Episode #3.4,2019,9.6,
3,5,Episode #3.5,2019,9.6,
3,6,Episode #3.6,2019,9.8,
3,7,Episode #3.7,2019,9.7,"Relu helps Gina deal with the Sebastian mess. Magda has a fight with Teddy and decides to leave him. Nico is seen with a stranger in a hotel room, having been paid to have sex with him. Relu and Nicu visit the Salazar brothers in Spain to make the big deal about the 9 million euros cocaine shipment. Relu senses right from the start something is off."
