temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Somewhere Not Here,15 Jul. 2019,8.6,"Thorfinn, a boy living in Iceland, longs for adventure and is eager to know more about the world. He dreams of a land of paradise called Vinland that he hears about from the adventurer Leif, while he leads his peaceful life with this father Thors, a former warrior. One day, Thors saves a runaway slave and sets a series of events in motion. This is the story of a true warrior in an age of turmoil."
1,2,Sword,8 Jul. 2019,8.6,"In the year 1002, the war between England and Denmark was intensifying. One day, the Jomsvikings pay a visit to Thorfinn's village in order to bring back Thors, their former commander, to prepare for the impending battle. Thors is forced to join the war in order to protect the villagers from being taken hostage, and must face his accursed past in order to save his family and his village."
1,3,Troll,8 Jul. 2019,9.0,"Askeladd, the leader of a Viking army of a hundred men, receives orders from Floki of the Jomsvikings to kill Thors, who was once known as the Troll of Jom. However, the villagers, completely unaware of the order, buzz with excitement as they prepare for their first battle. Thorfinn also joins in the excitement. Thors and his men are about to embark on a difficult sea journey to England."
1,4,A True Warrior,29 Jul. 2019,9.7,"As the ships are surrounded by Askeladd's pirates, Thors decides to take action on his own hands in order to protect the crew and his son."
1,5,The Troll's Son,5 Aug. 2019,8.8,"After Askeladd kills Thorfinn's father Thors, Thorfinn hides inside Thor's ship and bides his time until the opportunity to take revenge. However, life on the ship is harsh without any food or water, and Thorfinn grows weaker day by day. One day, Thorfinn, armed with his sword, attempt to attack Askeladd in his sleep..."
1,6,The Journey Begins,12 Aug. 2019,9.4,Thorfinn kills his first man. As more time goes on Thorfinn kills more men and becomes more skilled. One day when Thorfinn is in battle he gets shot with an arrow and ends up unconscious. An English woman and her daughter help him recover.
1,7,Normanni,19 Aug. 2019,8.9,"Askeladd withdraws temporarily from the war against England. While searching for a new source of income, he encounters a skirmish among the Franks and hatches a plot to steal their treasure. Askeladd sends 16 years old Thorfinn, who has grown up into a cold-hearted Viking, ahead as a messenger."
1,8,Beyond the Edge of the Sea,26 Aug. 2019,8.6,"After capturing the treasure from the Franks, Askeladd's men return to the village of Gorm on the Jutland Peninsula in Denmark to pass the winter. Thorfinn challenges Askeladd to a duel as a reward for bringing him the head of the captain of the clan of Franks. Even though Thorfinn has grown in skill through his experience in battle, he is still no match for Askeladd."
1,9,The Battle of London Bridge,2 Sep. 2019,9.2,"In October 1013, King Sweyn leads a fleet of Danish and Viking ships in an attempt to take London Bridge of England. Askeladd's army, hired by the army of Denmark, was among them. However, after the betrayal of Thorkell the Tall, a Viking known for his overpowering strength, London Bridge has become impregnable. Askeladd tells Thorfinn he'll reward him with a duel if he's able to kill Thorkell."
1,10,Ragnarok,16 Sep. 2019,8.5,"Askeladd's army separates from the army of Denmark and attacks a village 100 km to the west. Thorfinn leaves the soldiers behind in disgust and climbs up a hill overlooking the village, where he pledges revenge for his father. However, he encounters Askeladd sitting in the darkness, who tells him about ""Britannia"", the aging of the world, and Ragnarok, the final battle."
1,11,A Gamble,23 Sep. 2019,8.8,"Thorkell takes Canute hostage and follows after the main army of Denmark. Ragnar objects to Thorkell's plan to take on the entire army of Denmark, boasting 16,000 soldiers, with only 500 men. Thorkell then begins to tell Ragnar the story of Valhalla, the pride of Normans, a place where only those who die in battle can go."
1,12,The Land on the Far Bank,30 Sep. 2019,8.2,"Askeladd and his men continue their march to escape from Thorkell. However, their march comes to a halt at the Severn River. Askeladd hands a letter to an old man operating a ferry across the river and tells him to deliver the letter to the other side immediately. As soon as he hears the addressee's name, the old man sets off in his boat."
1,13,Child of a Hero,7 Oct. 2019,8.2,"Askeladd crosses the river and escapes from Thorkell into Wales with Canute. However, Askeladd's men are ambushed by a group of soldiers hiding behind the boulders at the border of the kingdom of Brycheiniog. Askeladd attempts to negotiate with their messenger, and reveals his plan."
