temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,No Place Like Home,15 Mar. 2018,8.4,Bea Smith enters prison after being charged with the attempted murder of her husband. Bea is separated from her daughter and sent to Wentworth on remand. She is then forced to learn how the prison works.
1,2,Fly Me Away,8 May 2013,8.1,"In the aftermath of the riot, Will blackmails Doreen into helping him and Bea is given no choice but to continue to lie."
1,3,The Girl Who Waited,15 May 2013,8.2,Bea gets caught in between rivals Jacs and Franky.
1,4,The Things We Do,22 May 2013,8.3,Franky teaches Bea a tough lesson; Liz struggles with old demons; Franky stirs up new feelings in Erica.
1,5,The Velvet Curtain,29 May 2013,8.3,Erica can't escape her feelings for Franky and Bea reveals to Liz the truth about her marriage.
1,6,Captive,5 Jun. 2013,8.5,Bea feels threatened when Harry says he may not be able to deal with their daughter any longer.
1,7,Something Dies,12 Jun. 2013,8.7,"Bea pays a high price for crossing Jacs, whilst Franky gets her revenge and Will reverts to his old ways."
1,8,Mind Games,19 Jun. 2013,8.9,"To gain back control of Wentworth, Jacs makes a final play to break Bea."
1,9,To the Moon,26 Jun. 2013,8.9,"Bea is buoyed by the inmate's support, while Jacs's power further diminishes and Vera and Fletch's date comes to a humiliating end."
1,10,Checkmate,3 Jul. 2013,9.3,The truth behind the riot is finally revealed and Bea confronts a killer leading to deadly consequences.
2,1,Born Again,20 May 2014,8.8,"Three months after Jacs death, new arrival Joan Ferguson makes an enemy of Franky, while Bea discovers a new purpose."
2,2,Whatever It Takes,27 May 2014,8.7,"Bea attempts to get revenge on Brayden by goading Harry into an act of violence, whilst Franky's determination to maintain power pushes her to extreme lengths."
2,3,Boys in the Yard,3 Jun. 2014,8.9,"Following the failure of Harry to avenge their daughter's death, Bea hatches a daring plot to lure Brayden Holt to the jail."
2,4,The Danger Within,10 Jun. 2014,9.1,Bea faces down an assassination attempt from the Holt clan.
2,5,Twist the Knife,17 Jun. 2014,8.8,Bea discovers Simmo has a weakness she can exploit for her own ends. Meanwhile Fletch and Will face off in a confrontation that will end their friendship for good.
2,6,The Pink Dragon,24 Jun. 2014,9.0,"Simmo's attempt to kill Bea ends in tragedy, while Liz faces her greatest dilemma: to snitch or not to snitch."
2,7,Metamorphosis,1 Jul. 2014,9.0,When Ferguson psychologically manipulates Vera she crosses a point of no return whilst Maxine orchestrates a desperate bid to see her spurned lover.
2,8,Sins of the Mother,8 Jul. 2014,8.9,An isolated and paranoid Franky tries to uncover which inmate is leaking vital information to Ferguson.
2,9,The Fixer,15 Jul. 2014,9.1,"When Ferguson discovers Doreen is the pregnant prisoner, the Governor threatens to have Nash's parole revoked unless she lies about the father. Will is publicly accused of an inappropriate relationship with Bea."
2,10,Jail Birds,22 Jul. 2014,9.0,"Liz struggles to adjust to life on the outside and tries to reconnect with her estranged children. Meanwhile, Derek Channing tries to build his case against Ferguson."
2,11,Into the Night,29 Jul. 2014,9.5,"As Bea and Franky go to war for control of the prison, Bea puts her daring plan in motion. Meanwhile, Fletch is on a downward spiral of self-destructive behaviour as his final day at Wentworth looms."
2,12,Fear Her,5 Aug. 2014,9.6,The extent of Bea's plan is revealed as she makes the final moves to avenge Debbie's death. Meanwhile Franky realises she is losing the support of the women and is forced to consider a deal.
