temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Show No. 103,5 Aug. 1998,8.0,"Games include: Let's Make a Date, Sound Effects, Hats, Greatest Hits, Party Quirks, and Foreign Film Dub."
1,2,Show No. 104,12 Aug. 1998,7.8,"Games include: Let's Make a Date, Film, Theater, and Television Styles, Duet, Weird Newscasters, Moving People, Scene to Rap, and 90 Second Alphabet."
1,3,Show No. 106,19 Aug. 1998,7.5,"Games include Let's Make a Date, Scene to Rap, Hats, Weird Newscasters, Greatest Hits and Newsflash."
1,4,Show No. 101,26 Aug. 1998,7.9,"Games include Weird Newscasters, Duet, Animals, Props, Moving People, Party Quirks, Scene to Rap, and Foreign Film Dub."
1,5,Show No. 105,2 Sep. 1998,7.7,"Games include Let's Make a Date, Song Styles, Daytime Talk Show, Props, Film Dub, Sportscasters, Hoedown, and Stand Sit Bend."
1,6,Show No. 102,9 Sep. 1998,7.9,"Games include Let's Make a Date, Sound Effects, Daytime Talk Show, Props, Helping Hands, Hoedown, and 90-Second Alphabet."
1,7,Show No. 107,23 Sep. 1998,7.7,"Games include Daytime Talk Show, Song Styles, Moving People, Props, Party Quirks, Hoedown, and Foreign Film Dub."
1,8,Show No. 111,9 Dec. 1998,8.1,"Games include Let's Make a Date, Song Styles, Props, Party Quirks, Greatest Hits and Helping Hands."
1,9,Show No. 108,16 Dec. 1998,7.7,"Games include Superheroes, Song Styles, Weird Newscasters, Greatest Hits, Party Quirks, and Questions Only."
1,10,Show No. 117,6 Jan. 1999,8.2,"Games played: Questions Only, Song Styles, Newsflash, Sound Effects, Weird Newscasters, Scene to Rap, Hoedown."
1,11,Show No. 113,13 Jan. 1999,7.8,"Games played: Let's Make a Date, Film Theatre and TV Styles, Dating Service Videos, Weird Newscasters, Greatest Hits, Helping Hands."
1,12,Show No. 119,20 Jan. 1999,8.0,"Games played: Let's Make A Date, Duet, Newsflash, Film Theatre and TV Styles, Telethon, Hoedown."
1,13,Show No. 120,27 Jan. 1999,7.7,"Games played: Questions Only, Song Styles, Dead Bodies, Sound Effects, Weird Newscasters, Hoedown, Stand Sit Bend."
1,14,Show No. 114,3 Feb. 1999,8.1,"Games played: Let's Make A Date, Moving People, Weird Newscasters, Greatest Hits, Party Quirks, Helping Hands."
1,15,Show No. 118,10 Feb. 1999,7.4,"Games played: Weird Newscasters, Song Styles, Dating Service, Sportscasters, Film Dub, Greatest Hits, Hoedown."
1,16,Show No. 121,17 Feb. 1999,7.7,"Games played: Superheroes, Weird Newscasters, Scenes From A Hat, Props, Greatest Hits, Helping Hands."
1,17,Show No. 116,24 Feb. 1999,7.7,"Games played: Weird Newscasters, Scene To Rap, Moving People, Props, Greatest Hits, Party Quirks, Hoedown."
1,18,Show No. 115,10 Mar. 1999,7.5,"Games played: Questions Only, Song Styles, Newsflash, Hey You Down There, Party Quirks, Scene To Rap, Helping Hands."
1,19,Show No. 110,17 Mar. 1999,7.6,"Games played: Weird Newscasters, Duet, Sound Effects, Props, Narrate, Telethon, Stand Sit Bend."
1,20,Show No. 109,24 Mar. 1999,7.7,"Games played: Weird Newscasters, Multiple Personalities, Fashion Models, World's Worst, Props, Party Quirks, Hoedown, 90 Seconds Alphabet."
