temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,121045,10 Jan. 2019,9.1,"Emma, Norman, Ray and the other orphans at Grace Field House live peaceful and happy lives. When one of the orphans is adopted and forgets her favorite toy, Emma and Norman attempt to return it to her only to discover a horrifying truth."
1,2,131045,18 Jan. 2019,8.6,"Emma and Norman begin making plans to escape the House. As they plan, they become suspicious of Isabella's behavior and actions."
1,3,181045,25 Jan. 2019,8.4,"Krone arrives at the House to assist Isabella with watching the children. Krone, however, develops her own agenda. Later, Emma, Norman, and Ray begin to ""train"" the other children to prepare them for escaping the House."
1,4,291045,1 Feb. 2019,8.8,"Emma, Norman and Ray suspect that there's a traitor among the kids providing information to Isabella. They decide they want to tell Don and Gilda the secret of the House, while suspecting that one of them could possibly be the traitor."
1,5,301045,8 Feb. 2019,8.7,Norman discovers Ray is the traitor and Isabella's informant and confronts him about where his loyalties lie.
1,6,311045,15 Feb. 2019,8.6,"As preparations for escaping the House continue, Emma shares a discovery with Norman and Ray. Meanwhile, Don and Gilda search through Isabella's secret room."
1,7,011145,22 Feb. 2019,8.4,"Krone discovers which children are aware of the House's secret. But rather than alert Isabella, Krone proposes an alliance with Norman, Emma and the others to help meet each other's goals."
1,8,021145,1 Mar. 2019,9.3,"Krone receives a letter from the Grace Field headquarters and departs from the House. Later on, Emma and Norman go to inspect the wall surrounding the House while Ray attempts to distract Isabella."
1,9,031145,8 Mar. 2019,9.0,"With Emma's leg broken and the next shipment date announced unexpectedly, the children begin to desperately think of plans that will ensure they will all survive to escape."
1,10,130146,15 Mar. 2019,9.3,"Norman accepts his fate and says goodbye to Emma and Ray. Once he is shipped out, Emma and Ray fall into despair."
1,11,140146,22 Mar. 2019,9.6,"Having never truly given up on escaping, Emma and Ray decide to carry out a plan to escape from the House on Ray's shipment day."
1,12,150146,29 Mar. 2019,9.8,"Emma and the others continue to carry out their escape plan. Ray is shocked by the results of the kids' training that was set up by Emma and Norman. During their escape, Isabella calls for reinforcements to attempt to capture the children."
2,1,Episode #2.1,Jan. 2021,,
