temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Open Government,25 Feb. 1980,8.1,"With his party now ready to form the government, Jim Hacker anxiously awaits a call from the Prime Minister offering him a Cabinet post. When the call does come, he is named Minister of Administrative Affairs. He meets his new Permanent Secretary, Sir Humphrey Appleby and his Permanent Private Secretary, Bernard Woolley. As his first act, the new Minister decides to make good on his party's election promise to have open and transparent government by publicly canceling a major contract issued by the previous government to an American computer firm. Sir Humphrey ..."
1,2,The Official Visit,3 Mar. 1980,8.2,"The Minister finds himself in charge of an official visit from the President of Buranda, a newly independent former British colony. Hacker decides that they should all travel to Balmoral rather than have the Queen travel to London. Only a week before the visit, the President is overthrown in a coup and against Sir Humphrey's advice, the Minister insists that the visit go ahead. When he sees what the new President has to say in his formal speech about the yoke of British rule and his support for a free Scotland and Ireland, he realizes that the government is on the ..."
1,3,The Economy Drive,10 Mar. 1980,8.3,The Minister decides there is far too much waste in government and decides the time has come to launch an economy drive. Sir Humphrey suggests to the Minister that he should lead by example and cut back on his own staff. He soon finds himself without a driver or a secretary and chaos ensues. He immediately gets into trouble with the trade unions and the press take advantage of the situation.
1,4,Big Brother,17 Mar. 1980,8.9,"The Minister wants to give citizens access to their files on a new national database, but Sir Humphrey is at his obfuscating best. Accused by his political advisor and his wife of being a mouthpiece for the civil service, Hacker decides that he is going get his way on this one. Taking the advice of his predecessor, now an Opposition MP, he successfully anticipates all of Sir Humphrey's roadblocks but in the end, he uses the civil servants' own tactics to get his way."
1,5,The Writing on the Wall,24 Mar. 1980,8.4,"The Minister's frustrations with the civil service continue when Sir Humphrey, at his bureaucratic best, doesn't quite deliver the policy paper the Minister is seeking. Hacker wants to announce a cut of 200,000 civil servants and so decides to write the paper himself. He takes it a step further when he announces the planned cuts during a TV interview. The whole thing blows up in his face when the Prime Minister decides that the first cut will be Hacker's own Department. Suddenly, he and Sir Humphrey are on the same side fighting to keep their jobs."
1,6,The Right to Know,31 Mar. 1980,8.3,"Once again, the Minister, Jim Hacker and the permanent Secretary, Sir Humphrey Appleby, clash over the Minister's role in running the Department. The Minister instructs his senior civil servant to keep nothing from him and he is promptly flooded with everything under the sun. For Sir Humphrey, the Minister's meeting with constituents concerned about saving a local den of badgers is exactly the kind of work he should be doing. When he learns that Hacker's daughter will stage a nude protest over her father's decision on the badgers, Appleby must come to the rescue."
1,7,Jobs for the Boys,7 Apr. 1980,8.1,"The Minister goes on the BBC to extol the virtues of a public-private partnership project but when he learns that the private firm involved may soon go bankrupt, it is up to Sir Humphrey to see exactly what can be done to salvage the situation. He approaches a banker, Sir Desmond Glazer, who also happens to be interested in a part-time government appointment. The Minister's political advisor however is advising that all such Ministerial patronage appointments be abolished."
2,1,The Compassionate Society,23 Feb. 1981,8.5,"When the opposition challenges the Minister's claims in the House that administrative personnel in the health sector have been reduced by 11%, he too quickly agrees to an independent inquiry. Sir Humphrey's solution is to offer the chairmanship of the inquiry to someone hoping to score brownie points with the government. The Minister is concerned when he learns that a brand new hospital has been open for 15 months and has yet to admit a patient despite having over 500 administrative personnel on staff. His attempts to either open the hospital to the public or cut the ..."
2,2,Doing the Honours,2 Mar. 1981,8.4,"The Minister is appalled when, on the advice of his civil servants, he can't make a modest 5% to his department's budget. To Sir Humphrey's great disbelief, the Minister decides to recommend only those civil servants for the Queen's honors list who can find the 5% cut in their budgets. On another matter, Appleby is approached by the Master of his Oxford college who is finding it impossible to enroll students now that the Minister has instructed that all foreign students must pay the full cost of their studies. Hoping for an exemption from the requirement, they invite ..."
2,3,The Death List,9 Mar. 1981,8.1,"The Minister is appalled to learn that while in Opposition, he was under government surveillance. Now that he is in government, he finds that his Department is responsible for purchasing all of the government's surveillance equipment and orders an end to it. The Minister makes a point of leaking his views to the press and his stand makes for considerable public support. When he learns that he is on a death list intercepted by the security agencies however, he has second thoughts."
