temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Grand Design,9 Jan. 1986,8.6,"The new Prime Minister is preoccupied with defense issues as he begins to learn some of the details, such as the Russians having six times as many nuclear weapons as the UK or that the armed forces could withstand a conventional attack for 72 hours at best. As only Jim Hacker can do, his ""Grand Design"" is less than practical and it is left to Sir Humphrey, now Cabinet Secretary, to inject a dose of realism. The PM also wants a cook for 10 Downing St., but wants the government rather than himself to pay."
1,2,The Ministerial Broadcast,16 Jan. 1986,8.5,"Jim Hacker plans to introduce his ""Grand Design"" to the British public during his first broadcast as the new P.M. However, Humphrey continues to try to convince Hacker to hold off, planning to let it die."
1,3,The Smoke Screen,23 Jan. 1986,8.6,"Sir Humphrey opposes P.M. Hacker's plan to cut taxes, so Hacker steers the Minister for Health into campaigning against smoking as a diversion."
1,4,The Key,30 Jan. 1986,9.2,"Sir Humphrey has to scramble when the Prime Minister's Political Advisor, Mrs. Wainwright, convinces the PM that she should get her old office back. Sir Humphrey and his predecessors have been trying to get her moved for years but he may have met his match when she also suggests to the PM that he re-assign Sir Humphrey's responsibilities for promotions and appointments. When the PM orders Bernard to take away Sir Humphrey's key to the door connecting the Cabinet Office to 10 Downing Street, the Cabinet Secretary sees the light."
1,5,A Real Partnership,6 Feb. 1986,8.5,"The Prime Minister must deal with a worsening financial crisis that requires all government Departments to cut their budgets. The belt-tightening coincides with a hoped-for civil service pay increase and Sir Humphrey and Sir Frank Gordon, the Treasury Secretary, decide they need to ensure the pay rise is announced as soon as possible. The PM thinks he has Sir Humphrey this time when his political adviser provides challenging questions about the pay rise. Sir Humphrey seeks advice from his predecessor, Sir Arnold Robinson, and develops a plan to win over the PM."
1,6,A Victory for Democracy,13 Feb. 1986,8.6,"The Foreign Office is having problems with the PM who is starting to question their advice in favour of a more pro-US line. In question is the political situation in St. Georges' island where Marxist guerrillas are posing a threat and am impending vote at the UN to condemn Israel. Sir Humphrey and his Foreign Office counterpart connive, of course, to ensure that the PM sees things their way. The PM, however, sets about to outwit them."
1,7,The Bishops Gambit,20 Feb. 1986,8.5,"P.M. Hacker is to appoint a new bishop, and Sir Humphrey may secure a cushy appointment on retirement if he can convince Hacker to appoint the current Dean to the bishopric."
1,8,One of Us,27 Feb. 1986,8.7,"When the Director General of MI5 informs the Prime Minister that his predecessor was a Soviet agent, Jim Hacker learns that he had been thoroughly investigated some years previously by none other than Sir Humphrey and given a clean bill. Needing to regain the upper hand over Hacker, Sir Humphrey suggests that he order the rescue of a dog that has wandered onto an artillery range. While the ploy to get positive publicity works, it also provides Sir Humphrey with valuable leverage."
2,1,Man Overboard,3 Dec. 1987,8.4,"The Employment Secretary wants to move army regiments to north England to save money, so Sir Humphrey leads P.M. Hacker to believe the Employment Secretary is after the P.M.'s job."
2,2,Official Secrets,10 Dec. 1987,8.2,"P.M. Hacker wants to prevent publication of the unflattering memoirs of the previous P.M. as an official secret, and a furor erupts in the press when his actions are leaked by the press."
2,3,A Diplomatic Incident,17 Dec. 1987,8.7,"When the French hold out for primacy over a sub-Channel tunnel, P.M. Hacker uses the info that they planted a bomb in their own embassy to obtain more favorable terms."
2,4,A Conflict of Interest,31 Dec. 1987,8.2,"P.M. Hacker, pressured by rumors of wrongdoing in the City, is tricked by Sir Humphrey into appointing a less-than-honest man as the new Governor of the Bank of England."
2,5,Power to the People,7 Jan. 1988,8.2,"A local councilwoman is throwing her weight around, but P.M. Hacker's plan to make local government truly responsive to its constituency motivates her to cooperate with Sir Humphrey's opposition."
2,6,The Patron of the Arts,14 Jan. 1988,8.2,P.M. Hacker is scheduled to speak at a broadcast awards ceremony -- right after the announcement that the arts budget will be much smaller than hoped.
2,7,The National Education Service,21 Jan. 1988,8.3,"On the advice of his political adviser, P.M. Hacker plans to eliminate the National Education Service and let parents choose the schools their children will attend. Horrified, Humphrey must prevent the precedent being set of eliminating unnecessary bureaucracy."
2,8,The Tangled Web,28 Jan. 1988,8.8,"The Prime Minister finds himself in a bit of a pickle when he flatly denies in the House that the government has bugged MP's telephones. It turns out the government was and Sir Humphrey was aware of it. The PM wants Sir Humphrey to back him, but he refuses to participate in a cover-up. The shoe is on the other foot however when Sir Humphrey makes unwise comments to a radio interviewer thinking that the tape recorder has been turned off. The PM agrees to help him, for a price."
